relative_keyword,zzim_10,zzim_50,zzim_100,zzim_1000
건조기볼,24,5,10,1
소토레귤레이터,31,3,6,0
캠핑변기,19,7,14,0
빨래삶는통,35,2,3,0
소토토치,31,3,6,0
노브라티,20,9,10,1
파버카스텔색연필,34,3,3,0
해면기,38,1,1,0
샤넬꽃,16,7,16,1
폼랜스,31,5,4,0
의료용발목보호대,29,6,5,0
올파,32,5,3,0
살림망,39,1,0,0
허벅지보호대,36,2,2,0
셀프성장동영상,33,1,5,1
하리오V60,31,3,6,0
진공사료통,32,1,7,0
자이언트얀방석,28,1,9,2
대나무숯,38,1,1,0
캐리어잠금장치,34,2,4,0
자수턱받이,13,8,17,2
식당벨,37,2,1,0
강아지어질리티,31,0,9,0
시쿠,39,0,1,0
스와로브스키귀걸이,28,4,7,1
반스체커보드슬립온,31,3,6,0
카시오계산기,30,3,7,0
레몬즙짜기,34,1,5,0
베어브릭피규어,17,10,13,0
립그립,38,1,1,0
유소년야구화,34,4,2,0
합격엿,36,1,3,0
돌절구,35,1,4,0
장독,33,4,3,0
골프레그워머,25,8,6,1
뮤직복싱기계,38,0,2,0
복싱기계,38,0,2,0
도징컵,33,2,5,0
리본목걸이,24,5,9,2
슬리브압착기,36,3,1,0
피아노방음매트,32,4,4,0
고무신,34,2,4,0
맥스귀마개,27,1,10,2
애플망고젤리,22,6,10,2
응원봉제작,19,8,13,0
연습용골프채,38,1,1,0
TTC우레탄완충기,36,2,1,1
군용담요,37,2,1,0
구워먹는치즈,28,6,6,0
다이아윙스,31,5,4,0
라탄빨래바구니,20,6,13,1
사각법랑냄비,32,0,5,3
미즈노배구화,37,2,1,0
깨절구,29,3,8,0
압박복,28,8,4,0
차량용커피포트,38,1,1,0
스케쳐스슬립온,22,9,9,0
고양이자동장난감,25,5,9,1
타지마줄자,38,2,0,0
졸업사진컨셉,29,2,7,2
닭가슴살만두,39,0,1,0
강아지버튼,35,0,4,1
만보기,37,1,2,0
HK416,33,3,4,0
전자호각,35,3,2,0
조선간장,31,3,5,1
꽃신,34,3,3,0
메가밍크스,37,2,1,0
커피캡슐보관함,19,6,13,2
가평잣엿,39,0,1,0
고강탈,39,0,1,0
압소바내의,34,2,4,0
아크테릭스모자,31,7,2,0
볼풀장,30,4,6,0
구미첼,34,1,4,1
압축봉행거,31,1,7,1
수영킥판,35,2,3,0
키높이발판,30,4,6,0
비상벨,37,0,3,0
주방타일셀프,21,4,12,3
아기치실,34,5,1,0
바다뜰채,35,2,3,0
비너스스타킹,29,6,5,0
NBA유니폼,35,3,2,0
아기백팩,31,5,4,0
반스체커보드,31,3,6,0
LOZ미니블럭,38,0,2,0
산타복,30,5,5,0
메이호7000,39,0,1,0
배팅장갑,38,2,0,0
오십견,19,1,2,0
강아지풉백,0,0,0,0
발디딤대,1,0,0,0
연습용드럼패드,1,0,0,0
우수관커버,0,0,0,0
축구헤어밴드,1,0,0,0
한자카드,1,0,0,0
유아독서대,0,0,0,0
녹제거제,1,1,1,0
도그페이스,0,0,0,0
스파이더맨거미줄,1,0,0,0
당구큐가방,2,0,0,0
잔디엣지,0,0,0,0
네일트리머,1,0,0,0
입마개,0,0,0,0
유기농귤,1,0,0,0
고함항아리,0,0,0,0
캉골슬링백,1,0,0,0
마카펜세트,29,1,4,0
강아지일회용신발,21,4,11,4
야자수매트,37,1,2,0
강아지짖음방지,30,5,5,0
피아노매트,32,4,4,0
킥판,37,1,2,0
발목보조기,36,3,1,0
캐디백후드커버,32,6,2,0
자동연필깍기,29,4,7,0
자동연필깎이,29,4,7,0
아기손톱깎이,34,0,6,0
인형만들기키트,21,3,14,2
캡슐커피보관함,21,4,13,2
탕온계,5,0,3,0
칭찬도장,13,0,1,0
삼각김밥틀,31,4,4,1
아이언그립,30,5,5,0
보청기가격,36,2,2,0
빅퍼스5A,36,3,1,0
야광봉댄스,32,1,6,1
티니핑구급차,37,1,2,0
노스페이스맨투맨,35,2,3,0
깔깔이바,33,3,4,0
부케캔들,20,7,12,1
캡슐보관함,20,6,12,2
손흥민유니폼,25,6,8,1
소와나무체다치즈,37,1,2,0
어르신신발,36,3,1,0
곤약라면,34,2,4,0
얼라이먼트스틱,12,0,2,0
LED응원봉,10,3,5,0
강아지발톱그라인더,29,4,7,0
싯업,35,3,2,0
고양이창문해먹,22,2,15,1
낚시게임,34,1,5,0
바이올린활,39,0,1,0
엄마랑벽그림,33,3,3,1
축구공가방,32,3,5,0
아라이바람막이,39,0,1,0
남아소변기,31,4,5,0
서핑모자,18,7,15,0
골프백후드커버,32,6,2,0
거북이등딱지쿠션,36,0,4,0
호두아몬드율무차,37,3,0,0
데이지체인,31,2,7,0
초속경몰탈,30,4,6,0
실로폰,1,0,2,0
카페시럽,22,0,1,0
소일,3,0,0,0
옥소야채탈수기,10,0,0,1
뒤집기방지,1,1,1,1
비비안웨스트우드스타킹,2,1,0,0
욕창방지쿠션,4,0,1,0
면보루,0,0,0,0
빅토리녹스,1,0,0,0
레몬착즙기,1,0,0,0
레몬스퀴저,1,0,0,0
스케쳐스고워크남성,2,0,0,0
한샘식기건조대,0,0,0,0
브이텍,2,0,0,0
초코시럽,0,1,0,0
요넥스반바지,1,0,0,0
캐시미어빗,1,0,0,0
딤채김치통,1,0,0,0
보성홍차아이스티,10,0,2,0
칸막이커튼,23,0,5,1
보이차티백,31,1,2,0
비염치료,22,4,1,1
2자어항,23,9,7,1
고양이계단,17,4,8,0
재난가방,21,1,3,1
강아지목욕탕,26,2,7,1
자전거덮개,18,1,3,0
보청기가격비교,28,2,2,0
이산화탄소경보기,32,0,2,0
드리프트RC카,27,2,2,0
포토월,23,3,4,0
미니항아리,17,8,4,2
골프힙색,2,1,5,0
오뚜기당면,1,0,0,0
자세변환용구,16,1,1,0
오이지,34,2,4,0
에뜨와내의,34,1,5,0
반스뮬,22,8,10,0
돌잔치영상,24,3,12,1
로드스탠드,36,3,1,0
