relative_keyword,total_search,total_store,competitive_rate
롱고니큐,2910.0,6736.0,2.3147766323024057
당구그립,1230.0,26239.0,21.33252032520325
카본큐대,1030.0,48396.0,46.98640776699029
한밭큐,6100.0,7738.0,1.2685245901639344
당구팁,2060.0,101831.0,49.43252427184466
쿠드롱팁,1050.0,2492.0,2.3733333333333335
아담무사시,2170.0,746.0,0.343778801843318
무사시큐,2160.0,1742.0,0.8064814814814815
중고당구대,1710.0,1378.0,0.8058479532163743
게이트볼스틱,1490.0,20623.0,13.840939597315437
컴파운드보우,4740.0,23899.0,5.041983122362869
2인3각,1740.0,6210.0,3.5689655172413794
저글링,4420.0,26452.0,5.984615384615385
뉴스포츠,4770.0,60186.0,12.617610062893082
피클볼,11690.0,99082.0,8.47579127459367
패드민턴,3800.0,29468.0,7.754736842105263
럭비공,2430.0,23905.0,9.837448559670781
리듬체조리본,1480.0,17616.0,11.902702702702703
허들,4800.0,64705.0,13.480208333333334
마닐라로프,1580.0,9948.0,6.296202531645569
림보,3990.0,14060.0,3.5238095238095237
석류즙,10260.0,42814.0,4.172904483430799
비트즙,12110.0,15077.0,1.2450041288191578
류신,13870.0,66581.0,4.800360490266763
시서스가루,9050.0,10600.0,1.171270718232044
석류콜라겐,5990.0,51688.0,8.629048414023373
비비고죽,5550.0,27331.0,4.924504504504505
치즈스틱,7120.0,83935.0,11.788623595505618
노스페이스바람막이,21450.0,32364.0,1.5088111888111888
골프패치,3710.0,96863.0,26.108625336927222
골프티꽂이,6490.0,103548.0,15.955007704160247
자외선차단패치,2500.0,25673.0,10.2692
문틀철봉,11080.0,78114.0,7.05
치닝디핑,12880.0,32975.0,2.560170807453416
풀업밴드,10290.0,75825.0,7.368804664723032
튜빙밴드,5410.0,101926.0,18.840295748613677
로잉머신,24120.0,92095.0,3.8182006633499173
무게조절덤벨,10700.0,27680.0,2.586915887850467
AB슬라이드,18630.0,59462.0,3.1917337627482554
요가링,9410.0,123719.0,13.147608926673751
스파인코렉터,11620.0,14638.0,1.259724612736661
요가타올,1040.0,91307.0,87.7951923076923
토삭스,12900.0,65660.0,5.089922480620155
요가삭스,2120.0,120350.0,56.7688679245283
롤러블레이드,1640.0,49236.0,30.021951219512196
K2인라인스케이트,1500.0,15123.0,10.082
인라인가방,1010.0,105675.0,104.62871287128714
K2인라인,1380.0,15423.0,11.17608695652174
롤러브레이드,2650.0,49236.0,18.579622641509435
힐리스,5620.0,37792.0,6.724555160142349
두발킥보드,3740.0,42289.0,11.307219251336898
핑거보드,3390.0,91800.0,27.079646017699115
휠리스,4060.0,51380.0,12.655172413793103
힐리스운동화,2470.0,24469.0,9.906477732793523
전동스케이트보드,1790.0,115950.0,64.77653631284916
나인봇,4160.0,97438.0,23.422596153846154
바퀴달린신발,1890.0,63447.0,33.56984126984127
