relative_keyword,total_search,total_store
전동보드,2770.0,678955.0
전동스케이트보드,1790.0,115950.0
나인봇,4160.0,97438.0
퀵보드,5910.0,1081897.0
성인킥보드,1630.0,147947.0
바퀴달린신발,1890.0,63447.0
보드,15720.0,22892016.0
전기스쿠터,24000.0,1535107.0
헬멧블루투스,3880.0,274766.0
오토바이헬멧,20890.0,2027938.0
전동스쿠터,15900.0,894454.0
전기오토바이,22710.0,1525236.0
오토바이장갑,14990.0,955400.0
헬멧,18300.0,3783270.0
스쿠터,28670.0,16440581.0
오토바이블랙박스,6870.0,77971.0
오토바이블루투스,2590.0,347218.0
홍진헬멧,12490.0,49937.0
겨울오토바이장갑,3140.0,374323.0
바이크헬멧,4000.0,724433.0
탑박스,5610.0,309848.0
세나50S,6700.0,4242.0
골키퍼장갑,23950.0,177033.0
아디다스축구화,23800.0,140475.0
아디다스풋살화,18090.0,83229.0
더플백,20790.0,621876.0
미즈노풋살화,29270.0,34963.0
나이키풋살화,28450.0,63365.0
나이키더플백,16800.0,30738.0
헬스가방,16210.0,431835.0
축구유니폼,23820.0,365163.0
미즈노축구화,19430.0,61327.0
키즈풋살화,7820.0,55163.0
주니어풋살화,3460.0,44106.0
주니어축구화,3360.0,55850.0
팀조끼,2700.0,39364.0
운동가방,14410.0,599260.0
축구양말,9690.0,216308.0
야구바지,1900.0,64340.0
야구화,5610.0,124793.0
야구글러브,16180.0,357579.0
기아타이거즈유니폼,2930.0,267.0
배팅장갑,2900.0,110835.0
야구공,8810.0,142942.0
인조잔디야구화,1350.0,5084.0
야구가방,2960.0,305366.0
야구배트,7560.0,198215.0
글러브,12530.0,1731132.0
유소년야구화,1240.0,5281.0
나이키야구화,2480.0,15645.0
인조잔디화,1060.0,11330.0
투수글러브,3280.0,54592.0
야구헬멧,2100.0,128359.0
기아유니폼,1750.0,427.0
야구양말,1530.0,35513.0
포수미트,3570.0,25354.0
야구배팅장갑,1670.0,109304.0
야구공케이스,2310.0,9486.0
농구화,21820.0,651033.0
나이키농구화,14010.0,259904.0
농구공,21770.0,386592.0
축구공가방,3720.0,63067.0
농구골대,5140.0,117930.0
루카1,2570.0,13849.0
나이키업템포,5090.0,21218.0
조던,22220.0,892491.0
언더아머농구화,3040.0,12949.0
농구공가방,1840.0,100277.0
나이키에어조던,6210.0,169942.0
조던1로우,3710.0,98153.0
르브론20,6450.0,4869.0
몰텐농구공,3160.0,23280.0
줌프릭4,1590.0,2062.0
에어조던1로우,9040.0,48018.0
아디다스농구화,2920.0,34440.0
농구유니폼,3380.0,80337.0
업템포,4090.0,22494.0
배구공,7990.0,142034.0
피구공,6890.0,37644.0
미즈노배구화,4900.0,28835.0
아식스배구화,9950.0,23224.0
배구화,8230.0,118233.0
나이키배구화,2240.0,2029.0
아식스스카이엘리트,1010.0,3327.0
배구유니폼,1330.0,16722.0
미카사배구공,2700.0,5615.0
빅발리볼,2590.0,3292.0
배구화추천,1010.0,118229.0
탁구라켓,18800.0,359666.0
탁구채,11950.0,359666.0
탁구화,10630.0,89997.0
미즈노탁구화,6400.0,14978.0
탁구공,7100.0,160446.0
탁구러버,4840.0,105426.0
탁구가방,2160.0,71201.0
탁구라켓케이스,1520.0,34286.0
탁구대,8070.0,82268.0
엑시옴탁구복,1830.0,2707.0
탁구유니폼,1400.0,45999.0
탁구복상의,1910.0,27035.0
버터플라이탁구복,1600.0,7298.0
아식스탁구화,1780.0,3386.0
테너지05,3180.0,6408.0
탁구용품,4190.0,450617.0
버터플라이탁구화,1570.0,63153.0
탁구연습기,1380.0,48796.0
배드민턴의류,9200.0,601404.0
배드민턴화,27680.0,211212.0
배드민턴가방,12640.0,232184.0
미즈노배드민턴화,12830.0,34890.0
요넥스배드민턴화,15060.0,41262.0
셔틀콕,13230.0,218782.0
요넥스티셔츠,6230.0,61583.0
배드민턴그립테이프,1070.0,63897.0
배드민턴그립,7520.0,169772.0
배드민턴신발,5020.0,261147.0
배드민턴티셔츠,2280.0,339270.0
요넥스반바지,2010.0,19903.0
KBB79,6240.0,419.0
요넥스배드민턴라켓,10510.0,82180.0
요넥스바람막이,6490.0,6376.0
아식스로테리브레,3130.0,28.0
배드민턴반바지,1390.0,94316.0
테크니스트티셔츠,2160.0,9087.0
테니스화,25020.0,381306.0
나이키테니스화,12190.0,63632.0
아식스테니스화,10610.0,53573.0
테니스가방,19400.0,315674.0
윌슨테니스라켓,9310.0,101672.0
테니스그립,6820.0,194617.0
테니스공,11020.0,400824.0
윌슨테니스가방,5500.0,44586.0
아디다스테니스화,6240.0,68912.0
테니스화여성,2000.0,103714.0
테니스백팩,2980.0,111359.0
바볼랏테니스라켓,3140.0,52951.0
요넥스테니스화,3130.0,33185.0
테니스복,3780.0,217896.0
여성테니스화,1240.0,103714.0
테니스라켓가방,2280.0,180120.0
비트로테니스화,1530.0,2242.0
스쿼시라켓,5660.0,70443.0
스타족구화,2120.0,3939.0
족구공,2680.0,39021.0
족구화,7110.0,19260.0
조이킥족구화,2200.0,642.0
족구네트,1400.0,45447.0
조이킥,4230.0,1271.0
볼링공,17780.0,88758.0
볼링화,8510.0,61933.0
볼링아대,4770.0,55455.0
볼링티셔츠,2240.0,26591.0
볼링가방,2910.0,71642.0
볼링용품,4950.0,120467.0
스톰볼링공,4200.0,7595.0
중고볼링공,2130.0,1176.0
볼링티,1750.0,26591.0
덱스터볼링화,2600.0,10925.0
남자볼링화,1260.0,26782.0
볼링백,3640.0,71642.0
하드볼,1910.0,11446.0
햄머볼링공,1860.0,8696.0
우레탄볼링공,1220.0,3917.0
프리다이빙슈트,3760.0,132583.0
웻슈트,3120.0,118461.0
수중랜턴,1200.0,92375.0
수중스쿠터,1530.0,26378.0
작살,2570.0,28678.0
서핑슈트,1100.0,299576.0
다이빙슈트,1450.0,559645.0
드라이슈트,1610.0,62673.0
작살총,1110.0,8223.0
다이빙컴퓨터,2040.0,22691.0
핀삭스,1180.0,10249.0
잠수복,1260.0,386928.0
검도복,1500.0,8381.0
검도용품,2140.0,63907.0
검도호구,1910.0,9808.0
죽도,13900.0,30679.0
신켄무도구,3960.0,181.0
댄스복,15650.0,2168541.0
줌바댄스복,13440.0,287814.0
라인댄스복,23380.0,602162.0
발레바,4650.0,46439.0
성인발레복,7580.0,90407.0
레오타드,9090.0,207978.0
방송댄스복,10920.0,398477.0
라인댄스상의,5730.0,202579.0
라인댄스치마,3900.0,167518.0
여성댄스복,5370.0,1069493.0
에어로빅복,5880.0,68361.0
폴웨어,10290.0,462312.0
라인댄스복상의,4140.0,203901.0
드레스몰,7290.0,6515.0
폴댄스의상,3600.0,74356.0
밸리댄스복,2480.0,348398.0
라인댄스바지,3530.0,79339.0
발레스커트,2980.0,133419.0
가정용샌드백,2500.0,85200.0
복싱글러브,15410.0,306491.0
복싱샌드백,2700.0,362988.0
위닝글러브,7120.0,12931.0
샌드백,15740.0,414590.0
트윈스글러브,3120.0,7570.0
권투글러브,2360.0,306491.0
복싱핸드랩,3400.0,40368.0
복싱미트,1280.0,134235.0
펀치볼,4160.0,162070.0
핸드랩,2090.0,45513.0
라이벌글러브,2100.0,2771.0
레예스글러브,2240.0,5801.0
아디다스복싱글러브,1400.0,6542.0
의료용손목보호대,6260.0,11938.0
손목아대,10190.0,299655.0
헬스스트랩,27790.0,231572.0
등산무릎보호대,5460.0,140468.0
허리복대,8530.0,244534.0
헬스손목보호대,8150.0,179045.0
헬스무릎보호대,5940.0,158062.0
얇은손목보호대,1490.0,24004.0
의료용무릎보호대,2190.0,14142.0
의료용허리보호대,2790.0,13759.0
발목아대,3050.0,100799.0
의료용발목보호대,1130.0,7033.0
헬스벨트,14770.0,279191.0
무릎아대,2430.0,198806.0
가검,2320.0,44427.0
목검,2860.0,45104.0
일본도,4270.0,10981.0
쌍절곤,5480.0,32377.0
진검,2120.0,5194.0
도검,2440.0,23938.0
검,7740.0,475207.0
단검,2910.0,24948.0
카타나,4710.0,101530.0
대조영도검,1630.0,1174.0
단도,2250.0,8557.0
한일도검,2210.0,3244.0
장검,1180.0,10348.0
사인검,1190.0,1797.0
청룡언월도,2060.0,3334.0
복싱화,11520.0,62133.0
주짓수도복,15210.0,56096.0
나이키복싱화,3330.0,2160.0
아디다스복싱화,2900.0,4449.0
태권도화,4490.0,4996.0
태권도도복,2680.0,19390.0
태권도복,2350.0,28124.0
유도복,3290.0,19744.0
미즈노복싱화,2780.0,940.0
레슬링화,1960.0,21926.0
아식스복싱화,1730.0,4004.0
주짓수벨트,2380.0,12292.0
아디다스유도복,2150.0,321.0
바이탈도복,4930.0,851.0
태권도띠,4410.0,8365.0
미즈노유도복,1050.0,828.0
불테리어도복,1170.0,649.0
아식스레슬링화,1010.0,4186.0
소요롤도복,1650.0,1007.0
니트바라클라바,23200.0,158130.0
자외선차단마스크,6760.0,343944.0
골프마스크,9700.0,279459.0
스포츠마스크,4460.0,1755000.0
얼굴햇빛가리개,2040.0,129553.0
쿨토시,2480.0,578334.0
팔토시,19060.0,667349.0
스포츠헤어밴드,5870.0,515813.0
자전거마스크,3650.0,305707.0
방한넥워머,12920.0,629798.0
골프넥워머,27870.0,202902.0
스키바라클라바,4320.0,64019.0
목토시,21730.0,406994.0
