relative_keyword,total_store
업템포,22494.0
배구공,142034.0
피구공,37644.0
미즈노배구화,28835.0
아식스배구화,23224.0
배구화,118233.0
나이키배구화,2029.0
아식스스카이엘리트,3327.0
배구유니폼,16722.0
미카사배구공,5615.0
빅발리볼,3292.0
배구화추천,118229.0
탁구라켓,359666.0
탁구채,359666.0
탁구화,89997.0
미즈노탁구화,14978.0
탁구공,160446.0
탁구러버,105426.0
탁구가방,71201.0
탁구라켓케이스,34286.0
탁구대,82268.0
엑시옴탁구복,2707.0
탁구유니폼,45999.0
탁구복상의,27035.0
버터플라이탁구복,7298.0
아식스탁구화,3386.0
테너지05,6408.0
탁구용품,450617.0
버터플라이탁구화,63153.0
탁구연습기,48796.0
배드민턴의류,601404.0
배드민턴화,211212.0
배드민턴가방,232184.0
미즈노배드민턴화,34890.0
요넥스배드민턴화,41262.0
셔틀콕,218782.0
요넥스티셔츠,61583.0
배드민턴그립테이프,63897.0
배드민턴그립,169772.0
배드민턴신발,261147.0
배드민턴티셔츠,339270.0
요넥스반바지,19903.0
KBB79,419.0
요넥스배드민턴라켓,82180.0
요넥스바람막이,6376.0
아식스로테리브레,28.0
배드민턴반바지,94316.0
테크니스트티셔츠,9087.0
테니스화,381306.0
나이키테니스화,63632.0
아식스테니스화,53573.0
테니스가방,315674.0
윌슨테니스라켓,101672.0
테니스그립,194617.0
테니스공,400824.0
윌슨테니스가방,44586.0
아디다스테니스화,68912.0
테니스화여성,103714.0
테니스백팩,111359.0
바볼랏테니스라켓,52951.0
요넥스테니스화,33185.0
테니스복,217896.0
여성테니스화,103714.0
테니스라켓가방,180120.0
비트로테니스화,2242.0
스쿼시라켓,70443.0
스타족구화,3939.0
족구공,39021.0
족구화,19260.0
조이킥족구화,642.0
족구네트,45447.0
조이킥,1271.0
볼링공,88758.0
볼링화,61933.0
볼링아대,55455.0
볼링티셔츠,26591.0
볼링가방,71642.0
볼링용품,120467.0
스톰볼링공,7595.0
중고볼링공,1176.0
볼링티,26591.0
덱스터볼링화,10925.0
남자볼링화,26782.0
볼링백,71642.0
하드볼,11446.0
햄머볼링공,8696.0
우레탄볼링공,3917.0
프리다이빙슈트,132583.0
웻슈트,118461.0
수중랜턴,92375.0
수중스쿠터,26378.0
작살,28678.0
서핑슈트,299576.0
다이빙슈트,559645.0
드라이슈트,62673.0
작살총,8223.0
다이빙컴퓨터,22691.0
핀삭스,10249.0
잠수복,386928.0
검도복,8381.0
검도용품,63907.0
검도호구,9808.0
죽도,30679.0
신켄무도구,181.0
댄스복,2168541.0
줌바댄스복,287814.0
라인댄스복,602162.0
발레바,46439.0
성인발레복,90407.0
레오타드,207978.0
방송댄스복,398477.0
라인댄스상의,202579.0
라인댄스치마,167518.0
여성댄스복,1069493.0
에어로빅복,68361.0
폴웨어,462312.0
라인댄스복상의,203901.0
드레스몰,6515.0
폴댄스의상,74356.0
밸리댄스복,348398.0
라인댄스바지,79339.0
발레스커트,133419.0
가정용샌드백,85200.0
복싱글러브,306491.0
복싱샌드백,362988.0
위닝글러브,12931.0
샌드백,414590.0
트윈스글러브,7570.0
권투글러브,306491.0
복싱핸드랩,40368.0
복싱미트,134235.0
펀치볼,162070.0
핸드랩,45513.0
라이벌글러브,2771.0
레예스글러브,5801.0
아디다스복싱글러브,6542.0
팔꿈치보호대,338451.0
의료용손목보호대,11938.0
손목아대,299655.0
헬스스트랩,231572.0
등산무릎보호대,140468.0
허리복대,244534.0
헬스손목보호대,179045.0
헬스무릎보호대,158062.0
얇은손목보호대,24004.0
의료용무릎보호대,14142.0
의료용허리보호대,13759.0
발목아대,100799.0
의료용발목보호대,7033.0
헬스벨트,279191.0
무릎아대,198806.0
가검,44427.0
목검,45104.0
일본도,10981.0
쌍절곤,32377.0
진검,5194.0
도검,23938.0
검,475207.0
단검,24948.0
카타나,101530.0
대조영도검,1174.0
단도,8557.0
한일도검,3244.0
장검,10348.0
사인검,1797.0
청룡언월도,3334.0
복싱화,62133.0
주짓수도복,56096.0
나이키복싱화,2160.0
아디다스복싱화,4449.0
태권도화,4996.0
태권도도복,19390.0
태권도복,28124.0
유도복,19744.0
미즈노복싱화,940.0
레슬링화,21926.0
아식스복싱화,4004.0
주짓수벨트,12292.0
아디다스유도복,321.0
바이탈도복,851.0
태권도띠,8365.0
미즈노유도복,828.0
불테리어도복,649.0
아식스레슬링화,4186.0
소요롤도복,1007.0
니트바라클라바,158130.0
자외선차단마스크,343944.0
골프마스크,279459.0
스포츠마스크,1755000.0
얼굴햇빛가리개,129553.0
쿨토시,578334.0
팔토시,667349.0
스포츠헤어밴드,515813.0
자전거마스크,305707.0
방한넥워머,629798.0
골프넥워머,202902.0
스키바라클라바,64019.0
목토시,406994.0
자전거고글,254640.0
아크릴판,220453.0
마카펜,141689.0
아크릴물감,264128.0
이젤,484422.0
오일파스텔,70692.0
목각인형,94477.0
컬러링북,168441.0
문진,76184.0
아크릴재단,23732.0
스티로폼,275597.0
화구통,75958.0
파버카스텔색연필,95557.0
포맥스,223607.0
프리즈마색연필,31945.0
프리즈마색연필72,3707.0
수채화물감,299657.0
인테리어액자,12834377.0
차량용목쿠션,888227.0
차키케이스,456344.0
차량용거치대,2064895.0
차량용충전기,1115482.0
차량용무선충전거치대,244685.0
차량용공기청정기,290391.0
핸들커버,2858462.0
키케이스,2651143.0
트렁크정리함,1071887.0
자동차에어컨필터,1252115.0
차량용에어컨필터,236195.0
맥세이프차량용거치대,63041.0
차량핸드폰거치대,1819887.0
차박매트,607020.0
테이프공,75248.0
티니핑피규어,28349.0
비즈,4799752.0
슬램덩크피규어,65005.0
새총,56365.0
탑로더,39847.0
뉴타입,267866.0
슬리브,19164100.0
슬램덩크만화책,1009.0
테이프볼,75248.0
젤다아미보,12861.0
타로카드,242043.0
어항,2121644.0
수초,374325.0
거북이어항,188028.0
생이새우,3466.0
어항조명,182522.0
어항여과기,222876.0
체리새우,5621.0
여과기,850312.0
외부여과기,67265.0
어항받침대,83696.0
브라인쉬림프,11438.0
유목,53895.0
구피사료,48610.0
걸이식여과기,50144.0
거북이사료,31292.0
미니어항,206648.0
물멍,88939.0
진공쌀통,133013.0
고무장갑,860265.0
싱크대거름망,191018.0
나무도마,252173.0
비닐봉투,1360902.0
라텍스장갑,350888.0
편백나무찜기,32118.0
칼갈이,508149.0
엔드그레인도마,21675.0
도시락통,335150.0
커트러리,674972.0
