cid,title,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
50000026,냉동/간편조리식품,다이어트도시락,도시락,컵밥,햇반,샐러드,누룽지,갈비탕,육개장,만두,곰탕,다이어트식단,냉동도시락,즉석밥,오뚜기밥,비비고죽,비비고왕교자,비비고,떡볶이,죽,치즈스틱
50000027,등산,핫팩,등산화,발열조끼,등산스틱,손난로,트레킹화,노스페이스패딩,패딩,롱패딩,경량패딩,디스커버리패딩,충전식손난로,바람막이,k2패딩,등산가방,아이젠,마이핫보온대,노스페이스눕시,노스페이스바람막이,등산모자
50000028,캠핑,캠핑의자,침낭,캠핑랜턴,캠핑테이블,헤드랜턴,캠핑박스,캠핑웨건,원터치텐트,캠핑매트,파워뱅크,야전침대,그리들,캠핑버너,천막,캐노피천막,캠핑폴딩박스,구이바다,장작,캠핑화로대,텐트
50000029,골프,골프거리측정기,골프장갑,골프스타킹,골프패치,골프공,거리측정기,골프화,아이언커버,골프웨어,골프스윙연습기,여성골프웨어,골프티꽂이,골프백,자외선차단패치,골프모자,남성골프화,캐디백,아디다스골프화,여성골프화,골프볼마커
50000030,헬스,폼롤러,아령,실내자전거,런닝머신,철봉,문틀철봉,줄넘기,스텝퍼,풀업밴드,치닝디핑,무게조절덤벨,로잉머신,마사지볼,튜빙밴드,악력기,루프밴드,ab슬라이드,덤벨,푸쉬업바,헬스장갑
50000031,요가/필라테스,요가매트,요가양말,필라테스양말,요가링,요가바지,요가복,스파인코렉터,안다르,필라테스복,필라테스요가양말니삭스롱삭스논슬립,필라테스기구,운동매트,뮬라웨어,젝시믹스,요가타올,토삭스,필라테스상의,요가삭스,헬스매트,요가매트요가매트요가매트요가매트
50000033,인라인스케이트,인라인스케이트,롤러블레이드,인라인,인라인가방,k2인라인스케이트,성인인라인스케이트,k2인라인,인라인바퀴,인라인스케이트성인용,성인용인라인스케이트,롤러브레이드,아동인라인스케이트,어린이인라인스케이트,휠러스인라인,인라인스케이트가방,유아롤러스케이트,어린이롤러스케이트,아동롤러스케이트,어린이인라인,롤러블레이드인라인
50000034,스케이트/보드/롤러,전동킥보드,킥보드,스케이트보드,롤러스케이트,롱보드,힐리스,두발킥보드,롤러슈즈,핑거보드,스타쉽크루저롱보드,힐리스운동화,전동스케이트보드,전동보드,휠리스,나인봇,어린이스케이트보드,성인킥보드,바퀴달린신발,퀵보드,보드
50000035,오토바이/스쿠터,전동스쿠터,헬멧블루투스,오토바이헬멧,전기스쿠터,전기오토바이,스쿠터,오토바이장갑,헬멧,오토바이헬멧블루투스,혼다오토바이,오토바이블루투스,오토바이,홍진헬멧,포팩트f2s,오토바이블랙박스,겨울오토바이장갑,탑박스,포팩트z1,바이크헬멧,세나50s
50000036,축구,풋살화,축구화,축구공,골키퍼장갑,나이키축구화,나이키풋살화,미즈노풋살화,아디다스축구화,아디다스풋살화,더플백,미즈노축구화,축구유니폼,나이키더플백,키즈풋살화,헬스가방,운동가방,팀조끼,주니어축구화,주니어풋살화,축구양말
