relative_keyword,grade_norm,grade_power,grade_bigpower,grade_premium,review_10,review_50,review_100,review_1000,total_review,avg_review
대방어필렛,14,11,13,2,22,6,9,3,9600,240
바이오더마센시비오,0,5,12,15,20,2,10,8,48172,1204
아이팜베이비룸,0,0,0,10,17,1,17,5,21931,548
아기반달쿠션,13,2,5,8,33,0,7,0,3259,81
아기머리보호대,5,3,5,3,12,3,17,8,31281,782
마블트리,9,5,8,14,35,2,2,1,2027,50
디젤엔진오일첨가제,2,0,6,0,1,3,23,13,67765,1694
발열도시락,5,7,12,0,18,4,16,2,15601,390
퍼마텍스,1,2,7,7,25,5,9,1,5792,144
캐리어손잡이,3,5,3,0,30,3,7,0,4509,112
더분스펀지,0,8,5,27,34,3,1,2,4100,102
케틀벨,0,6,6,1,13,5,14,8,27477,686
미도어묵,2,5,11,0,17,5,13,5,13019,325
앱코키보드,0,0,2,2,5,2,21,12,42517,1062
조성아레이빔업,1,0,7,26,33,2,4,1,5158,128
조성아레이빔업크림,1,0,7,26,33,2,4,1,5191,129
포맥스사육장,2,1,8,0,33,2,5,0,1814,45
닥터지폼클렌징,4,6,12,6,19,4,8,9,72266,1806
화재감지기,3,2,12,1,17,8,8,7,26850,671
만능양념장,5,2,11,2,11,5,18,6,17530,438
야자매트,11,8,2,0,19,5,16,0,6616,165
카페라떼잔,0,3,10,0,27,3,7,3,9653,241
스틸레토망치,14,1,8,17,39,0,1,0,146,3
골든벨수저세트,0,4,19,1,25,5,7,3,16563,414
립그립,1,0,2,1,16,3,20,1,8897,222
스펀지여과기,1,2,7,3,9,4,23,4,21434,535
보청기배터리,8,5,6,2,17,4,16,3,26705,667
극세사샤워가운,2,8,2,2,21,3,13,3,10288,257
홀딩도어,14,3,8,4,18,2,15,5,22593,564
남아가디건,6,11,6,0,33,3,3,1,2467,61
스카트위생행주,2,2,15,17,15,5,16,4,17326,433
현금다이어리,15,4,17,1,28,3,9,0,2978,74
푸드세이버진공팩,8,2,13,17,32,2,5,1,4170,104
크록스키즈털,3,0,14,2,26,3,9,2,4763,119
낫포유바디미스트,8,5,16,9,35,0,3,2,16740,418
채우다모,2,1,13,23,35,0,5,0,1458,36
앵커크림치즈,0,3,6,5,25,4,8,3,14875,371
비단멍게,3,3,1,26,28,3,1,1,3644,110
캠벨포도,13,9,11,7,29,4,6,1,3363,84
이유식찜기,4,16,18,2,20,5,11,4,11945,298
스타벅스카페베로나,9,6,16,7,27,5,5,3,11419,285
S-FAN50,15,6,14,4,30,2,5,3,23635,590
스파이더맨옷,13,7,10,10,27,2,7,4,11542,288
관절살리도,18,5,7,8,35,1,4,0,1371,34
과일자르기,3,6,5,3,21,6,7,6,32430,810
산펠레그리노탄산수,7,3,17,8,13,8,14,5,19398,484
온더바디발을씻자,4,1,15,12,18,2,10,10,58220,1455
귀수에기,2,1,15,13,26,3,11,0,3367,84
카웨코알블랙,14,6,6,10,33,3,3,1,2756,68
생유자,15,9,13,3,29,2,6,3,6402,160
칠순잔치상차림,15,1,16,2,22,6,11,1,6164,154
브릭오,0,0,29,4,33,3,3,1,3356,83
칼가는기계,3,0,6,0,29,3,8,0,3529,88
청도감말랭이,9,13,9,8,9,4,20,7,53091,1327
고멕서스더블핸들,0,2,35,3,17,9,12,2,6860,171
아르떼펠레,4,1,6,2,34,1,5,0,1834,45
주니어발레복,0,14,11,0,23,3,13,1,9307,232
냉장고탈취제,2,3,9,3,7,6,14,13,38033,950
