relative_keyword,total_search,total_store_count,competitive_rate
요넥스배드민턴라켓,12390.0,84867.0,6.85
혼자배드민턴,18440.0,11217.0,0.61
나이키테니스화,13410.0,65842.0,4.91
아식스테니스화,11510.0,57929.0,5.03
윌슨테니스가방,6410.0,47066.0,7.34
아디다스테니스화,6710.0,71113.0,10.6
아식스젤레졸루션9,2690.0,7745.0,2.88
테니스장갑,11260.0,16523.0,1.47
요넥스테니스화,3400.0,32198.0,9.47
키모니그립,2940.0,28083.0,9.55
아식스FF3,1920.0,3491.0,1.82
스쿼시라켓,5930.0,79131.0,13.34
라테스민턴,1340.0,101.0,0.08
테크니화이버,3250.0,13507.0,4.16
스타족구화,2150.0,3990.0,1.86
족구공,3470.0,39544.0,11.4
족구화,8640.0,20994.0,2.43
조이킥족구화,2470.0,654.0,0.26
족구네트,1900.0,46011.0,24.22
낫소족구화,1010.0,3426.0,3.39
조이킥,4420.0,1293.0,0.29
조이킥스포츠,4270.0,603.0,0.14
볼링공,17760.0,89354.0,5.03
볼링화,8670.0,69476.0,8.01
볼링아대,4930.0,56102.0,11.38
덱스터볼링화,2510.0,11862.0,4.73
볼링가방,2920.0,72723.0,24.91
볼링티,1750.0,26676.0,15.24
볼링티셔츠,2330.0,26676.0,11.45
스톰볼링공,4180.0,7494.0,1.79
볼링매니아,4750.0,300.0,0.06
중고볼링공,2150.0,691.0,0.32
하드볼,1910.0,11695.0,6.12
남자볼링화,1290.0,30941.0,23.99
볼링볼타올,1050.0,7096.0,6.76
햄머볼링공,1910.0,8583.0,4.49
우레탄볼링공,1290.0,3931.0,3.05
볼링백,3510.0,72723.0,20.72
드라이슈트,1790.0,72203.0,40.34
수중랜턴,1660.0,97835.0,58.94
다이빙컴퓨터,2150.0,23617.0,10.98
작살,2240.0,30716.0,13.71
수중스쿠터,1320.0,29482.0,22.33
베스트다이브슈트,1190.0,5167.0,4.34
다이브로이드,2450.0,507.0,0.21
핀삭스,1120.0,10749.0,9.6
순토D5,1220.0,8171.0,6.7
베스트다이브,3870.0,6767.0,1.75
검도용품,2130.0,67065.0,31.49
검도복,1530.0,8764.0,5.73
검도호구,2080.0,10273.0,4.94
죽도,18030.0,31556.0,1.75
신켄무도구,3750.0,184.0,0.05
성인발레복,8050.0,99131.0,12.31
드레스몰,7140.0,5970.0,0.84
라인댄스바지,3390.0,78586.0,23.18
발레워머,5580.0,33502.0,6.0
에어로빅복,5550.0,70324.0,12.67
코코랑,4620.0,3782.0,0.82
폴댄스의상,4100.0,77432.0,18.89
가정용샌드백,2430.0,88431.0,36.39
위닝글러브,7270.0,13441.0,1.85
복싱핸드랩,3560.0,42097.0,11.82
트윈스글러브,3190.0,7984.0,2.5
핸드랩,2330.0,47711.0,20.48
에버라스트글러브,1480.0,18488.0,12.49
레예스글러브,2410.0,5780.0,2.4
아디다스글러브,1850.0,19962.0,10.79
복싱바,1110.0,17271.0,15.56
탭볼,1800.0,6331.0,3.52
라이벌글러브,2140.0,2569.0,1.2
아디다스복싱글러브,1370.0,6942.0,5.07
의료용무릎보호대,3600.0,14414.0,4.0
의료용손목보호대,6730.0,12227.0,1.82
잠스트무릎보호대,20220.0,6317.0,0.31
엘보보호대,8810.0,77530.0,8.8
엄지손가락보호대,6530.0,51191.0,7.84
가검,2350.0,47868.0,20.37
목검,3030.0,48388.0,15.97
일본도,4510.0,12402.0,2.75
쌍절곤,4960.0,35114.0,7.08
진검,2080.0,6136.0,2.95
도검,2430.0,25358.0,10.44
단검,3280.0,26512.0,8.08
단도,2390.0,9602.0,4.02
카타나,4270.0,104896.0,24.57
와키자시,1160.0,2881.0,2.48
한일도검,2170.0,3815.0,1.76
청룡언월도,2180.0,3493.0,1.6
장검,1210.0,11469.0,9.48
사인검,1380.0,1975.0,1.43
대조영도검,1590.0,1158.0,0.73
장도,6360.0,3312.0,0.52
복싱화,12260.0,64615.0,5.27
주짓수도복,16170.0,58828.0,3.64
