relative_keyword,total_search,total_store_count,competitive_rate,avg_price,avg_sale
수중랜턴,1660.0,97835.0,58.94,74437.0,3221666.0
핀삭스,1120.0,10749.0,9.6,26795.0,914987.0
검도용품,2130.0,67065.0,31.49,30941.0,145436.0
검도복,1530.0,8764.0,5.73,58275.0,346593.0
죽도,18030.0,31556.0,1.75,35825.0,224693.0
신켄무도구,3750.0,184.0,0.05,62506.0,261907.0
성인발레복,8050.0,99131.0,12.31,22878.0,845447.0
드레스몰,7140.0,5970.0,0.84,18843.0,257058.0
발레워머,5580.0,33502.0,6.0,27057.0,425984.0
에어로빅복,5550.0,70324.0,12.67,18660.0,379490.0
폴댄스의상,4100.0,77432.0,18.89,28993.0,262163.0
가정용샌드백,2430.0,88431.0,36.39,59965.0,1740498.0
복싱핸드랩,3560.0,42097.0,11.82,13616.0,535295.0
핸드랩,2330.0,47711.0,20.48,12564.0,807645.0
에버라스트글러브,1480.0,18488.0,12.49,47610.0,439682.0
의료용무릎보호대,3600.0,14414.0,4.0,18943.0,2917414.0
의료용손목보호대,6730.0,12227.0,1.82,15106.0,1000922.0
잠스트무릎보호대,20220.0,6317.0,0.31,44284.0,2355672.0
엘보보호대,8810.0,77530.0,8.8,19090.0,2068843.0
엄지손가락보호대,6530.0,51191.0,7.84,11565.0,521557.0
가검,2350.0,47868.0,20.37,91870.0,156246.0
목검,3030.0,48388.0,15.97,34934.0,135925.0
일본도,4510.0,12402.0,2.75,76927.0,144524.0
쌍절곤,4960.0,35114.0,7.08,9404.0,48703.0
진검,2080.0,6136.0,2.95,68722.0,353708.0
단검,3280.0,26512.0,8.08,52650.0,23913.0
단도,2390.0,9602.0,4.02,51677.0,40616.0
카타나,4270.0,104896.0,24.57,80398.0,3166.0
와키자시,1160.0,2881.0,2.48,74050.0,127283.0
청룡언월도,2180.0,3493.0,1.6,57517.0,58944.0
장검,1210.0,11469.0,9.48,56411.0,79054.0
사인검,1380.0,1975.0,1.43,55406.0,109083.0
장도,6360.0,3312.0,0.52,51345.0,106333.0
태권도화,3980.0,5138.0,1.29,32272.0,255596.0
태권도도복,2910.0,20580.0,7.07,27386.0,538004.0
태권도복,2520.0,29620.0,11.75,34349.0,328347.0
프로스펙스복싱화,1040.0,745.0,0.72,56483.0,54345.0
줄넘기화,1030.0,10924.0,10.61,41726.0,101406.0
나이키헤어밴드,8730.0,18882.0,2.16,18917.0,1491467.0
오일파스텔,17910.0,71868.0,4.01,17284.0,969410.0
문진,16440.0,78006.0,4.74,15228.0,248719.0
파버카스텔색연필,4670.0,98489.0,21.09,21158.0,720780.0
화구통,3600.0,75172.0,20.88,11747.0,590766.0
옷염색약,3710.0,8804.0,2.37,9410.0,689188.0
하드보드지,11690.0,19989.0,1.71,11831.0,132009.0
맥세이프차량용거치대,23190.0,65673.0,2.83,27627.0,1614538.0
젤다아미보,11260.0,13259.0,1.18,31422.0,712680.0
푸쉬팝게임기,10300.0,12902.0,1.25,6585.0,758440.0
꼬치의달인,24220.0,787.0,0.03,46295.0,133883.0
MGSD발바토스,10770.0,480.0,0.04,79461.0,162713.0
외부여과기,5100.0,67845.0,13.3,57684.0,667942.0
브라인쉬림프,5940.0,11477.0,1.93,15928.0,689786.0
유목,8000.0,55824.0,6.98,10528.0,255367.0
무환수어항,5390.0,17736.0,3.29,69284.0,704623.0
걸이식여과기,3670.0,50668.0,13.81,12411.0,322675.0
2자어항,3680.0,88664.0,24.09,46075.0,836961.0
화산석,10790.0,73901.0,6.85,8771.0,327206.0
뉴진스앨범,17520.0,2564.0,0.15,17265.0,694154.0
플레이브앨범,6630.0,120.0,0.02,15761.0,319268.0
세븐틴앨범,23690.0,7132.0,0.3,14976.0,341132.0
투바투앨범,15640.0,3446.0,0.22,13762.0,253501.0
제로베이스원앨범,7550.0,1203.0,0.16,15681.0,202281.0
아이브마인앨범,4440.0,1489.0,0.34,12302.0,749277.0
르세라핌앨범,8060.0,2466.0,0.31,18073.0,132380.0
제베원앨범,7790.0,758.0,0.1,12008.0,216549.0
정국골든앨범,7510.0,375.0,0.05,27137.0,50080.0
라이즈앨범,9890.0,791.0,0.08,24662.0,188640.0
QWER앨범,4430.0,61.0,0.01,15086.0,280572.0
이승윤LP,3430.0,34.0,0.01,88850.0,253931.0
아이브미니앨범,2310.0,718.0,0.31,22745.0,574529.0
슬램덩크만화책,5360.0,1272.0,0.24,55522.0,64200.0
그리스로마신화,29860.0,6505.0,0.22,17154.0,13226.0
성경책,25880.0,17716.0,0.68,27622.0,824229.0
싱잉볼,12160.0,85789.0,7.06,42659.0,739344.0
