relative_keyword,avg_sale
승모근마사지기,2450406
바디괄사,806600
슈케이스,1179214
섬유탈취제,2622724
곰팡이제거제,5285145
바퀴벌레약,4444388
옷장방향제,1345575
피톤치드스프레이,7626629
실내공기정화식물,1326630
인형꽃다발,599644
졸업식꽃다발,879503
승진화분,1242000
씨감자,23455
킨더조이꽃다발,471801
비누꽃다발,502443
올리브나무,370750
제초매트,923008
수경재배기,1124928
모두싹,681178
닌텐도스위치스포츠,1476846
닌텐도스위치조이콘,1904631
링피트,893786
모니터보안필름,871918
키보드손목받침대,1077512
마우스손목받침대,863920
15인치노트북파우치,1779166
노트북쿨링패드,1941886
아이패드종이필름,2700251
갤럭시탭S8케이스,3914012
짭플펜슬,1814339
아이패드에어4케이스,1565994
애플펜슬펜촉,2019949
갤럭시탭S8플러스케이스,3043765
아이패드9세대케이스,1256864
아이패드미니6케이스,560164
아이패드에어5케이스,1555208
갤럭시탭S6라이트케이스,1038402
아이패드종이질감필름,2866225
듀얼모니터암,1120787
듀얼모니터받침대,1244328
싱글모니터암,1453787
원목모니터받침대,757730
높이조절모니터받침대,902003
모니터암듀얼,1632705
카멜모니터암,1494217
MLT-K200L,840250
CLT-K510S,3312965
브리츠스피커,882430
브리츠사운드바,630110
앱코헤드셋,334465
CTOHDMI,156893
마이크로닉스파워,357722
굿노트다이어리,198658
3단매트리스,10821117
초등학생의자,4520806
침대안전가드,2444857
테라스가림막,599401
현관코일매트,268980
철제다리,499554
오로라무드등,2555531
다리베개,1528448
거북목베개,9975554
구스베개,2435022
빨아쓰는규조토발매트,897871
우드블라인드,2616490
콤비블라인드,722385
차르르커튼,911617
방한암막커튼,4812866
속커튼,1831001
안뚫어고리,867972
자이언트얀가방,23865
벨벳자이언트얀,1119275
자이언트얀실,1001155
자이언트얀벨벳,1085635
양모펠트,426275
펀치니들,281975
해바라기보석십자수,1639653
양말목,515405
힙분유,7989814
압타밀,8606622
앱솔루트명작,3416428
앱솔루트명작1단계,404660
아이엠마더1단계,1976083
아이엠마더,1834342
산양분유,5590778
위드맘,100716
위드맘1단계,110411
액상분유,4286623
천기저귀,1226965
페넬로페기저귀,9481600
쿠잉기저귀,366931
하기스기저귀,9402485
하기스네이처메이드1단계,4962965
하기스네이처메이드2단계,5354020
신생아기저귀,6594178
방수기저귀,327832
팸퍼스,65538994
하기스네이처메이드,5940920
팸퍼스기저귀,58547272
팸퍼스베이비드라이5단계,1415146
하기스네이처메이드3단계,4956092
대용량물티슈,14664725
비데물티슈,5534355
업소용물티슈,3002677
신생아물티슈,10511955
물티슈20팩,33477620
앙블랑물티슈,15214
마이비데,2608824
순둥이물티슈,2250679
베베숲시그니처블루,2352887
미엘물티슈,489060
아기반찬,2687011
이유식큐브,4292978
이유식쌀가루,1297191
초기이유식,5534901
아기퓨레,8504540
아기김,1341981
아기간장,251958
실온이유식,1215466
아기김치,1812584
맘마밀,751483
이유식야채큐브,7255897
담은수,
아넬라퓨레,10030657
퓨레,12056378
엘빈즈,
아기과자,5953321
유기농과자,3568875
뽀로로음료수,1828255
배도라지,3133210
뽀로로음료,2311396
티딩러스크,1537116
아기치즈,1542630
킨더밀쉬,7920311
루솔진한배도라지즙,3185600
아기보리차,1999680
아이키커,370707
뽀로로보리차,5037110
아기배도라지즙,1831291
아기떡뻥,4287801
베베당,178913
요미요미,819870
쪽쪽이,4372213
역류방지쿠션,8947744
유축기,2577300
수유쿠션,10281954
제이앤제나역류방지쿠션,26252587
쪽쪽이클립,651909
더블하트젖꼭지,1199088
더블하트젖병,1625662
유리젖병,842908
아벤트쪽쪽이,3216435
모윰쪽쪽이,
닥터브라운젖병,966631
모유저장팩,874291
유축기대여,1415898
수유패드,1114194
스펙트라젖병,135269
유모차컵홀더,596599
유모차라이너,4478895
유모차장갑,1312504
유모차걸이,190880
유모차가방걸이,127280
부스터카시트,51804
카시트발받침대,849301
카시트후방거울,1416557
카시트발판,913390
안전벨트인형,998702
어린이안전벨트,932365
페도라바구니카시트,217182
기저귀가방백팩,3714964
신생아아기띠,843049
기저귀파우치,5650113
아기포대기,1154229
아기띠침받이,390663
국민기저귀가방,4078574
기저귀백팩,4718861
백팩기저귀가방,3911945
기저귀가방이너백,4482624
아기욕조,5563967
아기비데,7100567
신생아욕조,3835824
샤워핸들,6936894
말랑하니욕조,7738696
포프베베아기비데,7003990
포프베베,3763103
아기목욕타올,2231755
아기물놀이장난감,528816
온다베이비플러스,36466
온다베이비욕조,90667
슈너글아기욕조,5860255
유아욕조,5838090
아기세면대,482797
옥토넛장난감,129788
말랑하니,11132427
프롬유,8632036
아기수딩젤,33043479
아기엉덩이클렌저,3863576
베이비로션,35338436
유아로션,33043479
아기바디워시,5450920
유아바디워시,5352102
베이비오일,772237
키즈로션,1264466
키즈샴푸,6322742
신생아로션,3089530
캐치티니핑마스크,831545
포켓몬마스크,230182
콧물흡입기,65137265
아기변기,2192126
초소형마스크,3989756
유아변기,2629656
어린이치약,3626301
유아치약,4246024
아기치약,4739399
조르단칫솔,499713
키즈치약,3693390
어린이고불소치약,1946085
벨레다치약,281171
조르단칫솔1단계,637394
조르단치약,1051672
유아세제,4132057
유아세탁세제,4520739
아기섬유유연제,1601928
유아섬유유연제,1551032
아기세탁세제,3540320
토루토루세탁세제,7648362
마이비얼룩제거제,437388
레드루트세탁세제,476662
호호에미,29200
비앤비섬유세제,617039
젖병세정제,10164197
젖병세척솔,1386435
젖병건조대,1303772
젖병세제,11513855
아기안전문,1537009
모기패치,1839398
아기무릎보호대,1215173
호빵맨모기패치,264242
루보안전문,28181864
아기머리보호대,494740
머리쿵보호대,236513
기저귀정리함,211245
기저귀갈이대,367632
유아책상,2446893
아기식탁의자,5765143
아기침대대여,226140
아기쇼파,1669393
유아식판,2319976
실리콘턱받이,730534
이유식턱받이,5373557
아기턱받이,4280761
흡착식판,2207562
아기식판,1745982
그로미미빨대컵,3598362
릿첼이유식스푼,1240575
자기주도이유식스푼,2277248
자기주도스푼,2167864
과즙망,1385402
베이비뵨턱받이,17333
아기빨대컵,5437572
수유나시,1229667
수유브라,2856558
임부팬티,2056313
임산부브라,2085996
임산부팬티,1866591
임산부수영복,696541
임산부바지,713333
수유복,1157250
임산부레깅스,877694
맘스안심팬티,1063153
수유원피스,527641
임산부복대,2332607
임산부바디필로우,1204465
임산부손목보호대,640365
튼살크림,6187492
양배추크림,874235
임산부샴푸,963003
임산부튼살크림,5530028
임산부크림,5158957
임산부쿠션,1170794
비오템튼살크림,2552939
회음부방석,650505
도넛방석,600785
산모손목보호대,638135
임산부바디워시,451342
아토팜튼살크림,3164518
란시노라놀린크림,16540
어린이집낮잠이불,3543416
아기베개,2488605
신생아아기이불,7209020
아기방수패드,3913985
아기블랭킷,2919303
속싸개,6807948
어린이집이불,3553931
아기토퍼,550854
신생아베개,2402800
낮잠이불세트,3336128
백일상,3365560
돌상대여,3095577
유치보관함,844987
50일셀프촬영,847244
아기우주복,1421376
밍크뮤바디수트,206106
패딩우주복,871396
아기손수건,939277
에뜨와우주복,542880
에뜨와바디수트,50035
아기한복,2288359
여아한복,2274097
남아한복,2856282
나이키키즈운동화,1257243
뉴발란스키즈운동화,1993166
휠라키즈운동화,426296
초등소풍가방,1207983
미니멜리사,806850
유아래쉬가드,1986916
아기수영복,1364570
키즈래쉬가드,2670086
주니어래쉬가드,2168399
유아수영복,1730912
여아래쉬가드,2203515
아레나키즈수영복,1287207
아기래쉬가드,2118936
주니어수영복,1765450
배럴키즈래쉬가드,108888
아레나남아수영복,217717
아동래쉬가드,2748701
여아실내수영복,1720533
아레나여아수영복,1146583
졸리점퍼대여,255901
졸리점퍼,700534
어라운드위고,638016
베이비뵨바운서대여,1092283
바운서대여,740211
피셔프라이스바운서,29687
아기보행기,1322367
보행기대여,255843
신생아바운서,1065450
쏘서대여,527449
유아킥보드,2428115
아기텐트,1942145
포켓몬카드앨범,442799
전동물총,4882700
알파벳로어,50307
레인보우프렌즈,89139
아기애착인형,2218633
종이인형,21587
파라필름,221529
소마셈,
메모리게임,108871
원소주기율표,63724
소중한글,3533780
영어보드게임,145707
귀멸의칼날만화책,
팩토수학,
기적의한글,2009000
양념LA갈비,6569008
양념갈비,4357013
반찬정기배송,4088596
밑반찬,7577048
명이나물,5448221
김부각,1715421
부각,1631931
고추부각,709250
매실장아찌,1038672
콩잎장아찌,604003
궁채장아찌,2170156
무말랭이,784332
코우코우,1466884
오이지,728972
본죽장조림,2062185
홍어무침,839612
반찬배달,2902021
배추김치,21776256
총각김치,5218056
묵은지,5727763
보쌈김치,2211179
열무김치,3713128
수제청,6063048
로즈힙퓨레,729457
딸기청,5890188
타트체리,481531
제로콜라,10962063
도라지정과,2177659
수제쿠키,3682859
크로와상생지,2434562
자일리톨사탕,1920031
르뱅쿠키,2222742
호두정과,498097
목포쫀드기,641169
앵커버터,2175514
구워먹는치즈,635171
모짜렐라치즈,8883282
무염버터,1230391
필라델피아크림치즈,498406
생크림,1157175
슬라이스치즈,3260807
피자치즈,7413183
체다치즈,4059068
스트링치즈,897938
연유,8517378
서울우유생크림,202502
이즈니버터,676111
부라타치즈,1183668
라꽁비에뜨버터,391924
가죽식탁매트,1171742
삼각등받이쿠션,4629288
강아지유산균,3905816
고양이정수기,1985308
강아지관절영양제,7933154
세면대필터,1343124
레터링풍선,2876771
카드단말기,8647956
포스용지,3204059
만년도장,1770861
용돈박스,2440845
수제도장,1574000
철제배너,2728104
인생네컷앨범,1378234
굴비,7025925
멍게,404805
한라봉,385292
레드향,423055
대저토마토,92554
참외,7328168
실내자전거거치대,856571
스키보호대,1358583
스키양말,126937
스노우보드헬멧,797778
집어등,607935
텅스텐헤드,159398
쪼꼬미에기,2457869
가슴장화,1163034
야마시타AJ,510991
차량용소화기,3392154
스트레치필름,1857342
발열양말,437060
아디다스드로즈,593437
캘빈클라인드로즈,16598114
아디다스슬리퍼,2420942
지비츠세트,109132
신발방수스프레이,598047
평발깔창,5711235
족저근막염깔창,6623492
구두주걱,306205
신발밑창보강,544475
캉골메신저백,374461
캉골슬링백,667155
18인치캐리어,5892805
루이까또즈지갑,107000
닥스벨트,806200
헤지스벨트,209845
폴로모자,1606922
화이트샌즈,
비비안웨스트우드장갑,196167
핑거홀장갑,553512
김서림방지안경닦이,1334597
안경닦이,1515909
베디베로선글라스,127846
틴트선글라스,3229481
바나나핀,349033
왕리본핀,629047
