relative_keyword,total_search,total_store,competitive_rate,avg_price,avg_sale
배구유니폼,1330.0,16722.0,12.572932330827069,41272.0,26666.0
미카사배구공,2700.0,5615.0,2.079629629629629,84205.0,288046.0
배구화추천,1010.0,118229.0,117.05841584158416,76908.0,1746098.0
탁구화,10630.0,89997.0,8.466321730950142,88677.0,4616700.0
탁구러버,4840.0,105426.0,21.78223140495868,36578.0,949555.0
탁구가방,2160.0,71201.0,32.963425925925925,42872.0,74893.0
탁구라켓케이스,1520.0,34286.0,22.556578947368426,26071.0,49283.0
엑시옴탁구복,1830.0,2707.0,1.4792349726775955,47822.0,363119.0
탁구유니폼,1400.0,45999.0,32.85642857142857,38504.0,274599.0
탁구복상의,1910.0,27035.0,14.154450261780104,43921.0,220441.0
버터플라이탁구복,1600.0,7298.0,4.56125,51994.0,474757.0
테너지05,3180.0,6408.0,2.015094339622641,80856.0,530200.0
버터플라이탁구화,1570.0,63153.0,40.22484076433121,76590.0,1169866.0
요넥스티셔츠,6230.0,61583.0,9.884911717495989,40172.0,180500.0
요넥스반바지,2010.0,19903.0,9.901990049751245,37968.0,710000.0
요넥스바람막이,6490.0,6376.0,0.9824345146379044,89002.0,168029.0
배드민턴반바지,1390.0,94316.0,67.85323741007194,30183.0,347416.0
윌슨테니스가방,5500.0,44586.0,8.106545454545454,64156.0,860505.0
아디다스테니스화,6240.0,68912.0,11.043589743589743,70730.0,951363.0
테니스화여성,2000.0,103714.0,51.857,90642.0,1960559.0
테니스백팩,2980.0,111359.0,37.368791946308725,65832.0,1017251.0
요넥스테니스화,3130.0,33185.0,10.60223642172524,94461.0,903813.0
여성테니스화,1240.0,103714.0,83.64032258064516,93086.0,2094576.0
스타족구화,2120.0,3939.0,1.858018867924528,74895.0,1280966.0
족구공,2680.0,39021.0,14.560074626865672,32875.0,943650.0
족구화,7110.0,19260.0,2.7088607594936707,68569.0,1803800.0
조이킥족구화,2200.0,642.0,0.2918181818181818,85346.0,417883.0
족구네트,1400.0,45447.0,32.46214285714286,34111.0,204190.0
조이킥,4230.0,1271.0,0.3004728132387707,85416.0,416592.0
볼링아대,4770.0,55455.0,11.625786163522012,64610.0,892427.0
볼링티셔츠,2240.0,26591.0,11.870982142857144,35594.0,102305.0
볼링티,1750.0,26591.0,15.194857142857144,30871.0,179947.0
볼링백,3640.0,71642.0,19.68186813186813,97147.0,1338685.0
웻슈트,3120.0,118461.0,37.96826923076923,79185.0,2361066.0
수중랜턴,1200.0,92375.0,76.97916666666667,75188.0,3147777.0
핀삭스,1180.0,10249.0,8.685593220338983,25936.0,905770.0
검도복,1500.0,8381.0,5.5873333333333335,51448.0,322022.0
검도용품,2140.0,63907.0,29.863084112149533,22062.0,143277.0
죽도,13900.0,30679.0,2.207122302158273,37200.0,229685.0
신켄무도구,3960.0,181.0,0.0457070707070707,73722.0,319840.0
발레바,4650.0,46439.0,9.986881720430109,97351.0,1869830.0
성인발레복,7580.0,90407.0,11.927044854881268,24961.0,970197.0
에어로빅복,5880.0,68361.0,11.626020408163264,17796.0,364704.0
드레스몰,7290.0,6515.0,0.8936899862825789,15788.0,160874.0
폴댄스의상,3600.0,74356.0,20.654444444444444,29464.0,264387.0
가정용샌드백,2500.0,85200.0,34.08,69571.0,1330132.0
복싱핸드랩,3400.0,40368.0,11.872941176470588,13656.0,510828.0
핸드랩,2090.0,45513.0,21.776555023923446,12813.0,732111.0
의료용손목보호대,6260.0,11938.0,1.9070287539936104,14148.0,866083.0
얇은손목보호대,1490.0,24004.0,16.110067114093958,14325.0,1357136.0
의료용무릎보호대,2190.0,14142.0,6.457534246575342,21117.0,3187045.0
의료용허리보호대,2790.0,13759.0,4.931541218637993,29217.0,1203036.0
발목아대,3050.0,100799.0,33.048852459016395,12268.0,2468607.0
의료용발목보호대,1130.0,7033.0,6.223893805309735,17994.0,614614.0
가검,2320.0,44427.0,19.14956896551724,81363.0,146961.0
목검,2860.0,45104.0,15.77062937062937,47365.0,135154.0
일본도,4270.0,10981.0,2.5716627634660423,78958.0,145452.0
쌍절곤,5480.0,32377.0,5.908211678832116,7942.0,45471.0
진검,2120.0,5194.0,2.45,66639.0,247650.0
단검,2910.0,24948.0,8.57319587628866,45655.0,24209.0
카타나,4710.0,101530.0,21.556263269639064,71355.0,5491.0
단도,2250.0,8557.0,3.8031111111111113,53412.0,41690.0
장검,1180.0,10348.0,8.769491525423728,52114.0,64804.0
사인검,1190.0,1797.0,1.5100840336134451,65542.0,114333.0
청룡언월도,2060.0,3334.0,1.6184466019417476,42710.0,49269.0
태권도화,4490.0,4996.0,1.1126948775055678,36167.0,327615.0
태권도도복,2680.0,19390.0,7.235074626865671,28988.0,407558.0
태권도복,2350.0,28124.0,11.967659574468083,30417.0,289188.0
주짓수벨트,2380.0,12292.0,5.1647058823529415,30885.0,97089.0
태권도띠,4410.0,8365.0,1.8968253968253967,11320.0,109224.0
얼굴햇빛가리개,2040.0,129553.0,63.50637254901961,11437.0,4569627.0
스키바라클라바,4320.0,64019.0,14.819212962962965,21855.0,1321867.0
오일파스텔,18690.0,70692.0,3.782343499197432,20169.0,752700.0
목각인형,2940.0,94477.0,32.13503401360544,10375.0,21661.0
문진,15760.0,76184.0,4.834010152284264,13503.0,182220.0
화구통,3300.0,75958.0,23.01757575757576,13992.0,426550.0
파버카스텔색연필,5110.0,95557.0,18.7,21040.0,610913.0
프리즈마색연필,6210.0,31945.0,5.144122383252818,48818.0,1921636.0
맥세이프차량용거치대,21040.0,63041.0,2.996245247148289,27164.0,1501730.0
티니핑피규어,7840.0,28349.0,3.615943877551021,10941.0,563305.0
슬램덩크피규어,3020.0,65005.0,21.52483443708609,39551.0,281765.0
새총,9700.0,56365.0,5.810824742268041,17487.0,356037.0
슬램덩크만화책,5600.0,1009.0,0.1801785714285714,59484.0,55875.0
젤다아미보,7230.0,12861.0,1.7788381742738588,28013.0,623572.0
생이새우,12970.0,3466.0,0.2672320740169622,6128.0,317869.0
외부여과기,5050.0,67265.0,13.31980198019802,64355.0,687990.0
어항받침대,1800.0,83696.0,46.49777777777778,75643.0,464203.0
브라인쉬림프,5840.0,11438.0,1.9585616438356164,15954.0,494599.0
유목,9130.0,53895.0,5.903066812705367,10956.0,235079.0
구피사료,2210.0,48610.0,21.99547511312217,8005.0,662518.0
