relative_keyword,total_search,total_store_count,competitive_rate
런닝화,58390.0,5579100.0,95.55
오니츠카타이거,175600.0,110994.0,0.63
버켄스탁보스턴,52020.0,25428.0,0.49
아식스젤카야노,92000.0,32834.0,0.36
슬리퍼,92400.0,11557370.0,125.08
디스커버리운동화,54830.0,22768.0,0.42
방한화,109300.0,850275.0,7.78
프로스펙스운동화,32270.0,143644.0,4.45
남성스니커즈,18680.0,8298308.0,444.23
남자스니커즈,17900.0,8298308.0,463.59
남자운동화,27910.0,9674969.0,346.65
나이키런닝화,59560.0,1425750.0,23.94
락포트남성화,17950.0,45253.0,2.52
지비츠,68370.0,136918.0,2.0
크록스지비츠,41000.0,87260.0,2.13
신발끈,11850.0,291870.0,24.63
깔창,21860.0,1247369.0,57.06
족저근막염깔창,25140.0,16710.0,0.66
신발깔창,13720.0,1141140.0,83.17
운동화끈,9060.0,342057.0,37.75
키높이깔창,13750.0,208990.0,15.2
구두주걱,7150.0,130783.0,18.29
지비츠세트,13560.0,58071.0,4.28
아치깔창,6010.0,147537.0,24.55
평발깔창,8100.0,52928.0,6.53
운동화깔창,4320.0,186696.0,43.22
신발방수커버,2830.0,250167.0,88.4
기능성깔창,5410.0,170972.0,31.6
뒤꿈치패드,6540.0,219486.0,33.56
발열깔창,6670.0,50349.0,7.55
신발끈클립,3110.0,33596.0,10.8
겨울지비츠,5630.0,4539.0,0.81
크로스백,129400.0,13727580.0,106.09
백팩,146800.0,10192195.0,69.43
에코백,91600.0,2269543.0,24.78
루이비통가방,263500.0,316367.0,1.2
셀린느가방,264100.0,153826.0,0.58
가방,117600.0,81769143.0,695.32
숄더백,41950.0,11062840.0,263.71
키플링백팩,34280.0,131363.0,3.83
샤넬가방,177300.0,105219.0,0.59
구찌가방,156160.0,501897.0,3.21
캉골가방,61880.0,87599.0,1.42
캉골크로스백,51710.0,31583.0,0.61
여성백팩,25870.0,3838954.0,148.39
토트백,51330.0,8428581.0,164.2
프라다가방,122990.0,396009.0,3.22
셀린느,596700.0,426295.0,0.71
키플링크로스백,24830.0,167660.0,6.75
디올가방,158900.0,116689.0,0.73
미니크로스백,36040.0,3042380.0,84.42
잔스포츠백팩,54330.0,75442.0,1.39
백팩,146800.0,10192195.0,69.43
크로스백,129400.0,13727580.0,106.09
슬링백,126600.0,3245327.0,25.63
남자크로스백,23400.0,3945536.0,168.61
메신저백,37460.0,1880953.0,50.21
남자가방,29930.0,12712212.0,424.73
남자백팩,21180.0,4358573.0,205.79
힙색,31380.0,1864783.0,59.43
만다리나덕백팩,36770.0,29287.0,0.8
샘소나이트백팩,30470.0,62132.0,2.04
캉골백팩,27570.0,26564.0,0.96
캉골메신저백,12760.0,7080.0,0.55
캉골슬링백,12130.0,5281.0,0.44
남자서류가방,13110.0,844314.0,64.4
