relative_keyword,grade_norm,grade_power,grade_bigpower,grade_premium,review_10,review_50,review_100,review_1000,total_review,avg_review
나드리쫄면,3,3,4,8,31,0,5,4,9699,242
식빵틀,0,3,3,4,19,10,8,3,19025,475
언더아머더플백,2,1,7,0,35,3,2,0,1017,25
쌀씻는통,8,6,9,2,24,3,8,5,11352,283
강아지입욕제,12,16,9,1,11,3,17,9,28623,715
퇴비,6,2,8,1,18,6,14,2,12023,300
세차툴백,5,5,18,4,7,8,14,11,35522,888
패브릭북커버,11,9,13,0,21,8,9,2,6708,167
슬리퍼거치대,5,4,14,0,8,4,22,6,29852,746
안개분사미스트,2,4,7,1,11,3,19,7,31216,780
곰표후라이드오징어튀김,7,3,5,3,32,3,5,0,2533,63
설거지비누,4,11,9,1,4,1,23,12,60943,1523
강화도어힌지,1,1,12,1,32,3,4,1,2380,59
어린이메니큐어,10,14,6,4,9,5,15,11,32121,803
애플수박,15,6,8,11,31,0,7,2,7285,182
다이어트쌀,2,2,2,3,11,5,13,11,34836,870
삼성노트북충전기C타입,0,1,36,3,25,2,12,1,5527,138
라바콘,0,1,3,1,30,4,5,1,6101,152
클라리넷리드,2,1,5,0,27,5,7,1,4593,114
양말목,4,11,7,0,13,2,13,12,53090,1327
요가타월,12,8,2,0,16,8,11,5,14402,360
요가타올,12,8,2,0,16,8,11,5,14402,360
시디즈아띠,0,1,17,5,30,6,4,0,1400,35
클라이밍초크백,6,7,3,0,29,1,10,0,2841,71
전골팬,6,6,17,9,20,10,8,2,8578,214
잡초제거기,2,0,4,2,33,4,3,0,1764,44
PCX윈드스크린,0,0,11,0,34,3,3,0,1440,36
남아가디건,5,9,7,0,33,3,3,1,2478,61
스리라차,4,6,13,13,14,5,14,7,50976,1274
소가죽롱부츠,3,4,1,0,29,3,6,2,6849,171
강아지김장조끼,10,12,7,3,32,0,8,0,2896,72
요넥스배드민턴가방,0,5,2,0,17,9,14,0,4137,103
플랜트박스,4,3,8,0,23,8,7,2,10848,271
가재수건,2,6,7,3,7,2,18,13,69779,1744
곤약쌀,1,1,2,0,12,7,12,9,31075,776
르쿠르제접시,2,6,8,0,21,4,14,1,5819,145
음료파우치,10,8,11,0,22,3,7,8,57380,1434
고멕서스더블핸들,0,2,36,2,16,10,12,2,6928,173
약밤,6,11,8,10,12,4,13,11,43905,1097
마켓비트롤리,0,1,6,1,21,4,13,2,7921,198
습자지,5,5,30,0,6,4,18,12,81436,2035
주방세제디스펜서,3,5,12,1,8,2,21,9,50887,1272
샤오미CCTV,5,6,4,3,20,3,13,4,14397,359
보일러컨트롤러,13,7,1,19,38,2,0,0,134,3
다이슨여행용파우치,15,6,14,3,16,8,12,4,12336,308
작두콩차티백,2,12,16,2,3,3,17,17,125197,3129
한랭사,1,1,10,0,23,12,3,2,6182,154
투명아크릴액자,3,3,13,1,18,3,13,6,17303,432
어린이집파우치,10,14,10,0,7,1,17,15,45854,1146
피겨스케이트,7,1,4,0,35,3,2,0,898,22
BW100,4,3,14,17,15,2,17,6,24941,623
울외장아찌,5,2,2,0,26,3,10,1,8323,208
국산팥,7,7,16,10,15,3,15,7,34160,854
BMW도어라이트,13,6,10,11,25,5,8,2,5264,131
콩지래빗,1,0,2,7,25,6,9,0,2662,66
마이톤,8,8,3,5,34,4,2,0,1014,25
스톤헨지귀걸이,1,0,29,0,22,6,11,1,4945,123
팝콘기계,22,3,10,5,30,6,4,0,2013,50
약산성토너,0,2,5,4,3,1,17,19,63484,1587
자석소마큐브,0,3,3,2,26,3,11,0,3410,85
레이저마우스패드,5,2,13,6,11,3,21,5,16251,406
마루바닥청소,10,16,13,1,15,8,12,5,19886,497
자연퐁식기세척기세제,3,4,10,15,15,5,14,6,30546,763
솔가철분제,20,6,7,5,31,1,3,5,44993,1124
폴로손수건,4,16,2,0,31,2,6,1,9548,238
회전트레이,4,6,8,2,14,7,12,7,20689,517
건크랜베리,2,2,17,19,4,1,20,15,72499,1812
타코야키팬,0,1,3,0,38,0,2,0,588,14
마블트리,9,4,9,17,34,2,3,1,2287,57
기어렌치,7,4,15,14,19,4,10,7,26491,662
실링왁스스탬프,2,6,21,2,10,6,16,8,30890,772
미니상,2,2,9,0,24,3,8,5,25710,642
카본목줄,0,6,26,3,7,1,24,8,30466,761
자바라칸막이,13,3,4,2,25,1,10,4,18280,457
에바알머슨,2,9,0,1,36,3,1,0,1152,28
용접안경,0,1,2,4,28,4,7,1,3364,84
바이오더마아토덤,1,6,19,4,13,5,16,6,37605,940
우리나라지도보기,14,14,3,9,32,0,5,3,15286,382
농구골대,0,1,3,0,33,2,4,1,2565,64
푸어링,3,3,7,0,28,4,7,1,6350,158
닌텐도스위치가방,2,9,18,5,12,7,16,5,66526,1663
칠순잔치상차림,17,1,17,2,23,6,11,0,4616,115
걸이형쓰레기통,1,7,11,3,11,2,19,8,34960,874
피지오겔바디로션,3,4,15,9,17,8,9,6,26153,653
아기조끼,10,7,18,2,21,3,13,3,10362,259
야자매트,11,8,2,0,19,4,17,0,6675,166
템퍼베개커버,5,8,14,2,16,5,11,8,21129,528
스콘,14,9,14,3,6,3,15,16,159663,3991
운전석햇빛가리개,16,17,5,1,14,5,8,13,87046,2176
매니폴드게이지,1,0,3,0,37,0,3,0,1033,25
리모와캐리어커버,2,12,7,7,35,1,2,2,5305,132
샴푸통,4,6,5,1,16,3,13,8,43117,1077
에너자이저건전지,0,0,18,4,5,5,21,9,45538,1138
쥐약,1,6,22,9,5,5,23,7,35634,890
코닥필름,2,13,14,1,15,3,11,11,48339,1208
냉장고탈취제,2,3,10,4,2,6,20,12,38113,952
AA충전지,3,8,18,7,8,4,19,9,31049,776
양면후라이팬,8,8,6,12,26,2,9,3,8053,201
국대한우,28,0,9,3,35,0,5,0,939,23
백설공주옷,2,15,11,0,14,5,11,10,49599,1239
아이오페선크림,4,9,14,10,29,2,6,3,26779,669
정새우진짜새우,0,2,11,2,29,5,5,1,6194,154
미아방지가방,7,3,7,1,23,2,12,3,8785,219
아이방벽지,2,4,4,0,32,0,4,4,16040,401
보르딘더치커피,1,1,15,19,20,4,11,5,19476,486
르그랑스위치,1,5,28,6,16,5,12,7,33947,848
철재다리,5,6,5,0,18,3,14,5,19201,480
샤넬메이크업베이스,14,2,12,8,36,2,1,1,2638,65
고양이발톱깎기,4,8,5,0,7,8,18,7,19096,477
마더스베이비손목보호대,0,0,11,6,12,4,17,7,76639,1915
H6008,4,5,4,25,30,2,6,2,6953,173
무타공수건걸이,0,10,10,0,14,2,23,1,15499,387
뷰러추천,3,13,9,10,4,1,21,14,66266,1656
해루질장비,7,6,11,1,24,3,13,0,3531,88
아기워터매트,9,9,8,7,19,4,11,6,20625,515
레드루트섬유유연제,0,3,10,23,29,2,6,3,9014,225
아몬드분말,1,0,21,17,4,4,24,8,33466,836
나이키신발주머니,8,6,18,8,26,3,9,2,6754,168
그린맘젖병,2,0,13,17,35,1,4,0,1310,32
네이처하이크야전침대,0,1,11,1,24,6,9,1,6271,156
모티스락,7,3,6,1,31,3,5,1,4069,101
병원놀이장난감,3,8,13,0,25,4,10,1,5247,131
이케아주방놀이,6,9,15,0,29,1,7,3,7859,196
포터필터바스켓,4,6,29,1,8,8,21,3,16970,424
터닝메카드에반,1,4,8,23,28,5,6,1,3207,80
양지다이어리,0,0,2,0,28,5,7,0,1848,46
SMDV,1,2,13,2,37,3,0,0,661,16
쏘서대여,4,11,25,0,15,4,13,8,33684,842
레트로계산기,7,10,7,2,28,2,10,0,2628,65
수유원피스,5,4,2,4,25,2,11,2,7151,178
아모스컬링에센스,6,8,13,9,17,4,9,10,166777,4169
전기핫팩,5,6,6,0,18,6,12,4,17241,431
점보롤디스펜서,1,0,10,6,19,3,13,5,16291,407
타코야끼만들기,1,3,1,1,38,0,2,0,1084,27
샤프란건조기시트,5,5,18,8,15,3,16,6,76224,1905
무선LED센서등,8,4,14,3,7,2,15,16,75626,1890
보온복대,3,5,6,0,24,5,8,3,10999,274
가성소다,13,8,8,11,27,3,8,2,7658,191
아기물놀이장난감,3,6,11,1,6,4,20,10,54026,1350
피비원,1,5,22,11,9,6,16,9,20275,506
와인칠러,3,8,6,0,25,2,11,2,8039,200
퍼피렛,6,4,24,5,35,3,2,0,934,23
연근,8,18,10,4,6,4,16,14,55891,1397
강주,6,2,6,24,37,0,3,0,1542,38
라떼잔,1,5,12,0,21,3,12,4,14616,365
메이플시럽,0,4,5,5,21,3,12,4,14012,350
옛날교복대여,3,12,23,2,30,2,6,2,10472,261
테너지05,2,1,4,2,36,2,2,0,1150,28
작은창문커튼,6,7,23,3,10,3,17,10,47152,1178
피아노의자,2,2,3,2,27,6,5,2,5826,145
핑크퐁펜,6,4,1,14,37,1,2,0,518,12
알곤이찜,13,1,5,18,34,3,3,0,839,20
컨디션,2,4,10,19,13,5,13,9,40495,1012
0W20,1,1,6,6,6,2,24,8,21854,546
다우니언스토퍼블,12,0,9,18,33,0,6,1,4611,115
메쉬수영가방,3,7,10,0,24,4,10,2,6455,161
에폭시접착제,1,5,15,3,12,5,17,6,30552,763
꽃차,16,10,7,0,14,1,17,8,32140,803
아침애사료,3,2,22,8,17,3,13,7,22394,559
미니헬스가방,2,10,6,0,34,2,4,0,1120,28
NAG,5,6,10,13,21,4,11,4,10481,262
현금바인더,11,4,21,2,27,5,8,0,3144,78
사운드바거치대,7,6,17,10,29,3,7,1,5616,140
멸치육수,6,0,15,10,13,2,19,6,30297,757
나이키버킷햇,5,4,19,4,27,3,9,1,8109,202
아령5KG,2,4,7,2,7,4,15,14,82534,2063
콜팝용기,1,1,6,1,35,2,3,0,1238,30
변기막힘,3,7,6,6,11,3,15,11,61555,1538
큰베개커버,1,6,12,0,22,4,8,6,30369,759
무수축몰탈,7,6,8,1,25,7,7,1,4801,120
소라게,3,10,5,1,10,4,20,6,19115,477
레오나르디화이트발사믹,3,6,12,19,24,6,9,1,12639,315
호그와트레거시스팀,5,11,16,8,36,0,4,0,1078,26
서울케이크원데이클래스,4,4,32,0,38,0,2,0,430,10
습식코팅제,2,6,5,5,20,3,16,1,9025,225
우주고래,0,1,8,28,36,0,2,2,23913,597
미닛메이드오렌지,1,3,18,14,16,4,14,6,18962,474
문걸이선반,4,8,9,0,22,3,11,4,21389,534
츄러스,1,2,13,0,28,3,9,0,2963,74
임산부호박즙,21,13,4,1,27,2,8,3,7775,194
속눈썹글루,2,13,22,3,12,4,19,5,29596,739
브로와,0,0,6,1,25,5,9,1,5482,137
아이팜베이비룸,0,0,0,10,16,1,17,6,23471,586
복합비료,2,5,12,5,13,7,14,6,27848,696
깐더덕,17,9,10,4,13,9,11,7,29464,736
꼬들빼기,6,8,11,12,17,4,15,4,18782,469
메종키츠네에코백,9,4,14,1,28,4,7,1,4655,116
홍삼정과,11,3,15,1,6,3,26,5,22275,556
옹아리닷컴,4,0,13,0,16,11,12,1,8032,200
쟈뎅아워티,2,1,7,2,21,3,13,3,10949,273
전선풀링기,14,1,6,19,36,1,3,0,821,20
만능양념장,9,3,10,2,10,6,18,6,13303,332
노스필,4,3,8,16,26,2,8,4,16847,421
띠띠뽀전동기차,1,5,2,6,33,2,4,1,2710,67
프리믹스부동액,2,3,5,26,25,4,7,4,12407,310
나랑드사이다파인애플,3,7,10,17,26,2,8,4,18338,458
아기보넷,3,4,18,0,17,3,12,8,28543,713
산리오캐리어,8,7,8,1,29,3,8,0,2389,59
목이버섯,5,7,25,3,3,5,22,10,28131,703
납작만두,3,8,6,2,19,2,12,7,28546,713
수족관히터,3,2,13,4,12,7,16,5,27339,683
겨울발토시,4,7,13,1,15,3,16,6,26494,662
돼지꼬리,5,9,16,6,19,3,14,4,19603,490
글래드랩,6,2,15,8,11,5,15,9,47530,1188
짖음방지기,2,5,2,3,23,5,10,2,9267,231
에뛰드마스카라,4,1,10,13,19,0,11,10,63423,1585
퍼기이유식큐브,0,12,0,12,26,1,8,5,14812,370
임테기,0,2,14,3,16,0,14,10,250018,6250
자개귀걸이,12,4,1,0,31,2,5,2,7085,177
아기헬멧,6,1,4,3,24,2,12,2,14500,362
뷰러,4,13,9,9,5,1,20,14,66061,1651
무선프리젠터,4,2,12,6,14,4,18,4,16017,400
천하장사소세지,0,0,7,3,14,1,16,9,42028,1050
천하장사,0,0,7,3,12,1,17,10,48091,1202
오레오,1,5,9,3,23,2,11,4,13989,349
법랑냄비,8,6,14,4,31,3,6,0,2208,55
드럼연습패드,0,2,6,0,31,2,5,2,6837,170
전기전골냄비,9,4,8,16,29,3,6,2,10220,255
어질리티,6,4,1,0,33,2,5,0,1772,44
신생아면봉,3,3,6,3,12,3,14,11,56527,1413
사각전골냄비,5,7,16,9,22,6,10,2,7936,198
브라인쉬림프부화기,4,3,2,3,32,2,6,0,2501,62
돼지등심,6,6,22,5,4,5,19,12,40596,1014
새치커버틴트,2,13,10,12,23,1,14,2,13095,327
바이오더마클렌징워터,0,4,16,9,18,4,9,9,50339,1258
강아지사료통,7,9,6,1,17,5,15,3,16552,413
흑임자,4,2,26,8,7,5,17,11,33912,847
야전침대커버,4,1,11,1,31,4,5,0,1422,35
에어방석,7,6,7,1,22,4,12,2,12526,313
미니트롤리,3,5,8,2,33,2,3,2,6297,157
벨벳머리띠,3,6,14,1,13,6,15,6,30656,766
항암모자,7,13,13,0,11,2,19,8,30538,763
스키피땅콩버터,1,0,6,7,17,1,15,7,37835,945
어린이치실,0,5,5,1,17,3,12,8,36680,917
믹싱볼세트,0,1,6,0,13,8,17,2,8473,211
테이블철제다리,5,3,7,0,18,6,12,4,16226,405
테크울드라이,4,5,4,21,22,0,14,4,18186,454
이케아신발장,3,1,29,2,22,2,14,2,7976,199
폴리코사놀5,10,3,12,14,19,5,9,7,37893,947
어항산소발생기,2,1,8,1,30,3,4,3,12118,302
충전손난로,4,2,5,0,10,5,15,10,31369,784
입큰파우더팩트,0,8,3,12,11,6,14,9,31276,781
면도경,1,1,5,1,19,7,12,2,6608,165
말차파우더,2,3,4,0,21,6,13,0,5003,125
크록스바야플랫폼,2,2,10,15,33,3,2,2,4142,103
스케쳐스딜라이트,11,1,11,9,31,4,5,0,1556,38
목초액,3,5,3,12,15,3,18,4,17833,445
피쉬볼,0,4,5,4,25,5,6,4,30753,768
에뜨와우주복,0,0,1,1,39,0,1,0,281,7
애견욕조,8,3,2,1,21,4,12,3,10594,264
프로폴리스캔디,7,9,12,8,13,5,14,8,18893,472
요넥스그립,3,1,8,0,12,7,17,4,14609,365
열반사단열재,5,4,24,7,15,2,18,5,23063,576
돌미역,16,7,14,2,9,8,22,1,13827,345
유기농양배추즙,3,4,6,3,4,0,15,21,167247,4181
쌀보리,2,2,8,28,20,6,9,5,36962,924
현금다이어리,14,4,19,0,27,5,8,0,3074,76
은행열매,10,5,12,13,28,1,7,4,20320,508
리파하트브러쉬,10,4,11,14,36,0,3,1,7764,194
리파하트브러시,10,4,11,14,36,0,3,1,7764,194
베지밀B,2,5,9,18,18,4,12,6,41131,1028
도트물감,1,6,0,1,34,1,3,2,8018,200
현미포켓누룽지,4,6,1,0,27,2,8,3,8202,205
신발밑창보강,8,14,16,0,17,2,10,11,63588,1589
석굴,12,9,13,6,15,3,19,3,22532,563
환타제로,2,6,8,22,31,0,6,3,9341,233
차콜스타터,2,1,5,0,17,6,15,2,10887,272
록시땅세트,4,1,6,12,25,1,13,1,6618,165
롤휴지케이스,1,6,10,2,9,2,23,6,47051,1176
유아앞치마세트,8,8,3,2,10,6,19,5,21203,530
멀칭비닐,3,2,6,0,27,2,9,2,7479,186
키즈스마트워치,4,4,1,0,32,5,2,1,2216,55
어린이스마트워치,4,4,1,0,32,5,2,1,2205,55
부대찌개밀키트,8,5,4,7,3,5,18,14,95051,2376
카놀라유,4,1,6,5,8,5,17,10,64063,1601
화이트식초,3,6,15,9,12,5,20,3,21968,549
비단멍게,2,3,1,26,27,3,1,1,3711,115
활성비타민,7,8,15,8,18,5,9,8,24213,605
천재블럭,1,6,1,2,29,3,6,2,8119,202
콜롬비아수프리모,3,1,18,11,8,3,20,9,25939,648
왕뚜껑,1,4,11,15,11,1,18,10,65285,1632
대형견겨울옷,3,14,12,0,21,1,16,2,13420,335
여행용라면포트,8,7,16,9,28,4,5,3,14562,364
새이미징유닛,4,0,29,7,20,7,10,3,10940,273
물고기장난감,2,8,15,0,14,4,14,8,21974,549
마페이,3,3,2,3,30,1,9,0,2744,68
아기보넷모자,3,4,19,1,16,3,13,8,29247,731
농구공가방,2,3,4,0,20,5,14,1,6940,173
얼음주머니,2,6,12,2,9,4,20,7,27720,693
타트체리원액,4,6,5,20,9,2,19,10,77652,1941
시리얼볼,1,7,14,0,11,3,20,6,34649,866
비타바움,8,6,10,13,30,4,6,0,1821,45
강원도감자,6,14,17,3,13,3,17,7,75394,1884
보늬밤,12,5,18,5,26,6,8,0,2099,52
샌드위치유산지,3,2,5,4,24,3,10,3,13321,333
플렉시리드줄,2,5,4,2,25,3,9,3,27575,689
슬라이드빨대,25,0,7,8,38,0,2,0,1041,26
헬로키티팝업티슈,1,0,4,31,13,3,16,8,86439,2160
수용성비타민,12,7,10,11,20,4,11,5,22080,552
석회제거제,7,8,8,14,19,2,14,5,25334,633
의류염색약,7,7,6,1,22,0,11,7,23251,581
미니칠판,7,13,12,8,27,2,5,6,26510,662
후이펑스리라차소스,6,10,17,7,29,1,7,3,38902,972
삼성아로마시트,9,11,8,10,23,4,9,4,13907,347
글래드매직랩,5,2,16,8,11,6,14,9,47194,1179
자동차썬팅필름,11,4,21,4,9,2,24,5,34033,850
식견보감,3,0,6,30,39,0,1,0,333,8
고체왁스,1,2,3,5,16,4,13,7,22249,556
캠핑반합,3,10,19,3,19,8,7,6,13522,338
반건조무화과,0,10,16,14,6,2,19,13,47647,1191
강아지누빔조끼,9,15,8,0,20,6,11,3,9399,234
오프라벨,31,4,5,0,38,0,2,0,228,5
포켓몬띠부띠부씰,3,20,5,3,17,1,11,11,29446,736
서울원데이클래스,11,2,27,0,19,5,16,0,4201,105
젠와이즈조인트서포트,12,12,9,6,31,2,4,3,11814,295
북어머리,0,9,18,13,8,2,26,4,49323,1233
채찍,4,0,1,0,38,0,2,0,920,23
아기토퍼,1,7,7,1,14,5,18,3,21102,527
유아매니큐어,14,16,7,2,6,6,18,10,30288,757
클레이마스크,2,1,6,5,18,6,11,5,15322,383
전자호루라기,0,2,9,1,15,11,12,2,8965,224
나이키축구공,5,3,19,5,31,2,7,0,3939,98
소주디스펜서,16,10,13,0,25,4,9,2,11391,284
한스데코,0,17,0,0,22,5,13,0,5645,141
듀라셀AA,2,3,20,11,10,6,16,8,110014,2750
유토렉스칫솔살균기,0,0,4,0,1,1,21,17,59953,1498
인슐린주사기,2,6,19,8,15,3,17,5,19213,480
바텀리스포터필터,3,2,33,0,10,5,23,2,14740,368
터닝메카드엑스,1,5,5,28,32,8,0,0,618,15
돌멍게,6,13,16,5,22,4,7,7,24649,616
어항기포기,1,3,10,4,20,5,11,4,18028,450
재롱잔치피켓,14,18,3,1,16,5,11,8,45187,1129
돋보기안경,7,6,2,1,26,4,9,1,4616,115
브릭오,0,0,31,4,35,2,2,1,3104,77
스와들미,1,0,4,3,34,0,4,2,8514,212
아몬드가루베이킹,1,5,22,12,22,3,11,4,22112,552
철분제거제,0,2,5,2,3,1,24,12,53232,1330
학꽁치포,14,10,6,10,25,7,6,2,6463,161
워터매트,6,7,8,6,16,3,14,7,22981,574
재롱잔치응원봉,16,18,2,0,19,5,9,7,42296,1057
응원피켓,12,18,5,0,18,7,7,8,43778,1094
핑거홀장갑,1,7,10,3,18,6,12,4,14105,352
코스트코모짜렐라치즈,0,6,19,3,21,5,14,0,5847,146
운동화밑창보강,9,12,11,0,15,7,10,8,49628,1240
풀바른실크벽지,0,2,14,0,22,3,10,5,40869,1021
가스인두기,0,0,3,0,33,4,3,0,1157,28
자스민차,3,6,3,2,22,3,13,2,7725,193
