relative_keyword,grade_norm,grade_power,grade_bigpower,grade_premium,review_10,review_50,review_100,review_1000,total_review,avg_review
닌텐도가방,2,10,17,6,15,6,15,4,62278,1556
와이프올,2,2,16,17,20,5,14,1,7675,191
스펀지여과기,1,2,10,3,6,5,24,5,26204,655
바나나잎차,18,6,6,10,23,6,9,2,8965,224
일본발바닥패치,13,14,5,8,25,3,8,4,25080,627
LGTV리모컨,4,15,5,9,7,10,15,8,27497,687
엄마표한글,7,3,2,28,33,1,6,0,2446,61
매일연유,0,0,13,2,22,4,14,0,6644,166
데일리원더,21,3,2,13,38,0,1,1,16202,405
롤러코스터,7,3,3,3,27,7,6,0,2923,73
아이브도무송,11,5,0,12,37,2,1,0,360,9
체리통조림,10,3,10,14,23,5,9,3,7861,196
크리스마스테이블보,8,4,12,0,20,5,12,3,22697,567
브이콘,1,1,11,24,11,1,21,7,29309,732
쌀씻는볼,8,2,12,1,21,6,8,5,11444,286
일본우산,1,1,1,0,35,1,4,0,2066,51
누텔라,1,1,6,4,26,1,12,1,7723,193
뉴텔라,1,1,6,4,26,1,12,1,7723,193
참존기초세트,1,10,19,10,27,7,5,1,3743,93
후이펑스리라차,4,10,17,9,29,1,7,3,38913,972
요가매트16MM,5,5,7,2,10,1,23,6,73975,1849
어항온도조절기,1,2,13,4,18,6,13,3,16255,406
논슬립바지걸이,1,8,15,3,0,3,13,24,144926,3623
일회용샤워타올,3,3,10,0,17,6,14,3,9997,249
원투거치대,5,8,22,5,14,8,15,3,12808,320
벽걸이TV선정리,7,6,25,2,13,5,18,4,51483,1287
골프벨트백,2,5,6,1,32,2,6,0,2294,57
꽃게찜,9,6,8,17,31,2,6,1,3335,83
바비온바리깡,1,11,4,5,15,6,12,7,27398,684
메리골드차,10,7,11,3,4,3,22,11,39285,982
고양이넥카라,7,11,10,0,6,6,18,10,53195,1329
비누꽃다발,12,12,16,0,5,1,23,11,43915,1097
얼룩제거제,4,14,7,2,7,2,18,13,88583,2214
락토프리우유,1,7,13,10,16,3,13,8,133507,3337
귀리우유,3,4,23,8,18,5,14,3,10871,271
스텐대야,2,4,15,0,21,7,11,1,7013,175
미니보냉가방,7,5,10,3,16,3,18,3,10792,269
강아지할매조끼,11,9,6,2,30,0,9,1,4463,111
셀렉스썬화이버프리바이오틱스,3,2,3,29,25,6,5,4,28100,702
스윗밤,11,3,12,4,31,1,7,1,18408,460
칸지벨트,11,0,0,29,40,0,0,0,22,0
커클랜드팝콘,0,2,9,5,23,3,11,3,10549,263
이사짐박스,4,2,18,16,6,4,13,17,308695,7717
메타그린골드,6,13,5,16,28,4,7,1,14467,361
아식스농구화,1,0,5,0,36,3,1,0,491,12
질레트프로글라이드면도날,10,2,20,5,17,6,10,7,31667,791
두피팩,13,6,12,2,12,9,11,8,29971,749
오복가위,4,5,10,4,24,5,9,2,37604,940
쫄면양념장,2,1,7,2,27,1,10,2,8272,206
아우라건조기시트,3,5,19,8,12,2,17,9,107752,2693
동태,4,5,15,16,8,4,18,10,42541,1063
고들빼기,6,7,11,13,13,5,18,4,19810,495
피난구유도등,0,0,6,1,25,6,5,4,11204,280
투명자바라,7,2,5,3,29,0,6,5,19859,496
인덕션깔개,2,3,2,0,31,2,5,2,14413,360
이유식찜기,4,14,17,5,22,3,10,5,13786,344
미니식기건조대,4,3,6,3,15,4,11,10,42437,1060
안고자는인형,8,8,2,0,25,2,11,2,8715,217
치즈스틱,1,1,4,5,13,7,17,3,12831,320
NR-40D,14,4,6,16,33,4,3,0,1494,37
기장멸치젓갈,23,12,3,2,30,4,4,2,6604,165
사운드벽보,8,2,6,1,34,3,2,1,8861,221
초등학교책상,2,1,2,0,38,1,1,0,308,7
멸치진젓,4,6,19,11,19,4,15,2,9987,249
LED욕실등,3,4,22,9,4,3,19,14,92207,2305
함몰유두교정,7,2,1,3,33,2,5,0,2675,66
아나고회,14,8,5,13,26,3,10,1,6019,150
킹스베리,11,8,20,1,18,5,13,4,28888,722
증류수,3,15,12,10,3,5,20,12,50230,1255
와이퍼인형,26,11,1,2,33,3,4,0,1872,46
쌍꺼풀만들기,13,8,10,9,24,4,9,3,11995,299
코코넛쉬림프,5,1,5,9,32,1,6,1,3133,78
지퍼락,1,2,7,8,9,4,20,7,40936,1023
차량용쓰레기봉투,6,12,9,6,4,8,16,12,49514,1237
반영구색소,14,7,19,0,17,5,16,2,9376,234
독도새우,15,4,17,4,22,7,8,3,11620,290
산리오꽃다발,11,20,7,2,24,2,12,2,7745,193
어깨보조기,3,3,1,1,33,4,3,0,1653,41
고사리,9,10,17,4,6,3,23,8,37172,929
데오드란트스틱,1,7,8,13,6,1,16,17,154509,3862
매립휴지걸이,5,3,8,2,29,5,6,0,3039,75
다이알비누,6,7,11,15,22,0,16,2,9072,226
오리가슴살,2,4,13,1,28,2,7,3,6664,166
코하쿠토,17,9,8,6,24,6,7,3,18076,451
어묵냄비,9,8,14,9,27,5,8,0,3942,98
뽀로로떡볶이,0,2,8,3,32,2,3,3,10554,263
보이로전기방석,3,1,18,15,24,6,10,0,3509,87
곱창볶음,18,10,4,7,16,6,16,2,9942,248
지방흡입,6,2,12,0,6,3,27,4,14772,369
다이론염색약,4,1,6,0,31,0,5,4,13735,343
리쥬란팩,7,15,5,5,27,1,9,3,8010,200
남자톤업선크림,26,5,4,4,33,1,5,1,2859,71
클럽맨피노드,8,8,4,15,33,3,4,0,1537,38
책꽂이미니어처,4,4,2,0,32,3,5,0,1871,46
요거트파우더,0,0,3,3,6,7,23,4,16490,412
네스프레소캡슐보관함,8,11,7,2,16,4,14,6,36203,905
꽃샘유자차,0,0,8,2,23,4,9,4,21982,549
브리츠블루투스이어폰,1,3,4,0,8,3,19,10,28564,714
천수무,4,4,8,24,31,5,3,1,52963,1324
미니장작,13,12,8,2,8,6,18,8,25566,639
바이올린줄,1,1,15,0,23,3,14,0,4843,121
국산팥가격,7,7,15,11,15,3,15,7,34135,853
한방차,20,5,13,2,15,6,19,0,6719,167
창문방풍비닐,5,8,18,9,10,2,9,19,151390,3784
비데티슈,2,3,9,22,4,4,18,14,63662,1591
미라캐스트,1,6,16,7,9,5,17,9,40302,1007
복싱핸드랩,5,3,19,0,17,6,15,2,8615,215
야마시타AJ,5,13,11,3,30,2,6,2,17652,441
커피시럽,1,0,4,1,11,8,17,4,29011,725
누룽지찹쌀,10,8,7,13,24,7,8,1,5208,130
침대스프레드,6,4,4,1,22,3,10,5,18890,472
KOSS헤드폰,3,3,12,9,32,5,2,1,3403,85
벌통,2,2,0,0,37,1,2,0,1055,26
국산호두,25,6,7,2,16,5,10,9,25851,646
방문페인트,2,5,28,2,3,3,25,9,31720,793
실리콘도마,3,1,13,2,13,5,17,5,23851,596
곰피미역,2,5,9,24,7,6,16,11,33947,848
냉장고메모보드,8,7,6,2,19,5,10,6,19322,483
아기목욕장난감,3,7,12,1,6,4,20,10,53686,1342
사슴벌레,7,19,8,0,11,5,14,10,64779,1619
디올블러셔,10,1,15,10,30,5,4,1,3177,79
씨앗젓갈,9,10,14,7,12,8,14,6,21568,539
발바닥파스,17,14,5,4,23,3,11,3,24391,609
목카라,2,2,2,0,37,1,1,1,4077,101
누름판,0,1,3,1,32,4,3,1,6180,154
하이퍼캅스,2,0,8,5,36,2,2,0,880,22
엄마랑낱말카드,9,3,4,3,37,1,1,1,4759,118
닥터포헤어샴푸,4,2,5,18,14,5,11,10,82789,2069
디올헤어미스트,5,2,15,11,32,1,5,2,4629,115
양지사다이어리,0,0,2,0,21,6,13,0,3912,97
기름종이,6,6,11,15,12,6,11,11,76566,1914
논산딸기,15,5,15,5,15,4,13,8,33894,847
볼마커제작,12,16,7,0,18,3,14,5,18724,468
방수코팅제,0,2,12,0,15,5,14,6,15746,393
솔직단백바,6,10,1,23,33,1,4,2,13754,343
샷건,3,4,11,0,30,6,4,0,1638,40
에탄올불멍,18,5,8,4,23,5,9,3,8699,217
