relative_keyword,total_search,total_store_count,competitive_rate,avg_price,avg_sale,grade_norm,grade_power,grade_bigpower,grade_premium,review_10,review_50,review_100,review_1000,total_review,avg_review
새조개,19730.0,957.0,0.05,36727.0,903295.0,5,6,12,17,20,4,12,4,25362,634
마르지엘라향수,10140.0,17199.0,1.7,92608.0,903543.0,1,3,1,16,40,0,0,0,92,2
물주머니핫팩,5290.0,90852.0,17.17,14701.0,903679.0,3,7,13,5,18,3,11,8,31226,780
코편한티슈,2480.0,6664.0,2.69,15981.0,903727.0,6,2,2,29,33,3,4,0,1162,29
도래창,21030.0,950.0,0.05,7582.0,903763.0,9,6,23,2,16,2,15,7,71105,1777
숏사각수영복,1390.0,88043.0,63.34,49948.0,903916.0,0,1,7,2,33,2,4,1,2699,67
남자숏사각수영복,1030.0,80907.0,78.55,42686.0,903916.0,0,1,8,3,32,2,5,1,3195,79
파나소닉눈썹바리깡,1350.0,957.0,0.71,45925.0,904110.0,8,4,4,22,33,1,5,1,2982,74
거실화분정리대,1810.0,82383.0,45.52,45490.0,904182.0,4,3,17,1,22,3,9,6,34570,864
다이아몬드숫돌,2060.0,77682.0,37.71,27131.0,904350.0,1,0,5,1,24,7,9,0,4029,100
착즙하는남자,1060.0,85.0,0.08,33661.0,905030.0,0,0,16,22,25,5,8,2,9010,225
자이언트얀,29280.0,76894.0,2.63,9877.0,905189.0,2,9,18,4,11,2,11,16,86104,2152
리델와인잔,10720.0,44861.0,4.18,94826.0,905468.0,2,4,5,1,27,6,6,1,3521,88
시네트롤,1120.0,4256.0,3.8,77966.0,905951.0,8,2,9,6,25,3,6,6,12324,308
붕붕카,7740.0,67812.0,8.76,51282.0,905993.0,0,0,9,0,15,4,18,3,10439,260
플레이맥스과일자르기,1170.0,912.0,0.78,15693.0,906041.0,0,0,3,6,26,5,5,4,25315,632
카시트보호매트,7140.0,51664.0,7.24,21103.0,906079.0,0,5,11,6,19,2,10,9,35760,894
2인용침낭,2550.0,99771.0,39.13,72270.0,906487.0,5,2,20,3,20,3,11,6,23551,588
도루코후라이팬,23140.0,18727.0,0.81,24793.0,906973.0,2,3,12,15,23,6,7,4,12437,310
치커리,12770.0,28705.0,2.25,9212.0,907083.0,4,12,18,6,2,1,24,13,78254,1956
안국건강루테인,4730.0,11945.0,2.53,30531.0,907091.0,0,0,7,11,10,1,10,19,166267,4156
정수기선반,1650.0,27626.0,16.74,68498.0,907277.0,5,2,9,0,27,4,9,0,3671,91
간이세면대,3240.0,105534.0,32.57,68053.0,907957.0,2,1,4,5,30,3,6,1,3605,90
참소스,16670.0,4267.0,0.26,10893.0,908125.0,1,3,9,19,13,5,12,10,57925,1448
콩알탄,2290.0,1631.0,0.71,7134.0,908333.0,0,1,0,0,39,0,1,0,887,22
CK향수,7450.0,35967.0,4.83,52739.0,908398.0,1,0,11,23,17,2,14,7,47320,1183
혼주진주귀걸이,2330.0,20357.0,8.74,18214.0,908566.0,7,11,18,0,7,5,18,10,35911,897
신생아천기저귀,1430.0,3512.0,2.46,21133.0,908747.0,7,9,24,0,12,2,15,11,74213,1855
에바솔로서빙스푼,1400.0,960.0,0.69,67892.0,908900.0,11,1,7,3,40,0,0,0,80,2
달맞이꽃종자유,18300.0,35261.0,1.93,34551.0,909069.0,8,2,13,2,10,5,16,9,39796,994
실내자전거거치대,2080.0,74590.0,35.86,28325.0,909337.0,3,0,11,6,10,5,12,13,30652,766
쿤달트리트먼트,7590.0,16531.0,2.18,21965.0,909388.0,1,0,2,14,6,4,17,13,153535,3838
맥스컷,21170.0,2199.0,0.1,61736.0,909392.0,2,0,15,20,34,0,5,1,9525,238
실외기커버,3840.0,93294.0,24.3,19463.0,909881.0,5,0,2,2,14,1,14,11,44025,1100
뒹굴러소파,8470.0,518.0,0.06,64391.0,909888.0,0,1,4,6,31,2,4,3,8480,212
펫밀크,3420.0,18899.0,5.53,8416.0,909902.0,1,4,11,4,4,1,22,13,43504,1087
오브제파운데이션,22780.0,1162.0,0.05,51489.0,909933.0,3,8,6,23,39,0,1,0,383,9
뽑기장난감,1870.0,56877.0,30.42,43448.0,909984.0,5,6,10,1,33,2,4,1,3231,80
농협절임배추,11280.0,946.0,0.08,55191.0,910538.0,12,3,16,4,27,4,4,5,11388,284
락앤락쌀통10KG,1270.0,4800.0,3.78,20572.0,910590.0,3,1,4,5,22,5,11,2,21691,542
맘스보드거치대,1260.0,342.0,0.27,43908.0,910594.0,0,0,7,33,36,0,4,0,1055,26
스위퍼더스터,3820.0,3887.0,1.02,23396.0,910756.0,1,1,9,4,30,6,4,0,1686,42
유한락스욕실청소용,12250.0,11910.0,0.97,11653.0,910758.0,4,4,19,10,15,4,14,7,55858,1396
스멜스탑,2040.0,226.0,0.11,29244.0,910882.0,16,13,3,5,33,2,4,1,14620,365
창문뽁뽁이,15200.0,46760.0,3.08,13289.0,911126.0,6,9,19,6,13,3,11,13,71955,1798
안뚫어고리,6930.0,7895.0,1.14,7769.0,911156.0,1,5,17,0,4,3,18,15,78200,1955
오토슬라이서,20010.0,5329.0,0.27,89259.0,911405.0,4,1,3,12,37,1,2,0,490,12
몰탈시멘트,4850.0,97996.0,20.21,10345.0,911847.0,6,4,8,3,15,6,13,6,17393,434
실파,2020.0,1447.0,0.72,16850.0,912426.0,5,4,8,23,29,2,5,4,29289,732
싱크대하부장정리,2390.0,33215.0,13.9,18892.0,912624.0,2,6,13,2,16,1,19,4,14047,351
유아패딩조끼,4310.0,79933.0,18.55,32528.0,912717.0,3,2,14,0,31,3,5,1,4755,118
높이조절모니터받침대,1240.0,54941.0,44.31,28620.0,912817.0,3,7,17,3,12,0,18,10,55590,1389
싱하탄산수,7700.0,1243.0,0.16,17483.0,912873.0,7,8,12,12,29,0,8,3,17595,439
LG유광점퍼,17860.0,57.0,0.0,68213.0,913000.0,13,0,2,12,31,0,1,0,308,9
거북이사료,1770.0,32116.0,18.14,7426.0,913004.0,3,2,11,2,9,3,24,4,18598,464
35MM필름,1720.0,62176.0,36.15,14867.0,913075.0,2,10,13,0,6,3,15,16,70604,1765
굴소스,16210.0,46597.0,2.87,6092.0,913296.0,1,2,4,9,5,6,17,12,75722,1893
미니압력솥,2300.0,34854.0,15.15,79816.0,913373.0,8,12,7,13,29,6,5,0,1813,45
토퍼제작,12210.0,37247.0,3.05,8825.0,913406.0,8,12,20,0,7,2,20,11,86405,2160
로이텀노트,3820.0,2984.0,0.78,24127.0,913448.0,0,0,11,2,34,5,0,1,3774,94
페브리즈화장실용,5230.0,10767.0,2.06,15794.0,913495.0,3,1,10,20,11,5,16,8,39794,994
유한락스세탁조세정제,1330.0,4154.0,3.12,18115.0,913595.0,4,3,7,25,30,1,7,2,9122,228
오렌즈네로,4440.0,1529.0,0.34,33608.0,913707.0,6,4,7,5,30,2,6,2,6763,169
아기성장앨범,1230.0,10325.0,8.39,22497.0,913844.0,11,4,1,1,32,2,6,0,3903,97
아기스카프,2920.0,28261.0,9.68,8005.0,913985.0,10,6,9,0,19,7,11,3,13127,328
애견미용가운,2650.0,76406.0,28.83,38311.0,914032.0,6,0,34,0,19,5,13,3,8591,214
돌촬영패밀리룩,1530.0,8362.0,5.47,28202.0,914078.0,11,14,14,1,15,5,16,4,12931,323
대봉감15KG,7540.0,85.0,0.01,59621.0,914187.0,3,1,5,31,24,7,9,0,3782,94
한글자석,2030.0,18756.0,9.24,15232.0,914231.0,1,2,7,3,14,5,13,8,33029,825
달마새우,9890.0,313.0,0.03,23141.0,914324.0,10,7,10,13,33,2,4,1,2717,67
창문자동개폐기,1120.0,6549.0,5.85,73565.0,914500.0,3,0,1,0,38,2,0,0,184,4
멍게젓갈,5020.0,3086.0,0.61,18099.0,914503.0,11,5,22,2,12,3,12,13,102446,2561
카시오공학용계산기,4710.0,30033.0,6.38,24679.0,914914.0,1,2,3,0,18,4,15,3,25568,639
핀삭스,1120.0,10749.0,9.6,26795.0,914987.0,0,0,3,2,33,2,4,1,3122,78
아나고,22090.0,39044.0,1.77,17411.0,915279.0,7,6,22,3,8,2,18,12,44894,1122
캐패시터,5020.0,87945.0,17.52,55049.0,915646.0,7,0,3,0,36,1,3,0,1173,29
기브스방수커버,1190.0,10163.0,8.54,11154.0,916048.0,2,4,7,0,14,8,8,10,48926,1223
CJ맛밤,2420.0,9726.0,4.02,19281.0,916139.0,0,2,6,26,11,3,15,11,41080,1027
파쉬,10730.0,11954.0,1.11,16865.0,916294.0,3,1,15,4,20,0,10,10,46817,1170
일회용포크,2160.0,76039.0,35.2,19035.0,916552.0,2,0,21,17,7,6,15,12,40056,1001
우주고래,11420.0,8729.0,0.76,26632.0,916676.0,0,1,3,33,36,1,1,2,23793,594
젤라틴,8820.0,43153.0,4.89,12834.0,916875.0,0,1,3,0,21,7,10,2,8124,203
다이소종이박스,2130.0,535.0,0.25,18117.0,916953.0,9,3,11,16,31,0,6,3,12838,320
장애인화장실손잡이,1880.0,57049.0,30.35,41327.0,917089.0,1,6,10,0,25,6,8,1,4106,102
돼지머리고기,4410.0,3602.0,0.82,16241.0,917180.0,4,9,19,3,11,5,16,8,43525,1088
축구정강이보호대,1390.0,56867.0,40.91,8342.0,917305.0,4,4,14,5,16,7,12,5,13696,342
수유복,6420.0,74273.0,11.57,24279.0,917594.0,2,3,0,5,23,2,13,2,7557,188
씻은묵은지,2170.0,180.0,0.08,29799.0,918018.0,9,9,9,13,31,1,8,0,3657,91
한글카드,1530.0,27237.0,17.8,18854.0,918395.0,3,8,9,0,16,6,14,4,14962,374
자수네임택,3390.0,11298.0,3.33,7992.0,918779.0,8,21,5,0,6,2,20,12,57776,1444
원터치쌀통,1120.0,35017.0,31.27,27752.0,918912.0,4,0,7,6,28,3,8,1,5566,139
자동분사방향제,2850.0,10760.0,3.78,11866.0,918955.0,6,7,16,5,9,2,26,3,27431,685
요요쉬소형,1850.0,6105.0,3.3,29455.0,918975.0,2,5,10,17,16,6,10,8,127376,3184
수성펜,3020.0,95054.0,31.47,13956.0,919077.0,0,0,1,3,33,0,6,1,3526,88
토끼소주,10360.0,191.0,0.02,40942.0,919154.0,1,9,8,17,32,0,6,2,7799,194
테니스슬링백,1200.0,26943.0,22.45,48493.0,919367.0,8,4,6,0,27,5,8,0,2870,71
공업용커터칼,1420.0,16888.0,11.89,6597.0,919422.0,0,0,10,0,26,4,8,2,10260,256
하이샤파,1370.0,5397.0,3.94,23825.0,919575.0,0,2,1,7,24,1,10,5,14602,365
팔굽혀펴기기구,4030.0,49096.0,12.18,19427.0,919776.0,3,1,8,0,9,6,17,8,35373,884
세탁실틈새수납장,1430.0,31955.0,22.35,28785.0,919779.0,7,7,15,2,17,2,15,6,20655,516
글루바인전기요,9140.0,14042.0,1.54,86528.0,919837.0,2,0,9,16,23,3,11,3,10040,251
브룩스브라더스셔츠,3740.0,21892.0,5.85,89979.0,919901.0,0,0,1,6,38,1,1,0,1105,27
동원죽,1800.0,27492.0,15.27,12133.0,919947.0,0,1,8,11,11,3,11,15,88965,2224
평페달슈즈,2090.0,68239.0,32.65,94825.0,920058.0,7,7,13,0,26,2,9,3,8186,204
포켓몬고플러스,2120.0,2946.0,1.39,64503.0,920088.0,29,4,7,0,34,2,1,3,6733,168
데스커책상매트,1810.0,1534.0,0.85,15365.0,920185.0,4,6,7,1,31,0,5,4,8464,211
못난이감자,1100.0,1384.0,1.26,17769.0,920373.0,5,4,0,30,32,5,0,3,5662,141
타투잉크,1130.0,31147.0,27.56,25325.0,920406.0,10,11,18,1,12,6,15,7,25166,629
질레트면도크림,1130.0,3984.0,3.53,15783.0,920815.0,2,7,17,14,15,7,12,6,24061,601
우르오스올인원,23300.0,10880.0,0.47,19610.0,920942.0,1,6,13,16,18,3,10,9,55281,1382
리큅건조기,1930.0,1516.0,0.79,89917.0,921186.0,2,0,8,7,8,7,19,6,16761,419
리큅식품건조기,10520.0,1431.0,0.14,99422.0,921186.0,1,0,9,7,8,7,19,6,16761,419
편한식탁의자,4790.0,90284.0,18.85,59741.0,921276.0,2,0,18,3,14,4,16,6,18255,456
쿠쿠밥솥패킹,3460.0,99462.0,28.75,18071.0,921920.0,1,0,12,18,4,4,25,7,24779,619
이유식냄비,9080.0,55938.0,6.16,28579.0,922182.0,6,1,20,5,12,5,15,8,30116,752
왕타칫솔,15950.0,1198.0,0.08,32478.0,922261.0,2,0,6,19,15,0,16,9,127751,3193
레고보관함,1890.0,48367.0,25.59,39833.0,922981.0,8,7,8,1,24,4,10,2,9378,234
마늘종자,1300.0,4602.0,3.54,42212.0,923168.0,4,11,1,24,28,6,4,2,5346,133
유기농양배추,3180.0,20434.0,6.43,14633.0,923194.0,7,9,7,17,31,1,6,2,5671,141
공장등,3220.0,80174.0,24.9,35375.0,923455.0,10,5,19,6,16,2,16,6,24992,624
몬스터울트라,2800.0,46018.0,16.43,54374.0,923685.0,16,2,3,19,33,3,2,2,9150,228
더치커피메이커,2100.0,18751.0,8.93,49677.0,924287.0,2,0,12,0,19,5,11,5,35788,894
자동혈당측정기,1380.0,3711.0,2.69,60721.0,924518.0,9,3,17,11,31,2,5,2,5100,127
카포트,1090.0,43236.0,39.67,49007.0,924650.0,0,1,2,0,34,2,4,0,1318,32
실리콘손목보호대,2110.0,46118.0,21.86,9480.0,925228.0,5,5,9,2,8,3,19,10,40638,1015
귤로장생,7360.0,916.0,0.12,23424.0,925559.0,3,7,8,22,12,5,12,11,127740,3193
무소음기포기,1030.0,9491.0,9.21,32839.0,925845.0,2,1,7,3,25,4,5,6,21983,549
칠성사이다500,1130.0,13394.0,11.85,15358.0,925967.0,2,3,18,9,14,5,10,11,73585,1839
김치양념,17240.0,32032.0,1.86,22901.0,926078.0,3,6,12,1,15,4,18,3,10753,268
청량고추,2800.0,771.0,0.28,13818.0,926166.0,3,8,20,8,4,2,21,13,51676,1291
성장영상,1160.0,1145.0,0.99,49585.0,926223.0,29,6,2,0,28,3,7,2,12353,308
원목기차놀이,1170.0,7828.0,6.69,80099.0,926355.0,3,5,6,3,28,0,12,0,4945,123
펄프도시락용기,1010.0,21325.0,21.11,39133.0,926474.0,2,3,25,10,12,7,14,7,41011,1025
골프화주머니,1550.0,35653.0,23.0,16852.0,926854.0,2,4,9,3,24,5,10,1,6308,157
배수관클리너,1380.0,17861.0,12.94,10574.0,927080.0,6,6,19,6,8,3,23,6,120446,3011
삼천포쥐포,1730.0,1546.0,0.89,28074.0,927546.0,3,7,22,8,5,2,16,17,99545,2488
레인보우악력기,2010.0,759.0,0.38,22006.0,927672.0,1,1,4,5,29,2,6,3,11766,294
스텔라앤츄이스,11560.0,3889.0,0.34,38862.0,927775.0,0,2,20,3,9,2,25,4,15829,395
족구공,3470.0,39544.0,11.4,31358.0,928111.0,0,0,3,1,33,3,4,0,2053,51
브린제,20460.0,6523.0,0.32,71165.0,928193.0,1,8,15,2,35,1,4,0,1332,33
실리콘지퍼백,7410.0,21096.0,2.85,13394.0,928301.0,6,10,7,14,27,3,7,3,7961,199
LG식기세척기세제,2330.0,7444.0,3.19,13872.0,928314.0,4,10,8,10,8,2,22,8,59064,1476
구글타임타이머,1510.0,3735.0,2.47,28821.0,928334.0,5,10,11,2,14,4,14,8,26309,657
엘라바,2350.0,1670.0,0.71,53154.0,928997.0,0,4,1,4,30,3,5,2,13561,339
생대추,3910.0,1493.0,0.38,26236.0,929064.0,11,7,12,10,24,5,8,3,14209,355
구글타이머,11840.0,42279.0,3.57,18681.0,929768.0,5,8,12,2,16,1,15,8,28784,719
풋헬퍼,3310.0,756.0,0.23,60748.0,929880.0,6,0,1,33,38,0,2,0,1367,34
높은베개,2090.0,21951.0,10.5,33285.0,930070.0,6,5,4,0,34,2,3,1,2406,60
양송이버섯,16140.0,7450.0,0.46,11257.0,930374.0,10,19,7,3,9,5,19,7,32993,824
순수염색약,13830.0,10739.0,0.78,20799.0,930546.0,4,9,5,20,16,4,16,4,11204,280
신생아아기띠,10130.0,14922.0,1.47,85329.0,930708.0,5,4,5,3,17,1,14,8,21699,542
카시오어린이시계,1040.0,9336.0,8.98,30373.0,930768.0,4,0,6,16,23,5,7,5,24167,604
스펙트라유축기,13760.0,2046.0,0.15,11339.0,931508.0,3,2,15,3,5,4,18,13,76337,1908
한끼전복죽,1070.0,4574.0,4.27,37538.0,931908.0,4,4,2,30,38,0,1,1,1740,43
생화꽃다발,4120.0,38463.0,9.34,25603.0,931978.0,18,5,17,0,10,2,17,11,49722,1243
티빙이용권,20880.0,47.0,0.0,23616.0,932750.0,4,3,0,7,18,3,1,0,400,18
PRO5A,1590.0,59558.0,37.46,68023.0,932993.0,5,4,5,25,35,1,3,1,3269,81
쌀강정,2540.0,11342.0,4.47,11429.0,933075.0,0,6,3,0,22,3,12,3,10170,254
주방후드필터,6430.0,77245.0,12.01,10035.0,933501.0,11,12,17,0,7,4,17,12,118766,2969
롤카페트,3600.0,100410.0,27.89,24329.0,933535.0,5,2,15,0,18,2,14,6,28200,705
디스트리뷰터,4540.0,57273.0,12.62,31130.0,933645.0,2,3,13,0,12,4,17,7,22733,568
베개커버3050,1060.0,3270.0,3.08,12368.0,933740.0,5,4,13,1,18,3,11,8,38780,969
산토리하이볼잔,4210.0,9371.0,2.23,24277.0,933819.0,5,12,9,0,21,4,12,3,7949,198
닥터브라운젖병,17200.0,5804.0,0.34,27884.0,933833.0,6,4,21,1,5,7,18,10,39234,980
다우니퍼퓸쥬얼,3810.0,3539.0,0.93,14956.0,933846.0,1,3,13,19,27,0,7,6,24640,616
코딩컴퓨터,2260.0,18180.0,8.04,87564.0,934160.0,3,7,7,7,24,2,12,2,8123,203
전립선사군자가격,5530.0,474.0,0.09,63564.0,934182.0,14,9,12,5,36,2,2,0,951,23
블루레이ODD,2160.0,10916.0,5.05,85430.0,934211.0,7,4,5,20,36,1,2,1,2909,72
다슈그루밍토닉,3060.0,703.0,0.23,19186.0,934474.0,11,2,8,14,29,1,9,1,4815,120
BMW목쿠션,1570.0,42918.0,27.34,25906.0,934914.0,6,7,12,1,21,5,11,3,24782,619
배냇슈트,1270.0,43097.0,33.93,26548.0,934989.0,4,10,15,1,23,1,13,3,10920,273
아가방딸랑이,1060.0,3626.0,3.42,16579.0,935058.0,1,0,5,0,39,0,0,1,3288,82
카시트발받침대,3580.0,6060.0,1.69,37369.0,935320.0,4,5,1,4,27,3,6,4,14132,353
파크골프공,6620.0,19443.0,2.94,22575.0,935510.0,2,2,6,0,24,2,13,1,6548,163
자숙랍스터,2760.0,1305.0,0.47,62959.0,935771.0,7,3,15,15,16,4,13,7,18761,469
마이쮸대용량,1880.0,4006.0,2.13,19635.0,936203.0,0,1,9,3,30,3,4,3,21053,526
미엘토퍼,1370.0,30.0,0.02,14485.0,936311.0,0,2,0,31,2,2,18,11,36047,1092
기차놀이,2310.0,56006.0,24.25,49617.0,936394.0,3,9,11,2,21,0,17,2,8645,216
아기띠블랭킷,1070.0,1393.0,1.3,39836.0,936569.0,3,3,14,0,29,3,7,1,4099,102
산소포화도,19460.0,52123.0,2.68,24280.0,936630.0,1,1,4,0,14,5,17,4,17444,436
싼타페PPF,1590.0,11523.0,7.25,22379.0,936717.0,9,8,16,7,29,2,9,0,2126,53
칼갈이기계,2700.0,90444.0,33.5,57374.0,936925.0,5,1,3,0,33,2,5,0,2324,58
아기선글라스,1520.0,13164.0,8.66,30358.0,936994.0,6,3,9,0,23,2,9,6,18420,460
삼숙이,1540.0,2775.0,1.8,40222.0,937072.0,1,2,7,1,31,0,6,3,6446,161
엔진첨가제,6300.0,95023.0,15.08,20264.0,937286.0,3,1,6,2,3,4,21,12,64815,1620
쫀드기,16460.0,44710.0,2.72,7555.0,937310.0,3,14,12,7,5,1,22,12,75585,1889
응모함,1640.0,49738.0,30.33,23683.0,937541.0,0,2,2,0,34,1,3,2,6207,155
라미만년필,15900.0,54404.0,3.42,33351.0,937736.0,2,3,12,16,11,5,13,11,48595,1214
밀크팬,4000.0,56171.0,14.04,30856.0,937824.0,5,5,15,4,21,4,10,5,26046,651
폴로키즈가디건,3040.0,6739.0,2.22,94280.0,937873.0,7,0,6,6,32,2,6,0,1851,46
MG3090잉크,1140.0,4811.0,4.22,29315.0,937905.0,3,3,25,9,10,4,17,9,62970,1574
전기무릎담요,4580.0,52136.0,11.38,38389.0,938135.0,10,9,9,9,27,6,5,2,10103,252
코콤인터폰,8520.0,4074.0,0.48,61310.0,938135.0,2,4,10,3,20,5,14,1,9726,243
돌촬영가족의상,1500.0,10294.0,6.86,33699.0,938471.0,13,12,14,1,16,5,14,5,14103,352
펄프도시락,1960.0,28895.0,14.74,27616.0,938820.0,1,6,22,11,8,8,16,8,43358,1083
남자톤업크림,2350.0,5421.0,2.31,26011.0,939139.0,8,4,7,6,25,4,8,3,11954,298
한글포스터,1410.0,3708.0,2.63,6539.0,939388.0,10,15,12,1,5,2,18,15,134021,3350
절임총각무,1100.0,752.0,0.68,35021.0,939823.0,8,3,11,10,30,3,7,0,3170,79
감마루스,1050.0,7138.0,6.8,6416.0,940000.0,1,1,2,0,24,2,11,3,12427,310
아기정장,3740.0,29339.0,7.84,46854.0,940552.0,9,11,19,0,21,4,12,3,10876,271
햇반죽,3230.0,59403.0,18.39,12266.0,941221.0,0,2,11,17,10,2,16,12,185539,4638
에그비누,2360.0,3211.0,1.36,14265.0,941286.0,3,6,12,16,17,2,13,8,38589,964
게스드로즈,2340.0,16934.0,7.24,29940.0,942161.0,0,1,1,3,31,4,5,0,2517,62
스펙트라,8990.0,64791.0,7.21,11059.0,942317.0,1,1,13,1,2,2,18,18,107165,2679
네일니퍼,4100.0,98658.0,24.06,30986.0,942365.0,8,11,19,0,6,4,23,7,31286,782
각대봉투,7170.0,48475.0,6.76,6589.0,942365.0,3,5,14,3,15,2,16,7,20851,521
무안양파,1580.0,17497.0,11.07,10385.0,942547.0,8,12,7,13,11,1,16,12,92022,2300
피규어아크릴케이스,1010.0,95935.0,94.99,20799.0,943428.0,7,8,9,1,17,6,11,6,16744,418
파삼,1440.0,2137.0,1.48,22085.0,944503.0,4,6,5,1,20,6,9,5,17705,442
빨아쓰는규조토발매트,3510.0,94897.0,27.04,9900.0,944777.0,2,6,8,1,6,1,21,12,54026,1350
고추튀김,5430.0,10904.0,2.01,12416.0,944813.0,2,0,7,9,23,5,10,2,15176,379
포지타노레몬사탕,17490.0,10477.0,0.6,11399.0,944871.0,9,10,13,7,17,1,13,9,38468,961
비비탄총,12750.0,55567.0,4.36,50078.0,944889.0,8,6,11,6,24,3,9,4,9831,245
자동연필깍기,3230.0,43283.0,13.4,22443.0,945233.0,1,1,4,1,21,2,11,6,21555,538
자동연필깎이,3570.0,43283.0,12.12,22296.0,945233.0,1,1,4,0,22,2,11,5,20147,503
세정살균티슈,1670.0,30399.0,18.2,12670.0,945496.0,4,4,19,5,7,7,20,6,24573,614
지요펌프,1570.0,9000.0,5.73,20389.0,945741.0,0,3,4,3,20,5,13,2,19215,480
와일드루꼴라,3600.0,467.0,0.13,8810.0,945999.0,5,9,22,4,13,4,15,8,58502,1462
어린이철분제,9690.0,4008.0,0.41,23685.0,946121.0,9,8,19,4,14,4,19,3,12120,303
현관안전고리,1870.0,31193.0,16.68,13295.0,946470.0,3,3,9,1,21,2,10,7,24675,616
내귤반쪽,4700.0,4.0,0.0,7400.0,947054.0,0,4,0,0,3,0,0,1,1734,433
유아경량패딩,6590.0,71250.0,10.81,71168.0,947108.0,2,5,26,0,30,4,6,0,1773,44
화동드레스,5180.0,32548.0,6.28,48646.0,947381.0,6,5,26,1,20,5,14,1,7193,179
클렌징티슈,11520.0,83660.0,7.26,8746.0,947646.0,2,1,4,2,3,2,18,17,61793,1544
촉감놀이,3510.0,92848.0,26.45,17217.0,948188.0,4,11,5,3,12,1,16,11,34013,850
빅사이즈앞치마,2440.0,30460.0,12.48,17510.0,948318.0,7,14,18,0,15,3,10,12,63881,1597
냉삼,24550.0,3245.0,0.13,11832.0,948474.0,2,7,19,12,8,7,17,8,59227,1480
미니붕어빵,21200.0,48766.0,2.3,13780.0,948520.0,2,5,21,12,17,2,15,6,38695,967
인덕션패드,2990.0,36415.0,12.18,8142.0,948525.0,4,7,8,0,8,1,17,14,77274,1931
논슬립축구양말,1580.0,22599.0,14.3,8065.0,949071.0,5,7,20,1,7,1,23,9,42197,1054
헤어단백질팩,1040.0,32655.0,31.4,22585.0,950059.0,6,5,7,6,7,4,17,12,67696,1692
진단키트,2490.0,53352.0,21.43,7655.0,950192.0,5,2,9,1,18,1,11,10,49806,1245
원데이코코너츠화이트,1160.0,1041.0,0.9,29779.0,950409.0,2,0,2,36,27,4,8,1,4004,100
팔도점보도시락,7170.0,160.0,0.02,23334.0,950721.0,14,9,6,11,35,2,3,0,1492,37
옥수수수염차,17810.0,53423.0,3.0,13226.0,950921.0,2,2,15,11,15,1,20,4,16269,406
곰보배추,16240.0,7085.0,0.44,22747.0,951697.0,11,8,17,4,23,1,13,3,10338,258
케어센스혈당측정기,4910.0,3775.0,0.77,26262.0,951867.0,2,7,19,7,19,4,11,6,15178,379
헤라선크림,11030.0,9758.0,0.88,25444.0,951879.0,2,5,13,12,16,1,13,10,77992,1949
해피넛마카다미아,1040.0,609.0,0.59,36236.0,952117.0,12,0,14,14,33,0,6,1,3756,93
닥스손수건,5900.0,61567.0,10.44,11065.0,952235.0,7,0,1,0,23,5,12,0,4608,115
푸푸리,8540.0,2917.0,0.34,23428.0,952344.0,5,2,18,3,26,1,6,7,25421,635
실크테라피오리지널,2290.0,6409.0,2.8,27162.0,952766.0,1,3,7,19,20,3,9,8,31523,788
주니어골키퍼장갑,1050.0,15061.0,14.34,41034.0,953019.0,1,9,18,5,27,6,5,2,8250,206
통골뱅이,4470.0,228.0,0.05,27498.0,953293.0,17,11,9,3,19,5,10,6,23452,586
피칸,20750.0,69469.0,3.35,17270.0,953363.0,2,3,22,12,5,3,22,10,47478,1186
케어센스혈당측정검사지,1930.0,1166.0,0.6,31940.0,953388.0,3,8,25,4,11,0,24,5,19377,484
와사비아몬드,1250.0,3951.0,3.16,10014.0,953434.0,0,8,14,11,11,5,13,11,51128,1278
주니어트레이닝바지,1090.0,42392.0,38.89,21943.0,953445.0,1,4,7,2,30,5,2,3,6450,161
벤츠붕붕카,1520.0,2822.0,1.86,61708.0,953608.0,0,0,6,1,27,3,10,0,3918,97
타이틀리스트골프공,26760.0,44423.0,1.66,47503.0,953928.0,2,9,14,6,18,2,16,4,13117,327
7개월아기장난감,4210.0,4278.0,1.02,21564.0,954249.0,8,9,13,0,29,1,10,0,4036,100
필립스전기면도기날,2070.0,31761.0,15.34,27227.0,954416.0,5,13,11,10,18,9,10,3,11587,289
청정원파스타소스,1620.0,22108.0,13.65,7771.0,954558.0,1,0,9,10,8,3,15,14,96695,2417
청정원스파게티소스,5420.0,22601.0,4.17,7797.0,954558.0,1,0,9,10,9,3,15,13,94282,2357
종이완충재,3020.0,29964.0,9.92,16585.0,954709.0,3,10,26,1,6,3,17,14,76806,1920
히말라야핑크솔트치약,10590.0,17809.0,1.68,12982.0,955202.0,0,1,9,19,13,1,13,13,66360,1659
열대과일,10070.0,36171.0,3.59,12939.0,955254.0,6,4,18,12,5,3,25,7,48582,1214
기미상궁염도계,1070.0,2642.0,2.47,65137.0,955323.0,0,1,2,0,36,1,2,1,2300,57
4단사다리,2600.0,66085.0,25.42,61956.0,956463.0,5,6,22,7,17,6,15,2,10058,251
현관가림막,6960.0,103080.0,14.81,22231.0,956526.0,4,8,13,4,2,2,22,14,33396,834
레그슬리브,1090.0,59781.0,54.84,22118.0,956548.0,2,3,7,0,33,3,3,1,4359,108
낚시기포기,4360.0,62472.0,14.33,30040.0,956682.0,6,3,10,0,19,3,12,6,16536,413
헤라CC,7240.0,599.0,0.08,40425.0,957034.0,10,8,13,7,36,0,2,2,4618,115
