relative_keyword,total_search,total_store_count,competitive_rate,avg_price,avg_sale,grade_norm,grade_power,grade_bigpower,grade_premium,review_10,review_50,review_100,review_1000,total_review,avg_review
열패치,3560.0,61032.0,17.14,9478.0,582312.0,1,1,4,2,27,4,6,3,7191,179
샤프란아우라건조기시트,1680.0,3731.0,2.22,21096.0,582372.0,3,6,18,9,14,4,16,6,76580,1914
가정용저주파치료기,1270.0,4961.0,3.91,63198.0,582524.0,7,4,7,3,31,1,6,2,5802,145
캠핑설거지건조대,1170.0,22671.0,19.38,24011.0,582838.0,4,0,6,0,30,4,2,4,12543,313
딤채김치통,23260.0,1612.0,0.07,37685.0,582865.0,3,2,5,4,26,6,8,0,2658,66
날짜스탬프,2720.0,38336.0,14.09,11296.0,582869.0,3,5,3,0,28,4,6,2,7446,186
도넛방석,6880.0,75849.0,11.02,14803.0,583287.0,3,8,4,0,19,6,8,7,32763,819
호신용호루라기,1190.0,50880.0,42.76,12694.0,583680.0,6,5,4,3,30,3,5,2,6143,153
실리만,12720.0,21217.0,1.67,16698.0,583912.0,1,3,5,3,19,2,16,3,11062,276
이오나이저,3150.0,43380.0,13.77,84906.0,583916.0,1,1,0,0,39,1,0,0,72,1
미닛메이드오렌지,2120.0,9775.0,4.61,22600.0,583945.0,2,2,18,14,20,4,11,5,15011,375
얼굴마사지기구,12840.0,44693.0,3.48,11426.0,584048.0,9,13,15,3,7,3,16,14,106788,2669
닭봉,5260.0,5285.0,1.0,15107.0,584216.0,1,8,14,16,10,6,16,8,36118,902
셀프스튜디오,19430.0,51684.0,2.66,17477.0,584313.0,35,5,0,0,13,6,19,2,13092,327
빌보고블렛잔,3010.0,1452.0,0.48,31501.0,584415.0,3,2,5,5,31,2,4,3,16217,405
아일랜드파티션,1570.0,15705.0,10.0,84830.0,584479.0,7,2,1,1,32,2,6,0,2664,66
갤럭시탭S9플러스필름,1100.0,13162.0,11.97,14571.0,584523.0,0,0,1,7,12,3,16,9,44303,1107
메타그린골드,2140.0,152.0,0.07,64692.0,584554.0,4,12,4,20,28,4,7,1,14445,361
테일러푸룬,5740.0,6286.0,1.1,20705.0,584749.0,1,1,21,17,12,1,19,8,40527,1013
꼬막살,1420.0,448.0,0.32,15092.0,584840.0,4,5,25,6,17,5,15,3,11861,296
송명섭막걸리,5980.0,15.0,0.0,10650.0,584875.0,0,2,3,10,11,1,2,1,2274,151
콩잎장아찌,3810.0,873.0,0.23,15350.0,585068.0,8,12,6,2,11,7,18,4,21039,525
코스트코사과주스,1070.0,1629.0,1.52,23448.0,585098.0,1,7,19,13,29,2,6,3,9272,231
예단봉투,3260.0,11784.0,3.61,9194.0,585273.0,15,3,10,1,14,1,13,12,45156,1128
자스민차,6600.0,39818.0,6.03,11282.0,585816.0,1,5,4,3,23,3,12,2,7526,188
벌통,1110.0,44342.0,39.95,41425.0,586111.0,2,2,0,0,37,1,2,0,1053,26
엠피온하이패스,6860.0,959.0,0.14,53255.0,586290.0,0,8,4,12,27,2,7,4,51260,1281
산리오쿠키틀,1340.0,3382.0,2.52,12116.0,586327.0,4,2,3,6,36,0,4,0,1413,35
전선풀링기,1150.0,63504.0,55.22,88296.0,586500.0,11,1,6,22,36,1,3,0,814,20
분리수거가방,1030.0,28424.0,27.6,11608.0,586505.0,5,4,8,4,24,5,6,5,57126,1428
카시트발받침,1550.0,5092.0,3.29,32061.0,586578.0,5,8,4,0,33,1,3,3,10842,271
아기어그,15600.0,3453.0,0.22,31941.0,586712.0,16,7,10,2,30,5,5,0,2177,54
전면책꽂이,1140.0,81878.0,71.82,71546.0,587025.0,4,1,15,1,24,2,9,5,12057,301
앉은뱅이바퀴의자,3160.0,39549.0,12.52,21073.0,587199.0,8,9,16,3,17,5,10,8,23943,598
고래사꼬치어묵,5300.0,1146.0,0.22,19505.0,587213.0,0,1,12,4,21,3,11,5,32785,819
파이프밴딩기,1920.0,105091.0,54.73,78038.0,587500.0,2,0,1,0,38,1,1,0,290,7
마이하트포도,10840.0,1073.0,0.1,28969.0,587717.0,11,14,11,4,28,4,8,0,2426,60
대나무숯,1790.0,52933.0,29.57,15931.0,587916.0,2,5,0,1,36,1,2,1,1968,49
니트프로진저,1610.0,1400.0,0.87,46773.0,587943.0,1,6,11,0,22,6,11,1,5540,138
건고추가격,1810.0,11726.0,6.48,14366.0,588256.0,7,6,17,10,9,2,20,9,27073,676
방독마스크,6740.0,69173.0,10.26,21931.0,588308.0,11,7,16,0,8,3,22,7,26432,660
에어보스카시트,1060.0,326.0,0.31,88416.0,588333.0,9,0,1,26,33,0,7,0,2400,60
콩잎김치,3310.0,269.0,0.08,17340.0,588343.0,11,7,8,5,27,2,7,4,16076,401
축구교실,6700.0,17646.0,2.63,51775.0,588344.0,31,0,2,4,39,0,0,1,3734,93
브라이트스타트,3590.0,4794.0,1.34,77150.0,588500.0,1,2,13,3,23,5,5,7,21017,525
수정탄,2180.0,21130.0,9.69,70625.0,588598.0,4,3,12,1,26,1,13,0,3171,79
미꾸라지,12300.0,33568.0,2.73,15644.0,588831.0,4,6,17,13,23,5,9,3,12476,311
그림스,1340.0,830.0,0.62,97761.0,588950.0,18,0,5,0,33,4,2,1,3073,76
외장ODD,1550.0,42080.0,27.15,36161.0,588973.0,5,4,9,4,13,6,17,4,23758,593
시에라컵,7630.0,56674.0,7.43,17350.0,588984.0,1,2,13,2,12,11,15,2,10727,268
태백산맥,8530.0,953.0,0.11,46466.0,589481.0,1,0,3,8,36,2,1,1,1800,45
실리만조리도구,3170.0,1293.0,0.41,33041.0,589481.0,5,4,5,3,38,0,2,0,538,13
정장옷걸이,2600.0,103270.0,39.72,10246.0,589501.0,6,6,21,2,5,7,14,14,129418,3235
