relative_keyword,grade_norm,grade_power,grade_bigpower,grade_premium,review_10,review_50,review_100,review_1000,total_review,avg_review
알뜨랑비누,0,1,9,27,10,6,13,11,46465,1161
가슴운동,0,2,2,0,34,0,5,1,4980,124
시밀레프리티3,8,1,17,6,31,4,4,1,8006,200
낚시대거치대,8,9,16,6,11,7,19,3,13421,335
어싱테스트기,3,3,2,3,37,2,1,0,440,11
열빙어,1,4,16,19,7,4,17,12,71006,1775
마체테,2,1,9,0,33,2,5,0,1866,46
EMIS가방,3,4,22,1,32,4,4,0,1712,42
개구리연못,2,0,1,6,39,1,0,0,95,2
장듀보라귀올,3,1,10,0,22,4,14,0,5009,125
배추우거지,3,11,18,8,16,4,16,4,12727,318
전국농수산간장게장,2,1,5,32,36,2,1,1,2232,55
소반,5,2,3,3,28,4,8,0,3780,94
포터필터,4,5,27,1,10,6,20,4,15768,394
적옥토,0,1,4,1,28,5,7,0,2618,65
사운드바브라켓,8,3,18,11,25,5,9,1,6130,153
크레모아캡온,0,0,8,6,21,6,8,5,18504,462
솔텍테크2,3,0,6,1,36,1,3,0,1184,29
여아경량패딩,6,3,29,0,35,2,2,1,2425,60
하리오드리퍼,1,1,10,2,20,6,12,2,9996,249
피쉬볼,0,2,5,4,24,5,7,4,31034,775
CJ기프트카드,3,2,22,11,25,5,7,3,8623,215
광선검,5,3,3,0,28,5,6,1,3994,99
템파보드,8,9,12,2,32,1,5,2,9357,233
슬리브압착기,0,1,7,1,33,1,6,0,1917,47
주방타일셀프,3,8,9,0,27,1,11,1,8103,202
캐치맙밀대,0,1,8,4,19,4,14,3,19171,479
포그내슬링,3,8,2,25,25,4,10,1,6177,154
고양이양치,13,13,8,6,20,5,12,3,12113,302
뻥뚜러,0,1,1,1,34,0,5,1,3661,91
밀레도어락,1,1,8,14,14,10,16,0,5110,127
골전도스피커,16,0,3,21,38,1,1,0,428,10
화이트생리대,0,1,4,9,2,0,22,16,65426,1635
트라이탄보틀,2,6,15,5,3,6,16,15,71694,1792
모듬조개,9,7,16,8,18,2,13,7,66686,1667
합격엿,1,6,2,1,18,8,13,1,8209,205
아트시스,0,0,26,0,13,4,16,7,24814,620
수영킥판,9,0,5,0,30,2,6,2,5929,148
스타벅스아메리카노,2,0,0,9,7,2,17,14,172407,4310
커클랜드단백질바,3,4,19,10,18,4,14,4,27273,681
