relative_keyword,avg_sale
납골당꾸미기,1078301.0
보청기,1023963.0
목발,794433.0
요강,959731.0
이동식변기,1308784.0
거북목교정기,3909451.0
목견인기,7022835.0
자세교정밴드,4062436.0
의료용압박스타킹,5804968.0
거북목교정,5843947.0
어깨교정밴드,6291939.0
센시안압박스타킹,6445899.0
허리스트레칭기구,1197218.0
허리견인기,8499096.0
발목보조기,681450.0
굽은등교정기,4264745.0
깁스신발,219513.0
부항기,2476922.0
적외선조사기,4154408.0
적외선치료기,3506103.0
클럭패드,621520.0
부황기,2476922.0
한솔부항기,1306812.0
EMS마사지기,840421.0
비웰스바디펜,
저주파자극기,1777788.0
부항,2476922.0
휴비딕저주파,813378.0
클럭마사지기,
가정용좌욕기,4416465.0
좌훈기,386000.0
좌욕,8166107.0
치질좌욕기,4239551.0
좌욕대야,3945851.0
임산부좌욕기,5509822.0
파쉬보온물주머니,774376.0
눈찜질팩,1921452.0
전기찜질팩,5349703.0
발온열기,3905478.0
파쉬,916294.0
허리찜질기,6212995.0
어깨찜질기,5711380.0
온수찜질기,1028517.0
황토찜질팩,1248335.0
어깨찜질팩,1835434.0
팥찜질팩,1004603.0
무릎찜질기,5062267.0
파쉬물주머니,696846.0
이갈이마우스피스,1963684.0
애터미치약,670033.0
미백치약,8775146.0
켄트칫솔,3919125.0
혀클리너,2872011.0
어금니칫솔,3632050.0
큐라덴칫솔,682136.0
첨단칫솔,218296.0
애터미칫솔,167521.0
유시몰치약,114709.0
온열안대,1833250.0
안경세척기,2391975.0
식염수,1383648.0
보스톤심플러스,1737689.0
옵티프리,120415.0
에이오셉,167801.0
초음파안경세척기,2133478.0
메구리즘온열안대,1468393.0
생리식염수,397304.0
안경초음파세척기,2135862.0
멸균생리식염수,324947.0
옵티프리퓨어모이스트,266925.0
메구리즘,1555594.0
무지외반증교정기,4318929.0
내성발톱교정기,1683805.0
그랜즈레미디,2372643.0
셀라큐어,175149500.0
폴리오종아리마사지기,
손마사지기,107800.0
눈마사지기,268609.0
괄사마사지기,2394611.0
토르박스,2455057.0
매직캔,9086534.0
여인초,771645.0
인형꽃다발,519493.0
올리브나무,434728.0
양파모종,227490.0
학예회꽃다발,414576.0
킨더조이꽃다발,375176.0
호야,118309.0
분갈이흙,1355874.0
비닐하우스자재,1608036.0
제초매트,868087.0
더퍼스트슬램덩크블루레이,185307.0
아이유골든아워,1153762.0
백색소음기,4752425.0
소형녹음기,2862820.0
초소형녹음기,2523859.0
오닉스팔마,1769337.0
말랑하니백색소음기,80066850.0
마리오원더,4494519.0
