relative_keyword,total_search,total_store_count,competitive_rate,avg_price,avg_sale,grade_norm,grade_power,grade_bigpower,grade_premium,review_10,review_50,review_100,review_1000,total_review,avg_review,zzim_10,zzim_50,zzim_100,zzim_1000
아이언그립,3670.0,64613.0,17.61,14105.0,641152.0,4,5,8,0,24,2,12,2,8547,213,30,5,5,0
반스체커보드슬립온,3530.0,15247.0,4.32,58330.0,641795.0,0,1,9,1,26,5,9,0,4332,108,30,2,8,0
건초,2290.0,99254.0,43.34,6593.0,642023.0,2,5,5,1,13,11,12,4,11696,292,35,2,3,0
토슈즈,4580.0,48757.0,10.65,34413.0,642260.0,0,7,3,0,22,6,11,1,6579,164,32,4,4,0
달항아리그림,7300.0,9288.0,1.27,49275.0,642345.0,4,2,7,0,27,2,11,0,4304,107,28,2,9,1
맷돌,10050.0,100385.0,9.99,64740.0,642350.0,0,0,2,0,39,0,1,0,658,16,38,0,2,0
깨절구,1650.0,53361.0,32.34,13853.0,643153.0,0,1,9,1,27,3,6,4,11312,282,29,3,8,0
코베아토치,3400.0,28554.0,8.4,16413.0,643707.0,0,0,6,0,22,4,12,2,11400,285,33,5,2,0
애견미용테이블,1180.0,65371.0,55.4,89123.0,643945.0,6,8,0,0,28,2,9,1,4642,116,27,4,8,1
완력기,3090.0,91498.0,29.61,18694.0,644144.0,0,1,2,0,20,8,9,3,11169,279,38,0,2,0
셀프성장동영상,1840.0,126.0,0.07,52602.0,644212.0,19,5,1,0,27,5,7,1,9587,239,33,1,5,1
가슴운동,7110.0,94656.0,13.31,32388.0,645277.0,0,2,2,0,34,0,5,1,4980,124,39,0,1,0
마체테,7060.0,10892.0,1.54,56120.0,645881.0,2,1,9,0,33,2,5,0,1866,46,27,5,8,0
적옥토,2500.0,3380.0,1.35,10764.0,647143.0,0,1,4,1,28,5,7,0,2618,65,36,1,3,0
솔텍테크2,1070.0,2906.0,2.72,92453.0,647428.0,3,0,6,1,36,1,3,0,1184,29,36,1,3,0
광선검,4590.0,36728.0,8.0,23667.0,647717.0,5,3,3,0,28,5,6,1,3994,99,32,3,5,0
슬리브압착기,2340.0,36599.0,15.64,81032.0,647794.0,0,1,7,1,33,1,6,0,1917,47,36,3,1,0
주방타일셀프,1250.0,53961.0,43.17,13447.0,647959.0,3,8,9,0,27,1,11,1,8103,202,23,2,12,3
뻥뚜러,1360.0,17131.0,12.6,10301.0,648694.0,0,1,1,1,34,0,5,1,3661,91,39,0,1,0
합격엿,5110.0,11843.0,2.32,15590.0,649198.0,1,6,2,1,18,8,13,1,8209,205,36,1,3,0
수영킥판,2650.0,37076.0,13.99,21632.0,649581.0,9,0,5,0,30,2,6,2,5929,148,35,2,3,0
메쉬수영가방,1200.0,84802.0,70.67,21123.0,650406.0,5,7,9,0,23,4,11,2,7139,178,14,9,15,2
지브리LP,1940.0,1723.0,0.89,65918.0,651075.0,1,5,6,0,35,3,2,0,652,16,33,1,5,1
미담기프트,2620.0,10.0,0.0,13409.0,651322.0,4,0,6,0,4,0,4,2,5751,575,4,0,4,1
초등학생시계,2070.0,60718.0,29.33,21342.0,652639.0,7,11,3,1,20,6,9,5,24089,602,19,6,13,2
창틀건조대,1010.0,38548.0,38.17,21890.0,653677.0,3,3,5,1,29,4,6,1,4081,102,30,1,8,1
카람빗,12910.0,17995.0,1.39,15435.0,654805.0,5,6,2,1,34,3,3,0,1483,37,29,3,8,0
문교오일파스텔,2060.0,16987.0,8.25,13768.0,655242.0,1,2,4,0,28,4,3,5,16495,412,32,2,6,0
탯줄,3370.0,15398.0,4.57,18175.0,655269.0,18,7,1,0,13,5,19,3,11187,279,20,6,12,2
하몽,25410.0,13512.0,0.53,15515.0,655659.0,0,2,4,1,25,7,6,2,7438,185,32,4,4,0
들기름막국수,25820.0,6667.0,0.26,14555.0,656333.0,1,1,5,2,24,1,12,3,19200,480,36,0,4,0
강아지일회용신발,1810.0,18087.0,9.99,9114.0,656423.0,9,7,8,0,16,1,17,6,30146,753,18,5,13,4
유모차컵홀더,5250.0,56723.0,10.8,11299.0,657057.0,5,4,8,1,13,6,15,6,28987,724,27,3,10,0
가정용실링기,1160.0,65993.0,56.89,28307.0,657133.0,1,5,1,0,30,0,6,4,24403,610,37,1,2,0
어부바아기띠,1080.0,2120.0,1.96,40990.0,658544.0,18,5,1,1,35,0,2,3,9762,244,37,2,1,0
미즈노배구화,4860.0,29555.0,6.08,76092.0,659291.0,3,0,3,1,37,0,3,0,690,17,37,2,1,0
튜브공기주입기,1400.0,100914.0,72.08,11257.0,659642.0,3,3,9,2,20,5,9,6,12836,320,33,3,4,0
강아지미용거치대,1330.0,34764.0,26.14,72808.0,659715.0,5,5,1,0,35,0,4,1,2940,73,33,2,4,1
노스페이스맨투맨,10110.0,49735.0,4.92,56403.0,659979.0,0,0,4,2,39,0,1,0,501,12,35,2,3,0
가죽염색약,2690.0,6260.0,2.33,12291.0,660012.0,4,8,9,1,19,3,13,5,35732,893,27,3,9,1
면도경,1110.0,24083.0,21.7,26526.0,662997.0,1,0,4,0,21,6,11,2,5975,149,34,2,4,0
운남성보이차,2370.0,14099.0,5.95,22192.0,663905.0,4,2,4,0,25,4,7,4,15315,382,35,2,3,0
아라이바람막이,2160.0,4986.0,2.31,66201.0,664109.0,7,11,3,0,34,1,5,0,2070,51,39,0,1,0
지라그라타,3590.0,4.0,0.0,11480.0,664940.0,1,0,0,1,1,1,0,0,77,38,2,0,0,1
아그리폼지라그라타그라나파다노,9250.0,3.0,0.0,11480.0,664940.0,1,0,0,1,1,1,0,0,77,38,1,0,0,1
모래멍,1550.0,34100.0,22.0,18009.0,665205.0,0,1,0,0,30,4,6,0,3757,93,36,1,3,0
한우육포,2410.0,9760.0,4.05,41781.0,665528.0,10,0,6,1,31,3,5,1,2818,70,37,2,1,0
오토바이우주복,3820.0,37517.0,9.82,72952.0,665658.0,1,2,2,2,39,1,0,0,313,7,39,1,0,0
뜰채프레임,1600.0,19417.0,12.14,47292.0,666340.0,0,1,5,0,28,2,9,1,4223,105,38,0,2,0
룰렛판,1160.0,15359.0,13.24,49849.0,668700.0,0,0,3,0,37,1,2,0,782,19,38,1,1,0
스텐다라이,5980.0,84818.0,14.18,27273.0,668950.0,2,2,8,1,22,5,11,2,8424,210,30,5,5,0
겉절이양념,14130.0,4645.0,0.33,11514.0,669015.0,3,5,5,1,22,4,9,5,13262,331,35,1,4,0
걷기보조기구,1150.0,14447.0,12.56,39102.0,669550.0,4,2,1,1,36,2,1,1,18263,456,37,2,1,0
축구헤어밴드,1270.0,34319.0,27.02,6425.0,669564.0,1,0,7,2,34,2,2,2,7988,199,35,2,3,0
하코인두기,1930.0,22727.0,11.78,29542.0,670375.0,1,0,0,0,36,3,1,0,610,15,40,0,0,0
전자파측정기,4410.0,39045.0,8.85,61986.0,670780.0,2,5,2,0,28,4,8,0,3243,81,39,0,1,0
사각법랑냄비,1410.0,4913.0,3.48,22548.0,670811.0,6,6,5,0,34,0,6,0,2142,53,30,1,6,3
화장실변기막혔을때,3030.0,11130.0,3.67,14797.0,670932.0,4,9,3,2,27,2,6,5,24543,613,33,4,3,0
피아노매트,1020.0,41971.0,41.15,43840.0,671220.0,4,5,7,0,24,4,11,1,4312,107,32,4,4,0
무타공수건걸이,1690.0,63128.0,37.35,9548.0,671472.0,0,5,9,0,17,2,20,1,14462,361,26,5,9,0
CEP카프슬리브,2220.0,2730.0,1.23,66249.0,672000.0,0,0,3,0,37,0,3,0,836,20,39,0,1,0
실론티,7970.0,18578.0,2.33,13827.0,672018.0,1,0,6,1,25,2,12,1,14963,374,37,0,3,0
표일배,1840.0,8433.0,4.58,22836.0,672216.0,1,1,8,0,33,1,5,1,14168,354,32,1,6,1
미니핫도그,3180.0,19164.0,6.03,10773.0,675687.0,2,2,5,2,20,7,8,5,17014,425,34,2,4,0
프리다이빙체험,1070.0,660.0,0.62,80594.0,675977.0,30,4,6,0,27,5,8,0,2351,58,28,6,6,0
캐리어보호커버,1200.0,85805.0,71.5,10315.0,676088.0,3,12,4,0,25,3,8,4,8034,200,28,3,8,1
감따는기구,6520.0,39904.0,6.12,37147.0,676116.0,1,0,3,1,32,2,5,1,2234,55,39,0,1,0
차량용커피포트,3750.0,91389.0,24.37,43214.0,676823.0,0,2,2,0,33,2,5,0,1442,36,39,0,1,0
부케캔들,3860.0,14560.0,3.77,29700.0,676993.0,17,10,1,0,18,5,14,3,10955,273,23,5,11,1
야자수매트,4990.0,24668.0,4.94,40360.0,677166.0,5,3,0,0,34,2,4,0,894,22,36,2,2,0
유소년야구화,1330.0,5355.0,4.03,56760.0,678789.0,9,6,6,0,33,2,5,0,1734,43,36,2,2,0
그로밋키링,20880.0,13052.0,0.63,8535.0,679032.0,10,20,4,2,22,7,10,1,6524,163,8,2,26,4
산소포화도측정기,7730.0,49744.0,6.44,29049.0,679192.0,1,1,7,0,11,5,18,6,25011,625,36,1,3,0
꼬꼬맘,20630.0,1575.0,0.08,37240.0,679217.0,2,5,2,1,33,1,4,2,3826,95,34,2,4,0
테너지05,3080.0,6431.0,2.09,80228.0,680145.0,3,1,2,1,36,2,2,0,1155,28,40,0,0,0
강아지짖음방지,1800.0,47541.0,26.41,18650.0,680592.0,4,4,4,2,25,4,9,2,8912,222,32,4,4,0
메이호7000,1450.0,1206.0,0.83,50370.0,680860.0,3,3,5,2,29,2,7,2,7319,182,39,0,1,0
발리송나이프,5680.0,34944.0,6.15,16711.0,681232.0,2,9,0,1,31,5,3,1,3449,86,26,4,10,0
발목보조기,3230.0,28941.0,8.96,65599.0,681450.0,7,2,0,1,33,4,3,0,1443,36,36,3,1,0
옛날밥상,1600.0,8865.0,5.54,22256.0,681709.0,4,3,7,0,33,0,4,3,11654,291,35,2,2,1
자동확산소화기,9790.0,4460.0,0.46,24889.0,681848.0,7,3,8,2,22,3,11,4,12867,321,33,3,4,0
식당벨,1010.0,56169.0,55.61,39670.0,682039.0,2,3,3,0,27,4,6,3,7776,194,37,1,2,0
매운갈비찜,25000.0,7042.0,0.28,24136.0,682764.0,9,3,6,1,20,3,14,3,11583,289,26,6,8,0
스부,7240.0,10607.0,1.47,43156.0,683042.0,3,1,9,2,36,0,4,0,1470,36,32,3,5,0
클라리넷리드,1700.0,29743.0,17.5,30955.0,683061.0,2,0,5,0,29,4,6,1,4377,109,39,1,0,0
애견미용복,1540.0,6945.0,4.51,20865.0,683089.0,4,0,6,0,37,2,1,0,489,12,32,4,4,0
초등킥보드,1330.0,33601.0,25.26,68011.0,683838.0,3,4,6,0,23,4,10,3,9342,233,30,4,6,0
스파이더맨거미줄,1840.0,7993.0,4.34,35912.0,683840.0,2,3,1,0,37,2,1,0,633,15,38,0,2,0
마테차,7340.0,16146.0,2.2,11577.0,684000.0,0,0,1,0,20,5,14,1,6510,162,40,0,0,0
타코야키팬,1790.0,45587.0,25.47,26591.0,684128.0,0,1,3,0,38,0,2,0,568,14,38,0,2,0
티모시,6300.0,11332.0,1.8,8872.0,684843.0,2,1,5,1,15,10,12,3,10820,270,35,3,2,0
리마인드웨딩촬영,6300.0,13561.0,2.15,84787.0,686516.0,40,0,0,0,24,3,12,1,6271,156,20,3,17,0
건망고,14400.0,16072.0,1.12,14702.0,687013.0,5,7,4,2,17,3,17,3,14342,358,22,4,13,1
콩잎,4940.0,2095.0,0.42,16473.0,687352.0,8,12,5,2,10,7,19,4,21296,532,25,7,7,1
다과상,2760.0,96094.0,34.82,44083.0,687790.0,1,2,2,1,31,4,5,0,3123,78,24,6,10,0
면보루,1080.0,2606.0,2.41,14505.0,688104.0,4,3,6,0,29,1,5,5,8285,207,39,1,0,0
6공펀치,1140.0,4822.0,4.23,18831.0,692478.0,2,3,5,2,29,2,5,4,20264,506,31,2,6,1
루바,6430.0,39536.0,6.15,29753.0,693635.0,8,3,4,0,29,5,5,1,6477,161,29,1,8,2
도징컵,2230.0,21055.0,9.44,20641.0,693666.0,3,2,7,1,23,3,14,0,4184,104,33,3,4,0
플레이도우,9170.0,24134.0,2.63,21476.0,693758.0,0,1,4,2,18,2,18,2,16913,422,34,3,3,0
소일,3890.0,75613.0,19.44,13558.0,696395.0,1,1,6,2,22,7,8,3,7905,197,34,2,4,0
강아지올인원패딩,5610.0,43988.0,7.84,36067.0,697580.0,4,9,8,0,23,3,13,1,5911,147,19,9,10,2
부케말리기,8990.0,8394.0,0.93,23186.0,700470.0,17,12,2,0,12,8,14,6,16067,401,17,2,20,1
짐빔하이볼잔,2010.0,4705.0,2.34,19546.0,701579.0,4,8,6,1,28,3,8,1,4033,100,27,5,8,0
골프힙색,3740.0,45995.0,12.3,32416.0,702038.0,6,7,6,0,29,4,7,0,2318,57,19,10,11,0
스튜디오대여,4920.0,3714.0,0.75,17632.0,702914.0,35,4,1,0,14,7,18,1,9423,235,7,3,29,1
발열팩,4950.0,99253.0,20.05,21999.0,703972.0,4,9,4,0,23,3,14,0,5675,141,26,4,9,1
칵테일지거,1650.0,47238.0,28.63,13229.0,704555.0,2,9,7,0,18,2,17,3,15104,377,23,5,12,0
반스뮬,16210.0,10495.0,0.65,44066.0,704679.0,0,2,7,2,29,3,7,1,3844,96,25,3,11,1
칼하트모자,6460.0,50450.0,7.81,58420.0,705125.0,0,1,8,1,34,3,3,0,1237,30,35,2,3,0
와인칠러,1370.0,36644.0,26.75,38638.0,705489.0,2,7,6,0,26,2,10,2,7513,187,24,3,12,1
살림망,2910.0,43452.0,14.93,17138.0,705888.0,0,0,4,0,23,5,12,0,3211,80,38,2,0,0
소토버너,2970.0,17995.0,6.06,60074.0,706628.0,5,0,8,1,24,4,12,0,4028,100,31,2,7,0
만보기,15460.0,93361.0,6.04,6304.0,707793.0,3,1,3,0,19,6,13,2,12158,303,37,1,2,0
아이브포토카드,7270.0,15131.0,2.08,13136.0,708203.0,6,15,7,1,34,0,4,2,5470,136,22,8,10,0
건조기양모볼,4990.0,9262.0,1.86,8558.0,708364.0,5,7,4,0,26,0,10,4,17357,433,26,4,9,1
쟈뎅아워티,3080.0,12994.0,4.22,15115.0,710010.0,2,1,7,2,22,4,11,3,10469,261,29,7,4,0
팔씨름,2300.0,46069.0,20.03,32910.0,711270.0,3,1,0,0,25,4,6,5,40629,1015,37,2,1,0
아동페이크목폴라,1790.0,6198.0,3.46,6246.0,712394.0,6,8,9,0,18,5,11,6,36744,918,25,5,10,0
남자은반지,1810.0,59859.0,33.07,49254.0,713608.0,9,7,2,0,30,2,8,0,1962,49,30,6,4,0
고기망치,1190.0,43318.0,36.4,8715.0,714988.0,1,0,2,0,33,3,4,0,2143,53,38,1,1,0
싯업,3100.0,87744.0,28.3,36156.0,715261.0,0,2,1,1,21,4,13,2,10259,256,35,3,2,0
저당고추장,4400.0,603.0,0.14,19644.0,716034.0,4,1,9,2,24,2,8,6,12696,317,30,2,8,0
초등시계,1230.0,78141.0,63.53,20228.0,716232.0,7,10,3,1,20,5,10,5,24462,611,18,6,14,2
다마고치,26250.0,30232.0,1.15,52948.0,717104.0,3,3,7,1,33,1,5,1,3209,80,30,4,6,0
미사포,1880.0,12347.0,6.57,26692.0,717216.0,12,0,0,0,31,4,5,0,1908,47,31,3,6,0
미사보,3740.0,12347.0,3.3,27439.0,717216.0,12,0,0,0,31,4,5,0,1866,46,31,3,6,0
이브이히어로즈,2010.0,3325.0,1.65,18256.0,718201.0,14,3,6,2,28,2,9,1,4731,118,35,2,3,0
돌절구,2120.0,30678.0,14.47,39969.0,718286.0,0,1,5,0,34,0,4,2,4617,115,34,2,4,0
귀후비개,3250.0,59821.0,18.41,6390.0,718436.0,2,10,4,0,11,3,20,6,25215,630,28,5,6,1
현관문걸쇠,2540.0,17100.0,6.73,10814.0,718674.0,2,5,9,0,23,4,10,3,14815,370,31,3,4,2
고양이창문해먹,1900.0,49032.0,25.81,21254.0,719300.0,6,8,6,0,20,4,11,5,22572,564,23,2,14,1
감자옹심이,23930.0,6190.0,0.26,13775.0,719388.0,2,5,4,2,18,3,13,6,14726,368,30,6,4,0
파버카스텔색연필,4670.0,98489.0,21.09,21158.0,720780.0,0,1,6,0,28,4,6,2,14108,352,34,3,3,0
소근육발달놀이,2440.0,94339.0,38.66,34963.0,720960.0,1,0,8,1,35,2,2,1,2526,63,35,1,4,0
돋보기안경,15690.0,63920.0,4.07,13206.0,721973.0,6,5,2,0,28,4,7,1,3978,99,30,5,5,0
수제햄,1260.0,29654.0,23.53,44391.0,722139.0,0,5,2,2,28,1,8,3,8505,212,32,1,5,2
초속경몰탈,1980.0,2108.0,1.06,15409.0,722480.0,3,2,9,1,21,4,11,4,12143,303,30,4,6,0
미니헬스가방,1530.0,15740.0,10.29,30538.0,722875.0,2,7,3,1,34,3,3,0,1013,25,34,1,5,0
하바티치즈,5470.0,1302.0,0.24,18906.0,722924.0,1,1,5,1,34,2,4,0,3419,85,36,1,3,0
수능엿,10310.0,11725.0,1.14,18025.0,723586.0,1,7,5,1,21,5,11,3,18282,457,32,3,5,0
은박매트,2450.0,32855.0,13.41,11507.0,725955.0,0,1,3,2,33,2,4,1,2743,68,38,0,2,0
빅토리녹스,9890.0,66519.0,6.73,51604.0,726666.0,1,0,2,0,26,3,10,1,3639,90,37,1,2,0
소가죽미들부츠,1090.0,43243.0,39.67,59423.0,726667.0,6,5,8,0,29,4,6,1,2983,74,24,5,11,0
타코야끼만들기,9230.0,31711.0,3.44,28718.0,726677.0,1,2,1,1,38,0,2,0,1066,26,38,0,2,0
단소,9520.0,30936.0,3.25,6437.0,726825.0,1,3,2,1,23,5,9,3,8551,213,37,3,0,0
꼬꼬노리,1270.0,1252.0,0.99,17444.0,727066.0,0,5,4,0,27,2,6,5,15244,381,35,1,4,0
인조잔디화,1170.0,11975.0,10.24,61280.0,727105.0,4,3,7,0,34,3,3,0,1078,26,37,2,1,0
쌀씻는도구,1260.0,18630.0,14.79,8892.0,727358.0,5,5,6,1,25,4,6,5,10498,262,26,4,9,1
목카라,1490.0,11391.0,7.64,13500.0,729004.0,3,2,0,0,38,0,1,1,3946,98,36,2,1,1
브라이덜샤워소품,7250.0,52713.0,7.27,18544.0,730124.0,15,15,8,0,14,4,17,5,29268,731,7,10,23,0
스타농구공,1130.0,44208.0,39.12,28371.0,732216.0,0,3,5,0,25,3,11,1,6308,157,32,3,5,0
아기소변기,1280.0,10539.0,8.23,25188.0,732310.0,3,3,9,1,23,1,10,6,17233,430,30,2,8,0
레이저포인트,5710.0,42634.0,7.47,22881.0,733848.0,0,1,0,0,9,1,24,6,19579,489,31,6,3,0
2024벽걸이달력,3220.0,88383.0,27.45,8448.0,734577.0,5,11,7,2,25,8,5,2,4576,114,17,10,9,4
똥츄,1110.0,22037.0,19.85,6655.0,734714.0,6,2,1,0,15,5,15,5,20578,514,30,2,8,0
헬렌스타인이불커버,1510.0,4250.0,2.81,97606.0,734933.0,1,0,0,0,25,7,8,0,2774,69,38,2,0,0
법복,3420.0,61926.0,18.11,37244.0,735292.0,3,11,6,0,29,6,4,1,3002,75,22,7,11,0
경광봉,8240.0,57234.0,6.95,6038.0,738539.0,1,1,4,2,27,3,7,3,9528,238,34,2,4,0
나무이젤,1830.0,84917.0,46.4,20711.0,738772.0,1,1,9,0,23,3,11,3,14720,368,30,2,8,0
싱잉볼,12160.0,85789.0,7.06,42659.0,739344.0,5,4,0,0,29,3,7,1,4443,111,31,4,5,0
스텐빨래바구니,2350.0,16621.0,7.07,51363.0,740194.0,4,0,2,0,37,0,1,2,9480,237,31,4,5,0
용접안경,1730.0,79331.0,45.86,14371.0,742500.0,0,0,3,1,28,6,6,0,2247,56,39,1,0,0
전동와인오프너,3340.0,50074.0,14.99,24318.0,744385.0,3,3,4,1,14,3,17,6,21160,529,27,6,6,1
점수판,2100.0,74475.0,35.46,39926.0,744650.0,0,0,0,0,37,1,2,0,814,20,40,0,0,0
레벨기거치대,1280.0,24440.0,19.09,36078.0,746534.0,3,0,8,1,29,5,6,0,1605,40,37,1,2,0
일회용수건,4250.0,37596.0,8.85,11466.0,746630.0,3,3,9,1,16,4,17,3,18917,472,28,4,8,0
청진기,9020.0,71621.0,7.94,68386.0,746666.0,0,1,0,0,34,1,4,1,3256,81,38,1,1,0
앉은뱅이저울,1430.0,9574.0,6.7,32546.0,748592.0,4,2,6,0,32,1,6,1,4062,101,37,3,0,0
깔깔이바,5270.0,60946.0,11.56,7898.0,749300.0,1,1,6,0,20,3,12,5,18725,468,33,3,4,0
캠핑변기,1780.0,98218.0,55.18,23251.0,749316.0,2,6,6,2,13,2,20,5,16835,420,19,8,13,0
포토월,5360.0,52454.0,9.79,67786.0,750591.0,3,1,3,2,35,1,4,0,1113,27,33,3,4,0
도리명가,1040.0,8.0,0.01,29000.0,751583.0,2,0,4,2,5,1,1,1,1917,239,6,0,2,0
빅퍼스5A,1370.0,1670.0,1.22,30386.0,751719.0,6,4,3,2,31,3,4,2,5652,141,36,3,1,0
NBA유니폼,1840.0,27121.0,14.74,29753.0,751756.0,1,4,5,0,37,0,3,0,843,21,36,2,2,0
쑥뜸,6890.0,48387.0,7.02,10158.0,752391.0,2,1,2,0,15,7,15,3,14252,356,34,3,3,0
삼각김밥틀,4210.0,22880.0,5.43,8737.0,752578.0,4,4,8,0,26,8,3,3,8456,211,30,4,5,1
중국보이차,1940.0,41369.0,21.32,30619.0,755213.0,8,0,2,0,31,4,4,1,4261,106,38,0,2,0
레이져포인트,1150.0,42634.0,37.07,22863.0,756040.0,0,1,0,0,9,1,24,6,19579,489,31,6,3,0
라면기,2060.0,78130.0,37.93,11434.0,757263.0,2,2,5,0,18,2,16,4,23033,575,26,4,9,1
거리측정기케이스,8330.0,41699.0,5.01,31269.0,758088.0,3,5,5,1,27,4,8,1,3788,94,36,2,2,0
보청기가격비교,1890.0,44963.0,23.79,26140.0,760059.0,9,2,3,1,20,5,12,3,25732,643,36,2,2,0
보청기가격,12660.0,44963.0,3.55,39674.0,760059.0,9,2,3,1,21,6,10,3,25130,628,36,2,2,0
2024년벽걸이달력,4280.0,34658.0,8.1,8587.0,760219.0,4,8,5,2,27,6,5,2,4349,108,20,8,8,4
웨딩속바지,1340.0,20117.0,15.01,7792.0,761098.0,1,5,5,1,30,2,3,5,19433,485,32,1,6,1
데이지체인,5200.0,75708.0,14.56,12910.0,761321.0,1,4,7,2,9,4,23,4,22849,571,30,4,6,0
얇은핸들커버,1220.0,27516.0,22.55,18892.0,762489.0,7,6,3,2,29,3,5,3,14531,363,36,3,1,0
축구공가방,4020.0,64936.0,16.15,13434.0,762865.0,2,4,4,0,26,3,10,1,5998,149,33,2,5,0
뻐꾸기시계,4200.0,59933.0,14.27,82635.0,764583.0,3,1,2,0,38,0,1,1,2228,55,29,8,2,1
볼풀장,3550.0,54021.0,15.22,44005.0,764961.0,0,2,2,0,22,0,14,4,14022,350,32,3,5,0
쌀집계산기,2740.0,9660.0,3.53,13906.0,766691.0,4,6,0,0,35,2,3,0,1827,45,35,1,4,0
미니붕어빵틀,1660.0,12298.0,7.41,69775.0,766708.0,2,0,4,1,38,0,2,0,1207,30,38,0,2,0
강아지거품기,1310.0,3046.0,2.33,32910.0,769766.0,16,4,3,2,36,2,2,0,790,19,33,1,6,0
정새우,7660.0,3381.0,0.44,12610.0,770301.0,0,1,6,1,30,4,5,1,6023,150,33,2,5,0
순창고추장,5650.0,55779.0,9.87,14999.0,771539.0,3,2,5,0,14,2,19,5,22376,559,30,5,5,0
킥보드가방,1470.0,101687.0,69.17,20364.0,771556.0,2,2,1,2,28,4,8,0,3850,96,33,4,3,0
귀여운계산기,2690.0,39440.0,14.66,18397.0,772945.0,7,10,5,1,27,2,9,2,9556,238,24,2,13,1
국내기차여행,16190.0,5760.0,0.36,94266.0,774831.0,16,20,2,2,27,3,10,0,3442,86,16,3,19,2
해루질조과통,1610.0,11094.0,6.89,45391.0,775607.0,9,2,4,1,33,2,5,0,1262,31,37,2,1,0
골프프라이드그립,7100.0,43049.0,6.06,12938.0,775712.0,0,1,5,1,23,7,6,4,16821,420,34,3,3,0
정수기다이,2300.0,37038.0,16.1,62464.0,776179.0,4,3,5,0,23,3,12,2,7721,193,21,9,9,1
아레나수모,4240.0,75385.0,17.78,15108.0,778925.0,3,0,4,1,22,3,12,3,10897,272,25,4,11,0
자세변환용구,1270.0,12607.0,9.93,39077.0,779336.0,1,3,5,0,30,4,5,1,3248,81,35,2,3,0
부케말리기선물,18920.0,5737.0,0.3,29122.0,779614.0,21,8,1,0,21,4,12,3,10414,260,24,3,12,1
수부슬리퍼,7780.0,4560.0,0.59,46101.0,779895.0,9,2,8,1,36,0,4,0,1259,31,33,2,5,0
수부,11990.0,7784.0,0.65,51434.0,779895.0,6,1,7,1,36,0,4,0,1258,31,33,2,5,0
퓨전한복,2480.0,46612.0,18.8,71371.0,780371.0,2,5,9,0,35,4,1,0,1153,28,20,3,16,1
배달조끼,2580.0,74353.0,28.82,23132.0,781602.0,5,8,8,2,23,3,10,4,10292,257,29,3,8,0
바다낚시조끼,1220.0,95725.0,78.46,64971.0,783827.0,3,3,6,0,30,4,5,1,2332,58,35,2,3,0
성장동영상제작,1670.0,147.0,0.09,43638.0,783954.0,30,7,2,1,25,6,7,2,12253,306,24,4,11,1
골프거리측정기케이스,1070.0,40492.0,37.84,31093.0,784863.0,3,3,5,0,25,6,8,1,3921,98,36,2,2,0
이케바나화병,3150.0,18909.0,6.0,38425.0,785143.0,4,5,9,1,22,3,12,3,11039,275,19,2,14,5
짐바브웨100조달러,1540.0,201.0,0.13,18536.0,785206.0,15,8,1,1,39,1,0,0,196,4,39,1,0,0
교세라세라믹칼,4260.0,13032.0,3.06,49585.0,785667.0,4,6,2,0,30,3,6,1,4601,115,35,1,4,0
전자호각,1310.0,58537.0,44.68,20669.0,785788.0,0,2,6,1,15,11,12,2,9403,235,35,3,2,0
여아캐노피,1230.0,12604.0,10.25,63141.0,786788.0,2,2,2,0,35,1,2,2,6024,150,35,2,2,1
이미스호보백,11450.0,1839.0,0.16,43885.0,786907.0,7,4,9,2,34,2,4,0,1618,40,28,3,6,3
치즈플래터,5370.0,9506.0,1.77,28126.0,788841.0,12,12,7,0,20,5,12,3,9578,239,20,6,11,3
남자수분크림,3430.0,20474.0,5.97,39010.0,789869.0,3,7,8,1,13,7,14,6,19658,491,36,1,3,0
잔디엣지,1660.0,27900.0,16.81,29315.0,790121.0,2,0,4,1,31,0,8,1,4704,117,35,3,2,0
키즈플리스자켓,1860.0,82463.0,44.33,45648.0,790593.0,1,1,5,1,31,3,6,0,2190,54,20,14,6,0
의사가운,5960.0,36055.0,6.05,31129.0,792932.0,4,8,7,0,9,6,22,3,11776,294,32,2,6,0
캐리어잠금장치,2010.0,37990.0,18.9,6451.0,793139.0,0,3,4,0,28,4,5,3,25415,635,34,2,4,0
강아지풉백,1210.0,33344.0,27.56,8318.0,793530.0,6,5,5,1,10,2,23,5,28203,705,28,2,10,0
피스복,5130.0,11678.0,2.28,23921.0,794272.0,1,2,3,0,28,6,5,1,4640,116,37,1,2,0
목발,10020.0,95039.0,9.48,21580.0,794433.0,2,2,1,2,30,2,6,2,5081,127,36,4,0,0
또봇트라이탄,15220.0,759.0,0.05,60901.0,796387.0,5,4,9,2,38,1,1,0,433,10,36,0,4,0
밀크츄,8330.0,2886.0,0.35,14718.0,797264.0,1,5,7,1,22,5,11,2,8141,203,30,4,6,0
엉뽕팬티,2380.0,79185.0,33.27,11339.0,798065.0,0,7,7,0,23,6,8,3,11297,282,30,5,5,0
여성골프힙색,1610.0,18992.0,11.8,29644.0,798696.0,6,7,6,0,31,4,5,0,2574,64,23,11,6,0
신한마카,1110.0,53556.0,48.25,54104.0,798750.0,0,3,2,1,37,2,1,0,732,18,39,0,1,0
초례청약과,2340.0,2515.0,1.07,12609.0,799025.0,7,12,0,2,18,3,15,4,26791,669,26,5,7,2
