relative_keyword,total_search,total_store_count,competitive_rate,avg_price,avg_sale,grade_norm,grade_power,grade_bigpower,grade_premium,review_10,review_50,review_100,review_1000,total_review,avg_review,zzim_10,zzim_50,zzim_100,zzim_1000
중량벨트,2180.0,27066.0,12.42,28606.0,556935.0,2,3,3,0,27,2,10,1,7871,196,37,2,1,0
TTC우레탄완충기,1340.0,7639.0,5.7,74279.0,557625.0,14,25,0,1,37,0,3,0,1211,30,36,2,1,1
보쉬열풍기,1360.0,9652.0,7.1,70062.0,557701.0,0,0,6,2,32,4,4,0,1451,36,40,0,0,0
이젤패드,1920.0,16193.0,8.43,42983.0,558411.0,0,0,5,0,34,2,4,0,1447,36,39,1,0,0
경량안전모,3480.0,48789.0,14.02,17883.0,559916.0,0,0,2,1,32,4,3,1,2133,53,38,1,1,0
한샘식기건조대,6260.0,3856.0,0.62,74192.0,560411.0,1,1,5,0,15,8,13,4,12674,316,24,5,10,1
닥스머플러,19860.0,42895.0,2.16,93845.0,560590.0,8,0,5,0,32,3,5,0,1345,33,25,4,11,0
레이저퍼터,2470.0,6563.0,2.66,39896.0,560711.0,2,0,3,1,38,0,2,0,379,9,39,0,1,0
깨갈이,4730.0,79345.0,16.77,7600.0,562683.0,2,2,6,2,19,5,12,4,18960,474,26,2,11,1
언더아머더플백,4660.0,14512.0,3.11,48660.0,562821.0,2,0,7,0,37,0,3,0,898,22,34,3,3,0
갤럭시S23울트라대여,2800.0,36.0,0.01,19896.0,562948.0,19,10,6,1,25,6,5,0,2326,64,8,10,17,0
자석소마큐브,1440.0,4779.0,3.32,20358.0,563575.0,0,2,2,0,29,2,9,0,3146,78,36,2,2,0
드럼연습패드,1270.0,55125.0,43.41,37137.0,563596.0,0,2,4,1,33,2,3,2,6332,158,36,1,3,0
공업용계산기,1370.0,11283.0,8.24,31430.0,563933.0,3,3,2,1,37,2,1,0,408,10,39,1,0,0
핸즈프리리드줄,1310.0,21338.0,16.29,22960.0,564328.0,5,8,7,0,18,2,14,6,18533,463,27,1,12,0
과일자르기장난감,1630.0,7201.0,4.42,27324.0,564534.0,2,4,8,2,27,3,7,3,23587,589,30,3,7,0
바다낚시구명조끼,1290.0,81342.0,63.06,96020.0,564732.0,4,4,6,1,30,4,6,0,1507,37,37,1,2,0
냄비뚜껑거치대,2250.0,84316.0,37.47,7724.0,564867.0,1,4,8,0,18,2,17,3,13418,335,25,4,10,1
메팔푸르트팟,4540.0,1599.0,0.35,56965.0,564901.0,1,4,4,1,37,0,3,0,764,19,36,0,4,0
