cid,title,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
50000023,건강식품,오메가3,글루타치온,유산균,오쏘몰이뮨,밀크씨슬,비타민c,콘드로이친,양배추즙,도라지배즙,홍삼,마그네슘,루테인,고려은단비타민c1000,종합비타민,흑염소진액,카무트효소,콘드로이친1200,정관장에브리타임,프로폴리스,멀티비타민
50000024,다이어트식품,아르기닌,콜라겐,단백질보충제,락토페린,하이뮨,하이뮨프로틴밸런스,산양유단백질,차전자피,에버콜라겐,단백질쉐이크,시서스,곤약젤리,모로실,곤약밥,단백질음료,단백질바,저분자콜라겐,프로틴,잔티젠,셀렉스
50000026,냉동/간편조리식품,햇반,다이어트도시락,비비고왕교자,누룽지,전투식량,샐러드,사과떡볶이,컵밥,만두,갈비탕,비비고만두,고래사어묵,비비고사골곰탕,떡볶이,어묵,도시락,고메소바바치킨,냉동도시락,곰탕,삼진어묵
50000027,등산,경량패딩,등산화,핫팩,노스페이스패딩,후리스,디스커버리패딩,k2패딩,디스커버리경량패딩,트레킹화,k2씬에어,롱패딩,내셔널지오그래픽,노스페이스후리스,패딩,등산가방,스노우피크,플리스자켓,바람막이,코오롱패딩,노스페이스눕시
50000028,캠핑,에어텐트,침낭,캠핑의자,캠핑테이블,원터치텐트,텐트,파워뱅크,화로대,캠핑용품,에어매트,igt테이블,차박텐트,가스버너,캠핑카,쿠디에어텐트,캠핑버너,구이바다,쉘터,발리송,야전침대
50000029,골프,골프웨어,골프화,골프공,여성골프웨어,골프장갑,와이드앵글,골프백,남성골프화,여성골프화,골프모자,아이언커버,골프스타킹,골프바지,아디다스골프화,남성골프웨어,지포어골프화,골프보스턴백,캐디백,남성골프바지,골프파우치
50000030,헬스,실내자전거,폼롤러,ab슬라이드,스텝퍼,덤벨,헬스장갑,런닝머신,줄넘기,치닝디핑,철봉,악력기,문틀철봉,아령,로잉머신,무게조절덤벨,푸쉬업바,스피닝자전거,천국의계단운동기구,자이로볼,훌라후프
50000031,요가/필라테스,요가매트,요가복,필라테스양말,안다르,필라테스복,요가양말,뮬라웨어,필라테스상의,스파인코렉터,요가바지,필라테스기구,젝시믹스,요가링,운동매트,요가복상의,소함소함,bunjie,stl,토삭스,하렘팬츠
50000033,인라인스케이트,인라인스케이트,인라인가방,인라인,k2인라인스케이트,성인인라인스케이트,인라인바퀴,k2인라인,인라인스케이트성인용,아동인라인스케이트,롤러블레이드,롤러브레이드,어린이인라인스케이트,휠러스인라인,인라인스케이트가방,성인용인라인스케이트,유아롤러스케이트,롤러스케이트,어린이롤러스케이트,롤러블레이드인라인,유아인라인스케이트
50000034,스케이트/보드/롤러,전동킥보드,킥보드,롤러스케이트,스케이트보드,롱보드,힐리스,핑거보드,문워커스,두발킥보드,전동스케이트보드,성인킥보드,힐리스운동화,퀵보드,휠리스,나인봇,전동보드,롤러슈즈,전기킥보드,바퀴달린신발,데카트론킥보드
