relative_keyword,total_search,total_store_count,competitive_rate,avg_price
랜턴,20210.0,5031678.0,248.97,50508
봉,8280.0,5036038.0,608.22,6647
PC케이스,4810.0,5055261.0,1050.99,173595
공예,8400.0,5069606.0,603.52,7454
젤,7420.0,5071220.0,683.45,27606
학습,5810.0,5083425.0,874.94,63084
정,31030.0,5088275.0,163.98,32061
이어폰,72800.0,5096794.0,70.01,68907
모니터,94600.0,5124641.0,54.17,336484
카트,45570.0,5204908.0,114.22,69227
패널,11710.0,5254452.0,448.71,38577
오디오,10940.0,5266584.0,481.41,866885
쿨러,10820.0,5282343.0,488.2,60783
우산,84000.0,5288734.0,62.96,13003
스킨케어,6340.0,5304548.0,836.68,29700
선글라스,77000.0,5313053.0,69.0,162102
주방수납용품,130.0,5346237.0,41124.9,19642
요가,60370.0,5366571.0,88.89,23807
취사용품,30.0,5412406.0,180413.53,20156
위생,3940.0,5441905.0,1381.19,5831
냉장고,253500.0,5445134.0,21.48,1592986
그립,69700.0,5454978.0,78.26,15841
태블릿PC,40670.0,5478267.0,134.7,480899
자연,13560.0,5516140.0,406.79,29769
텐트,82900.0,5566270.0,67.14,542929
화분,74300.0,5602254.0,75.4,10323
타월,8350.0,5606948.0,671.49,13823
바구니,14500.0,5612782.0,387.09,7475
부자재,6400.0,5620188.0,878.15,2765
토너,19830.0,5625266.0,283.67,23730
가방소품,100.0,5640207.0,56402.07,13630
에어공구,910.0,5665070.0,6225.35,121301
어린이세트,90.0,5682536.0,63139.29,41374
수납장,80300.0,5688983.0,70.85,112610
커튼,91800.0,5714113.0,62.25,32967
커피용품,3530.0,5725179.0,1621.86,39899
호스,14170.0,5726279.0,404.11,20781
낚시용품,15680.0,5729273.0,365.39,53888
조명용품,30.0,5741830.0,191394.33,83002
TV,85300.0,5778818.0,67.75,998377
슬립,26750.0,5781277.0,216.12,22170
데스크용품,650.0,5804801.0,8930.46,19556
크리스탈,47710.0,5855076.0,122.72,62054
잔,5500.0,5913968.0,1075.27,19781
페인트,52020.0,5954139.0,114.46,23537
자전거부품,3780.0,5987695.0,1584.05,27243
수영용품,4640.0,6061588.0,1306.38,42988
