relative_keyword,total_search,total_store_count,competitive_rate,avg_price,avg_sale
카팩,2040.0,81183.0,39.8,27819,4367054.0
물엿,7940.0,81388.0,10.25,12399,4794678.0
네일영양제,2320.0,81427.0,35.1,20088,8578237.0
카놀라유,27400.0,81561.0,2.98,9333,5662298.0
전자책,30400.0,81954.0,2.7,166975,565176.0
파마약,5450.0,81967.0,15.04,7830,3373868.0
제빵믹스,80.0,82132.0,1026.65,11739,4459182.0
속싸개,15350.0,82939.0,5.4,28197,6227983.0
핫소스,9590.0,83289.0,8.68,8504,5225997.0
무선모뎀,170.0,83333.0,490.19,71556,1021985.0
탁구대,7110.0,83739.0,11.78,417539,459942.0
보존화,250.0,83903.0,335.61,15705,876821.0
사회,11590.0,84845.0,7.32,12542,136370.0
액젓,4970.0,85142.0,17.13,13669,4346754.0
클렌징티슈,11420.0,85288.0,7.47,9080,779729.0
립라이너,4810.0,86436.0,17.97,10638,10655327.0
볼링공,19990.0,87029.0,4.35,206203,162985.0
수면팩,3720.0,87457.0,23.51,19922,746027.0
회계,20850.0,87634.0,4.2,22544,253611.0
눈썹정리기,25410.0,87718.0,3.45,22494,2374352.0
경제,26700.0,87731.0,3.29,13136,178031.0
혈압계,28690.0,88629.0,3.09,58387,1680994.0
업소용빙수기,90.0,88855.0,987.28,208927,16455862.0
스코어보드,1270.0,89277.0,70.3,26516,491858.0
농구공가방,2800.0,89652.0,32.02,11946,481153.0
만보계,1120.0,89882.0,80.25,7251,167454.0
USIM,2610.0,90658.0,34.73,3775,1118906.0
핑거보드,4670.0,90734.0,19.43,16775,7867671.0
배드민턴네트,4180.0,91039.0,21.78,32998,46632.0
로잉머신,37340.0,91504.0,2.45,260040,459824.0
영양보충식,70.0,92488.0,1321.26,28653,428273.0
깍두기,25560.0,93067.0,3.64,16522,1072396.0
천문,8850.0,94242.0,10.65,270363,332701.0
조경수,7120.0,94315.0,13.25,19718,509034.0
장기렌터카,4260.0,94926.0,22.28,384124,249524.0
노트북도난방지,400.0,96553.0,241.38,10942,3945071.0
여성청결제,31440.0,98072.0,3.12,19336,1398054.0
족욕,8500.0,98117.0,11.54,12990,32167520.0
유아소파,2210.0,99020.0,44.81,84794,411779.0
빨래판,2790.0,99806.0,35.77,4874,207185.0
딸기잼,11990.0,99911.0,8.33,11982,543207.0
생선그릴,2740.0,100041.0,36.51,121046,151505.0
대나무발,4170.0,101509.0,24.34,26964,5166.0
유아책상,11540.0,101661.0,8.81,102442,1370743.0
스포츠만화,400.0,101818.0,254.54,25262,8278760.0
선스틱,9220.0,102499.0,11.12,11296,2764621.0
넥케이프,1710.0,103179.0,60.34,8898,5892094.0
안마매트,6600.0,103476.0,15.68,229801,707570.0
돌잔치용품,240.0,103635.0,431.81,13467,1565000.0
슬리핑백,3630.0,104185.0,28.7,45598,8297603.0
다이어트차,7530.0,104473.0,13.87,19738,12139223.0
로스트볼,53220.0,104662.0,1.97,13390,2988682.0
모기밴드,3820.0,104666.0,27.4,5973,657515.0
수면조끼,12220.0,104893.0,8.58,19991,2428725.0
환자식,2470.0,104911.0,42.47,27066,5884712.0
필라테스링,3830.0,104927.0,27.4,6370,3304741.0
탁구화,12100.0,105912.0,8.75,85361,507185.0
수련화,380.0,106311.0,279.77,70330,3412517.0
저주파안마기,930.0,106530.0,114.55,38339,5000138.0
마사지크림,4130.0,107293.0,25.98,12529,97324.0
조림,2870.0,107322.0,37.39,10367,896007.0
유아변기,6270.0,107422.0,17.13,21943,319363.0
들기름,30970.0,107955.0,3.49,18665,2561610.0
업소용튀김기,4940.0,108223.0,21.91,525313,163813.0
두피케어기기,100.0,108585.0,1085.85,70882,1798540.0
요구르트제조기,3730.0,109549.0,29.37,31605,2029393.0
클렌징워터,16740.0,109602.0,6.55,13933,225338.0
카세트플레이어,7350.0,109652.0,14.92,66596,956783.0
ODD,23820.0,110385.0,4.63,29511,1818571.0
핸드드라이어,3300.0,110431.0,33.46,394476,431761.0
기타인형,60.0,110976.0,1849.6,19798,3104416.0
볼캐리어,150.0,111279.0,741.86,104723,366666.0
매직기,10460.0,111413.0,10.65,42542,642750.0
유아과자,940.0,112081.0,119.24,10551,1282185.0
이민,10880.0,112465.0,10.34,25509,2741387.0
연습용젓가락,250.0,113009.0,452.04,5679,1833146.0
쉐이빙폼,8990.0,115172.0,12.81,7928,15715656.0
KVM케이블,190.0,115489.0,607.84,29085,1378216.0
생크림,22110.0,115628.0,5.23,6947,1396967.0
이온수기,1660.0,115688.0,69.69,64298,1943045.0
국악기,2410.0,116153.0,48.2,59346,144255.0
구강청정제,260.0,116573.0,448.36,9891,169320.0
온수매트,43940.0,116965.0,2.66,181305,5332444.0
골드바,54720.0,117291.0,2.14,1247262,1397094.0
테이핑요법,350.0,117569.0,335.91,4886,5845077.0
네트워크테스트기,50.0,118103.0,2362.06,36047,308303.0
강정,8890.0,118943.0,13.38,11190,2290777.0
구둣주걱,350.0,119602.0,341.72,6584,444444.0
업소용진공포장기,4280.0,120400.0,28.13,1034880,1142779.0
자급제폰,77800.0,121211.0,1.56,1047873,1964921.0
파크골프,56280.0,121265.0,2.15,647849,2276903.0
보컬,3850.0,121432.0,31.54,120059,1147325.0
도복,4510.0,121824.0,27.01,118093,8392205.0
헤어미스트,12390.0,122731.0,9.91,38145,1277062.0
고슴도치용품,260.0,125771.0,483.73,27808,16929.0
매직블럭,14070.0,126437.0,8.99,4869,1017822.0
젖병솔,5940.0,126616.0,21.32,7027,37111.0
렌즈세척기,7130.0,126722.0,17.77,25434,6522428.0
야구화,7680.0,127057.0,16.54,56417,3263876.0
배구화,11900.0,127990.0,10.76,76945,5992361.0
핫플레이트,7860.0,129152.0,16.43,32828,1646472.0
냉온풍기,7470.0,129186.0,17.29,935220,1842956.0
콤비블라인드,8140.0,129229.0,15.88,15004,4632102.0
한자,142000.0,129295.0,0.91,2680,45833.0
훌라후프,19530.0,130259.0,6.67,17542,507612.0
요가링,15610.0,131104.0,8.4,5136,7029880.0
아이스스케이트,1560.0,131336.0,84.19,106768,63333.0
재활운동기구,770.0,131937.0,171.35,122848,100807.0
메이크업베이스,10890.0,132601.0,12.18,23590,2431910.0
네일리무버,1640.0,132954.0,81.07,5074,1538928.0
장아찌,10120.0,133176.0,13.16,16626,491591.0
볼링용품,4500.0,133479.0,29.66,6071,7648570.0
포대기,12420.0,133738.0,10.77,39277,672738.0
공기계,16230.0,134640.0,8.3,159697,302065.0
올리고당,15180.0,135459.0,8.92,7906,7082689.0
야구공,11650.0,135797.0,11.66,6886,446190.0
바디파우더,480.0,136266.0,283.89,45916,1699500.0
부부테이블,860.0,136442.0,158.65,159642,2325551.0
고가구,4100.0,136787.0,33.36,248608,1038403.0
컵보드,430.0,136965.0,318.52,91341,4241.0
건강슬리퍼,630.0,137023.0,217.5,10208,1970183.0
미러리스디카,340.0,137368.0,404.02,1564671,858397.0
암워머,1390.0,137619.0,99.01,3338,115495.0
일본어,87700.0,137658.0,1.57,5193,910010.0
보행차,980.0,137777.0,140.59,111485,3295751.0
유아바스,340.0,137879.0,405.53,15431,4764109.0
제빵기,8990.0,138225.0,15.38,124197,14457.0
지구본,23950.0,139168.0,5.81,51404,2107664.0
녹즙기,5590.0,139636.0,24.98,205868,6708914.0
낫토,6510.0,139636.0,21.45,21653,1604166.0
KVM스위치,5180.0,140202.0,27.07,77513,718150.0
실버카,4720.0,140742.0,29.82,138443,726294.0
팔보호대,2810.0,140763.0,50.09,12742,933327.0
PMP,6970.0,140908.0,20.22,145506,201424.0
스노보드장비,50.0,141251.0,2825.02,537748,363166.0
배구공,11320.0,141253.0,12.48,32295,356271.0
가스레인지후드,2510.0,141254.0,56.28,167880,9109455.0
마케팅,36500.0,143028.0,3.92,258244,11804870.0
가르시니아,33940.0,145272.0,4.28,17509,3014229.0
속통,80.0,145471.0,1818.39,13701,652564.0
오리고기,41470.0,145832.0,3.52,16737,453931.0
장례용품,810.0,146439.0,180.79,52457,32318070.0
고춧가루,64620.0,147495.0,2.28,22018,1441666.0
태닝,13830.0,148440.0,10.73,57817,1813263.0
스패츠,4580.0,148698.0,32.47,15803,56545.0
방석솜,1170.0,148973.0,127.33,5652,1415870.0
지압기,1450.0,150042.0,103.48,9480,4139058.0
파스타소스,6730.0,150491.0,22.36,7737,2834245.0
케첩,3250.0,150541.0,46.32,4046,1515838.0
아동화장품,80.0,150553.0,1881.91,39502,640090.0
전설,5100.0,150819.0,29.57,38918,1865662.0
탁구의류,340.0,150881.0,443.77,38189,504410.0
영상촬영,1100.0,151193.0,137.45,81688,157751.0
안경줄,8290.0,151819.0,18.31,4840,5233640.0
