relative_keyword,total_search,total_store_count,competitive_rate,avg_price,avg_sale
클렌징티슈,11420.0,85288.0,7.47,9080,822059
립라이너,4810.0,86436.0,17.97,10638,127512
볼링공,19990.0,87029.0,4.35,206203,859635
수면팩,3720.0,87457.0,23.51,19922,3388303
눈썹정리기,25410.0,87718.0,3.45,22494,5390913
수의,7810.0,87873.0,11.25,32214,1913878
혈압계,28690.0,88629.0,3.09,58387,6695613
업소용빙수기,90.0,88855.0,987.28,208927,1604166
스코어보드,1270.0,89277.0,70.3,26516,723450
농구공가방,2800.0,89652.0,32.02,11946,539127
만보계,1120.0,89882.0,80.25,7251,818566
USIM,2610.0,90658.0,34.73,3775,192790
핑거보드,4670.0,90734.0,19.43,16775,358544
배드민턴네트,4180.0,91039.0,21.78,32998,368999
로잉머신,37340.0,91504.0,2.45,260040,10042294
영양보충식,70.0,92488.0,1321.26,28653,16193931
깍두기,25560.0,93067.0,3.64,16522,3231218
천문,8850.0,94242.0,10.65,270363,4867850
조경수,7120.0,94315.0,13.25,19718,522219
유아로션,3160.0,94590.0,29.93,18796,32343167
장기렌터카,4260.0,94926.0,22.28,384124,1461111
쏘서,13050.0,96515.0,7.4,126073,1899222
노트북도난방지,400.0,96553.0,241.38,10942,50448
커피시럽,5230.0,97083.0,18.56,11020,1114966
여성청결제,31440.0,98072.0,3.12,19336,3651261
족욕,8500.0,98117.0,11.54,12990,2901564
유아소파,2210.0,99020.0,44.81,84794,1892609
딸기잼,11990.0,99911.0,8.33,11982,1584323
생선그릴,2740.0,100041.0,36.51,121046,506646
취업,21040.0,100589.0,4.78,14990,178490
방수요,6590.0,100735.0,15.29,19008,5113562
대나무발,4170.0,101509.0,24.34,26964,341407
유아책상,11540.0,101661.0,8.81,102442,2328414
선스틱,9220.0,102499.0,11.12,11296,14955231
넥케이프,1710.0,103179.0,60.34,8898,402917
안마매트,6600.0,103476.0,15.68,229801,14085500
돌잔치용품,240.0,103635.0,431.81,13467,154246
슬리핑백,3630.0,104185.0,28.7,45598,510709
다이어트차,7530.0,104473.0,13.87,19738,1202006
로스트볼,53220.0,104662.0,1.97,13390,1231414
모기밴드,3820.0,104666.0,27.4,5973,3943474
수면조끼,12220.0,104893.0,8.58,19991,3071100
환자식,2470.0,104911.0,42.47,27066,17410454
필라테스링,3830.0,104927.0,27.4,6370,831006
탁구화,12100.0,105912.0,8.75,85361,7485777
수련화,380.0,106311.0,279.77,70330,2212812
저주파안마기,930.0,106530.0,114.55,38339,2067164
마사지크림,4130.0,107293.0,25.98,12529,602779
조림,2870.0,107322.0,37.39,10367,685723
유아변기,6270.0,107422.0,17.13,21943,3070507
들기름,30970.0,107955.0,3.49,18665,2451906
업소용튀김기,4940.0,108223.0,21.91,525313,1885216
두피케어기기,100.0,108585.0,1085.85,70882,1467280
요구르트제조기,3730.0,109549.0,29.37,31605,1702079
클렌징워터,16740.0,109602.0,6.55,13933,1427165
카세트플레이어,7350.0,109652.0,14.92,66596,332996
ODD,23820.0,110385.0,4.63,29511,798808
핸드드라이어,3300.0,110431.0,33.46,394476,1145807
기타인형,60.0,110976.0,1849.6,19798,2793625
매직기,10460.0,111413.0,10.65,42542,5190152
유아과자,940.0,112081.0,119.24,10551,6351150
이민,10880.0,112465.0,10.34,25509,4777041
디딤대,1380.0,112577.0,81.58,21796,1557471
연습용젓가락,250.0,113009.0,452.04,5679,871163
포스터컬러,150.0,113458.0,756.39,10407,108166
쉐이빙폼,8990.0,115172.0,12.81,7928,1340904
KVM케이블,190.0,115489.0,607.84,29085,15287
생크림,22110.0,115628.0,5.23,6947,952397
이온수기,1660.0,115688.0,69.69,64298,27720
국악기,2410.0,116153.0,48.2,59346,997520
구강청정제,260.0,116573.0,448.36,9891,5986547
온수매트,43940.0,116965.0,2.66,181305,8874850
골드바,54720.0,117291.0,2.14,1247262,7761863
테이핑요법,350.0,117569.0,335.91,4886,1162209
네트워크테스트기,50.0,118103.0,2362.06,36047,244620
강정,8890.0,118943.0,13.38,11190,1278049
워시오프팩,3250.0,119446.0,36.75,21670,2510329
구둣주걱,350.0,119602.0,341.72,6584,430539
업소용진공포장기,4280.0,120400.0,28.13,1034880,1162923
자급제폰,77800.0,121211.0,1.56,1047873,44011583
파크골프,56280.0,121265.0,2.15,647849,12779166
보컬,3850.0,121432.0,31.54,120059,158411
아이스크림제조기,540.0,121718.0,225.4,358531,1951957
도복,4510.0,121824.0,27.01,118093,1930483
헤어미스트,12390.0,122731.0,9.91,38145,1537254
절임류,220.0,123349.0,560.68,8049,1857177
고슴도치용품,260.0,125771.0,483.73,27808,1452116
매직블럭,14070.0,126437.0,8.99,4869,2172682
젖병솔,5940.0,126616.0,21.32,7027,2643048
렌즈세척기,7130.0,126722.0,17.77,25434,2855572
야구화,7680.0,127057.0,16.54,56417,875495
배구화,11900.0,127990.0,10.76,76945,4036237
핫플레이트,7860.0,129152.0,16.43,32828,84871
냉온풍기,7470.0,129186.0,17.29,935220,6479333
콤비블라인드,8140.0,129229.0,15.88,15004,726259
한자,142000.0,129295.0,0.91,2680,400800
훌라후프,19530.0,130259.0,6.67,17542,1108360
요가링,15610.0,131104.0,8.4,5136,842853
아이스스케이트,1560.0,131336.0,84.19,106768,1489960
재활운동기구,770.0,131937.0,171.35,122848,3908588
메이크업베이스,10890.0,132601.0,12.18,23590,1627323
네일리무버,1640.0,132954.0,81.07,5074,376775
장아찌,10120.0,133176.0,13.16,16626,4280354
볼링용품,4500.0,133479.0,29.66,6071,365320
포대기,12420.0,133738.0,10.77,39277,1810785
공기계,16230.0,134640.0,8.3,159697,4594621
올리고당,15180.0,135459.0,8.92,7906,2393707
야구공,11650.0,135797.0,11.66,6886,485562
바디파우더,480.0,136266.0,283.89,45916,111849
부부테이블,860.0,136442.0,158.65,159642,593750
고가구,4100.0,136787.0,33.36,248608,145000
컵보드,430.0,136965.0,318.52,91341,560000
건강슬리퍼,630.0,137023.0,217.5,10208,2496907
미러리스디카,340.0,137368.0,404.02,1564671,2247944
암워머,1390.0,137619.0,99.01,3338,416440
일본어,87700.0,137658.0,1.57,5193,231425
보행차,980.0,137777.0,140.59,111485,4608400
어깨보호대,11440.0,137784.0,12.04,11107,1467920
유아바스,340.0,137879.0,405.53,15431,9563061
제빵기,8990.0,138225.0,15.38,124197,1076080
지구본,23950.0,139168.0,5.81,51404,762560
녹즙기,5590.0,139636.0,24.98,205868,794540
낫토,6510.0,139636.0,21.45,21653,2125017
KVM스위치,5180.0,140202.0,27.07,77513,338288
실버카,4720.0,140742.0,29.82,138443,6128342
팔보호대,2810.0,140763.0,50.09,12742,1239388
PMP,6970.0,140908.0,20.22,145506,10833
스노보드장비,50.0,141251.0,2825.02,537748,1310485
배구공,11320.0,141253.0,12.48,32295,1905000
가스레인지후드,2510.0,141254.0,56.28,167880,4900389
마케팅,36500.0,143028.0,3.92,258244,710801
가르시니아,33940.0,145272.0,4.28,17509,5337739
속통,80.0,145471.0,1818.39,13701,4396162
오리고기,41470.0,145832.0,3.52,16737,1156351
장례용품,810.0,146439.0,180.79,52457,826982
고춧가루,64620.0,147495.0,2.28,22018,5342610
태닝,13830.0,148440.0,10.73,57817,1124721
스패츠,4580.0,148698.0,32.47,15803,499877
지압기,1450.0,150042.0,103.48,9480,5905319
파스타소스,6730.0,150491.0,22.36,7737,1461753
케첩,3250.0,150541.0,46.32,4046,667957
아동화장품,80.0,150553.0,1881.91,39502,371054
전설,5100.0,150819.0,29.57,38918,612302
탁구의류,340.0,150881.0,443.77,38189,595292
영상촬영,1100.0,151193.0,137.45,81688,1430735
안경줄,8290.0,151819.0,18.31,4840,789926
모니터브라켓,1820.0,152145.0,83.6,26455,171372
NAS,14080.0,153016.0,10.87,625847,11226038
발가락교정기,15640.0,153910.0,9.84,14670,4645184
슈트케이스,2880.0,154401.0,53.61,46590,356470
클렌징세트,50.0,154923.0,3098.46,37804,948017
낮잠이불,18130.0,157498.0,8.69,72165,6317745
탁구공,8300.0,158291.0,19.07,6427,132297
머리보호대,1270.0,159433.0,125.54,18577,721863
패밀리룩,12230.0,159680.0,13.06,24437,1115425
곤약,21870.0,161492.0,7.38,13436,4745494
뜸,5650.0,161829.0,28.64,14470,818916
한복소품,1340.0,162407.0,121.2,11681,296980
아이돌굿즈,1980.0,162817.0,82.23,14818,1150374
회전청소기,110.0,162850.0,1480.45,21586,2193562
다림판,1270.0,163184.0,128.49,26450,2421241
클렌징크림,5620.0,163638.0,29.12,15167,607304
세탁볼,2680.0,164845.0,61.51,4426,1101168
학습보드게임,80.0,165251.0,2065.64,19782,105283
코너장,7900.0,165538.0,20.95,87231,369500
조리기,190.0,165574.0,871.44,36486,4352131
E쿠폰,1050.0,166041.0,158.13,18297,7805341
목보호대,6930.0,166527.0,24.03,24238,7353029
포기김치,8970.0,166791.0,18.59,33823,26438398
선풍기커버,10900.0,169799.0,15.58,3894,1312800
액티비티,16920.0,170261.0,10.06,21029,600350
보풀제거기,15320.0,170407.0,11.12,26408,3318354
유아목욕장난감,90.0,171024.0,1900.27,12916,968598
쉐이딩,1230.0,171085.0,139.09,18153,1867687
수반,11260.0,171109.0,15.2,14667,246033
BB크림,6220.0,171955.0,27.65,23761,4991988
배냇저고리,25600.0,172346.0,6.73,25895,1959143
일반디카,90.0,172837.0,1920.41,539033,7313703
무도복,200.0,173401.0,867.0,88119,1771666
디지털액자,9520.0,174471.0,18.33,152391,903726
신생아모자,8830.0,175118.0,19.83,10894,446447
유아크림,880.0,176988.0,201.12,19201,5802427
야구장갑,2720.0,177658.0,65.32,27931,602504
짜장,8850.0,178700.0,20.19,4969,1172551
대자리,1620.0,179776.0,110.97,33475,2824380
책상의자세트,1470.0,180310.0,122.66,139036,2930646
유아칫솔,8000.0,180501.0,22.56,10823,4455808
헤어롤,7360.0,182427.0,24.79,7167,440701
야구배트,7990.0,183109.0,22.92,121983,927675
유아베개,5110.0,183665.0,35.94,31982,2743549
업소용믹서기,1830.0,183889.0,100.49,441285,4173381
선택기,110.0,184854.0,1680.49,18524,415722
농구대,2180.0,185131.0,84.92,91222,1501750
우드락,17860.0,187132.0,10.48,9017,325382
컴퓨터공학,3380.0,187209.0,55.39,41660,2999800
코털제거기,28880.0,189196.0,6.55,16614,4552337
천주교용품,230.0,189273.0,822.93,35660,342197
토퍼커버,7530.0,189328.0,25.14,39941,1996016
즉석카메라,7230.0,190657.0,26.37,150110,9830482
관엽식물,7760.0,190658.0,24.57,30510,2289693
클렌징젤,4550.0,191860.0,42.17,24732,1415962
워크스테이션,4830.0,192573.0,39.87,1171228,1812222
입욕제,16730.0,192871.0,11.53,15479,1673062
쥬서기,1670.0,194361.0,116.38,195060,1119237
빙수기,2080.0,194507.0,93.51,71932,4391437
정자,18660.0,195038.0,10.45,559884,13291666
반제품,2280.0,195066.0,85.56,17584,1621363
커플시계,3010.0,195272.0,64.87,110300,494527
넝쿨식물,3750.0,196021.0,52.27,6108,118165
창작,2800.0,196720.0,70.26,13962,1538125
셔틀콕,14180.0,197015.0,13.89,14508,2038033
포셉,4240.0,197048.0,46.47,11558,639126
참기름,49880.0,197809.0,3.97,15857,5101339
헤어왁스,6070.0,197995.0,32.62,14186,2322576
제수용품,5000.0,200420.0,40.08,145083,8027873
성인용기저귀,8430.0,200465.0,23.78,28261,4767546
폼보드,20780.0,201224.0,9.68,9687,317957
롤러슈즈,1370.0,203105.0,148.25,53089,826403
모뎀,6080.0,203156.0,33.41,115402,1706222
대화,10210.0,203917.0,19.97,20497,1704441
고등어,48380.0,205046.0,4.24,21546,7858153
소음방지귀마개,5300.0,205079.0,38.69,11105,2391411
한과,58500.0,207457.0,3.55,19250,6409875
리피터장비,20.0,207669.0,10383.45,115471,308100
바디스크럽,16850.0,208708.0,12.39,21862,6632803
올리브유,50810.0,208730.0,4.11,22458,4030972
아기이불,10500.0,209700.0,19.97,43356,11764779
칠리,4020.0,210144.0,52.27,6777,609248
발레복,19600.0,211680.0,10.8,27372,1416760
칫솔치약세트,1440.0,212185.0,147.35,4348,915653
헤어스프레이,25450.0,212201.0,8.34,10529,2711323
클렌징오일,48380.0,212715.0,4.4,15365,7511297
축구양말,12480.0,213103.0,17.08,6569,1433492
젓갈,17290.0,213736.0,12.36,16135,2719314
하이라이터,14060.0,213761.0,15.2,19520,1700314
비누꽃,4720.0,214151.0,45.37,13587,362541
양념장,3060.0,215700.0,70.49,10678,1348662
종이꽃,3870.0,216195.0,55.86,25771,31075
데오드란트,30200.0,216746.0,7.18,8272,942144
화폐,7260.0,216911.0,29.88,17944,173000
그릇장,6620.0,217307.0,32.83,115750,3351813
가글,17630.0,218754.0,12.41,10707,6881193
문닫힘방지,5070.0,218955.0,43.19,3765,670973
바디미스트,16840.0,219071.0,13.01,23347,4436625
축구보호대,1080.0,219698.0,203.42,7878,1214391
스키장비,1520.0,220067.0,144.78,575591,1006911
김치냉장고,119700.0,220598.0,1.84,1326062,13802833
트램펄린,10160.0,221441.0,21.8,102119,3445986
욕실장,14030.0,221754.0,15.81,83934,5075683
향수세트,420.0,222219.0,529.09,60958,590609
반찬세트,360.0,222730.0,618.69,25874,5461183
블러셔,12240.0,222967.0,18.22,21519,2324350
배드민턴가방,17720.0,223357.0,12.6,66993,820579
국내패키지,1390.0,223640.0,160.89,35564,3839424
디지털도어록,1460.0,224268.0,153.61,138237,13516866
다이어트바,930.0,224533.0,241.43,14091,1150561
호각,2920.0,228165.0,78.14,12827,1327776
튀김기,30160.0,228663.0,7.58,72338,1374093
임부속옷,970.0,230385.0,237.51,13140,1974329
돌기념품,120.0,230456.0,1920.47,4152,542459
와플제조기,20.0,230560.0,11528.0,39677,856456
축구장갑,1230.0,230954.0,187.77,25076,1307197
기어백,210.0,231077.0,1100.37,78812,1095569
속치마,5610.0,232227.0,41.4,8327,3549360
배드민턴화,35100.0,233857.0,6.66,95844,4358277
토스터기,12590.0,233946.0,18.58,49066,852152
유아마스크,2720.0,235037.0,86.41,7480,5300954
군모,3850.0,236959.0,61.55,16737,1190500
바디슬리밍,440.0,238755.0,542.62,25468,4048826
립케어,970.0,239982.0,247.4,15374,3561635
페이스오일,4850.0,241814.0,49.86,26079,2009692
헬스사이클,700.0,242052.0,345.79,237721,24873148
식품건조기,20350.0,242086.0,11.9,189578,8875127
테라리엄,280.0,243153.0,868.4,12214,418938
핫도그,44160.0,243206.0,5.51,16369,7918678
유아침대,12040.0,243723.0,20.24,209630,6835403
피클,14220.0,245328.0,17.25,6145,543254
천체망원경,26070.0,246301.0,9.45,478805,1723242
마라톤용품,1120.0,247300.0,220.8,36059,3230926
유아의자,5410.0,247681.0,45.78,89121,6479272
여과제,820.0,249068.0,303.74,7796,860517
안대,22380.0,249164.0,11.13,12245,3948519
고전,9200.0,249590.0,27.13,3457,48000
튜너,2350.0,251356.0,106.96,22613,3159200
넥타이핀,8130.0,251803.0,30.97,32088,1176922
베어본PC,1270.0,254963.0,200.76,413361,5766460
치간칫솔,39740.0,256601.0,6.46,7813,1228221
행정,10930.0,257912.0,23.6,23346,500678
도서,26310.0,257980.0,9.81,13486,7511666
전자담배,249100.0,258239.0,1.04,41851,28227548
전기요,19400.0,258282.0,13.31,66898,8739202
어패류,6920.0,258708.0,37.39,8106,2256590
푸딩,25610.0,259249.0,10.12,7768,415739
러닝머신,11790.0,259489.0,22.01,632287,17307972
교자상,20460.0,260137.0,12.71,47691,6077682
물조리개,8100.0,261517.0,32.29,6783,275251
양고기,42160.0,261882.0,6.21,23996,6566048
건과류,4090.0,262116.0,64.09,10574,7011355
셀프촬영,1350.0,263579.0,195.24,31264,923532
신발끈,11910.0,265071.0,22.26,1772,1033846
워터볼,4870.0,265222.0,54.46,26960,253688
물리치료용품,40.0,266618.0,6665.45,55630,1433333
탄산수,61810.0,268217.0,4.34,9687,6780970
카레,49180.0,269278.0,5.48,2820,2733700
누룽지,43660.0,271419.0,6.22,12197,2715664
스키복,10770.0,271638.0,25.22,443079,104833
CLA,19230.0,272218.0,14.16,30799,372629
방울털모자,100.0,273735.0,2737.35,10340,58515
고추장,24190.0,274022.0,11.33,15733,2631452
제빵재료,1260.0,274310.0,217.71,10453,4294811
야구가방,3850.0,275561.0,71.57,80816,677322
캐리어커버,20850.0,277754.0,13.32,10280,1650123
햄버거,117900.0,278791.0,2.36,11908,237586
인라인용품,70.0,279669.0,3995.27,13151,147000
열쇠지갑,940.0,279899.0,297.76,17657,256940
카드리더기,7620.0,281554.0,36.95,11904,1378171
어묵,20890.0,281958.0,13.5,10939,3524961
판타지,9810.0,283255.0,28.87,98518,1319389
DAC,9410.0,285484.0,30.34,250949,2008674
제모기,12820.0,285739.0,22.29,75268,2933320
마우스피스,20110.0,286403.0,14.24,17192,2269675
헤어케어세트,20.0,287082.0,14354.1,47689,1450557
자세교정용품,30.0,289105.0,9636.83,22804,4980358
자외선소독기,2770.0,290001.0,104.69,70780,395612
우표,8170.0,293098.0,35.87,17727,127559
발각질제거기,13510.0,295238.0,21.85,13389,6919215
유아스푼,280.0,296215.0,1057.91,9018,1832749
호루라기,14700.0,297485.0,20.24,11891,1157160
여권지갑,14830.0,297560.0,20.06,18125,1965039
립틴트,5510.0,298458.0,54.17,13398,2319475
장난감정리함,21050.0,298727.0,14.19,34995,1702780
전통공예소품,20.0,299056.0,14952.8,8147,1082319
히알루론산,39550.0,299132.0,7.56,23682,2937755
립글로스,8540.0,299773.0,35.1,23678,755013
한방재료,240.0,299809.0,1249.2,13942,1445223
기저귀가방,63400.0,299911.0,4.73,50788,5394398
하이라이트,52850.0,300049.0,5.68,99012,1464626
털신,1470.0,300085.0,204.14,22792,476424
머니클립,9550.0,300501.0,31.47,89239,1771816
수경식물,10030.0,301116.0,30.02,7116,423741
식이섬유,24290.0,301430.0,12.41,22186,2032091
프라이머,36470.0,305560.0,8.38,23279,2920536
튀김류,230.0,306130.0,1331.0,9266,2948742
건강팔찌,5160.0,307288.0,59.55,75755,1134543
발마사지기,35440.0,307448.0,8.68,156256,14443803
아이브로,490.0,307875.0,628.32,8336,2760337
염료,2010.0,308182.0,153.32,5223,1046096
화분영양제,2920.0,308216.0,105.55,14498,1779955
승용완구,200.0,308490.0,1542.45,83489,965688
인삼,30440.0,308806.0,10.14,20846,4433056
남성화장품세트,1110.0,310127.0,279.39,33258,11153798
스무디,11950.0,311747.0,26.09,12446,1019137
댄스소품,90.0,311939.0,3465.99,38501,1483441
블루투스동글,13930.0,312503.0,22.43,7002,436069
컨실러,19140.0,314089.0,16.41,15114,1504037
냉풍기,9880.0,314221.0,31.8,94865,22697000
발지압,10810.0,314281.0,29.07,14305,2919889
손목받침대,3280.0,315017.0,96.04,14188,1509836
축구연습용품,130.0,315611.0,2427.78,30871,712372
된장,19750.0,315718.0,15.99,18150,4677456
아동시계,910.0,316963.0,348.31,14525,853556
핸드블렌더,4600.0,317068.0,68.93,50791,3103103
