relative_keyword,total_search,total_store_count,competitive_rate
라인댄스치마,3890.0,172361.0,44.31
드레스몰,7140.0,5970.0,0.84
여성댄스복,5200.0,1132198.0,217.73
라인댄스바지,3390.0,78586.0,23.18
레오타드,8990.0,224665.0,24.99
발레워머,5580.0,33502.0,6.0
에어로빅복,5550.0,70324.0,12.67
밸리댄스복,2360.0,371350.0,157.35
코코랑,4620.0,3782.0,0.82
댄스복상의,1080.0,390877.0,361.92
폴댄스의상,4100.0,77432.0,18.89
발레스커트,3070.0,141037.0,45.94
복싱글러브,15990.0,320513.0,20.04
가정용샌드백,2430.0,88431.0,36.39
위닝글러브,7270.0,13441.0,1.85
복싱핸드랩,3560.0,42097.0,11.82
샌드백,14950.0,436223.0,29.18
트윈스글러브,3190.0,7984.0,2.5
권투글러브,2450.0,320514.0,130.82
핸드랩,2330.0,47711.0,20.48
복싱샌드백,2390.0,382081.0,159.87
샌드백거치대,920.0,21328.0,23.18
에버라스트글러브,1480.0,18488.0,12.49
레예스글러브,2410.0,5780.0,2.4
아디다스글러브,1850.0,19962.0,10.79
펀치볼,4080.0,163498.0,40.07
복싱바,1110.0,17271.0,15.56
스탠딩샌드백,770.0,60806.0,78.97
센드백,990.0,436223.0,440.63
탭볼,1800.0,6331.0,3.52
라이벌글러브,2140.0,2569.0,1.2
아디다스복싱글러브,1370.0,6942.0,5.07
무릎보호대,128500.0,1208800.0,9.41
손목보호대,67500.0,891217.0,13.2
팔꿈치보호대,25470.0,366692.0,14.4
허리보호대,37210.0,521401.0,14.01
발목보호대,36990.0,354882.0,9.59
헬스스트랩,28040.0,238162.0,8.49
스트랩,34660.0,18170224.0,524.24
손목아대,10940.0,305314.0,27.91
헬스벨트,14950.0,289024.0,19.33
의료용무릎보호대,3600.0,14414.0,4.0
등산무릎보호대,7410.0,146812.0,19.81
헬스손목보호대,8460.0,183863.0,21.73
의료용손목보호대,6730.0,12227.0,1.82
잠스트무릎보호대,20220.0,6317.0,0.31
제로투히어로,53410.0,2968.0,0.06
허리복대,8660.0,251419.0,29.03
어깨보호대,9640.0,143712.0,14.91
리프팅벨트,9830.0,120094.0,12.22
엘보보호대,8810.0,77530.0,8.8
엄지손가락보호대,6530.0,51191.0,7.84
가검,2350.0,47868.0,20.37
목검,3030.0,48388.0,15.97
일본도,4510.0,12402.0,2.75
쌍절곤,4960.0,35114.0,7.08
진검,2080.0,6136.0,2.95
도검,2430.0,25358.0,10.44
검,8130.0,488360.0,60.07
단검,3280.0,26512.0,8.08
단도,2390.0,9602.0,4.02
카타나,4270.0,104896.0,24.57
롱소드,720.0,5775.0,8.02
와키자시,1160.0,2881.0,2.48
한일도검,2170.0,3815.0,1.76
청룡언월도,2180.0,3493.0,1.6
장검,1210.0,11469.0,9.48
사인검,1380.0,1975.0,1.43
진가검,300.0,1239.0,4.13
알루미늄가검,210.0,1257.0,5.99
대조영도검,1590.0,1158.0,0.73
장도,6360.0,3312.0,0.52
복싱화,12260.0,64615.0,5.27
주짓수도복,16170.0,58828.0,3.64
아디다스복싱화,3110.0,4529.0,1.46
미즈노복싱화,2820.0,1034.0,0.37
태권도화,3980.0,5138.0,1.29
태권도도복,2910.0,20580.0,7.07
태권도복,2520.0,29620.0,11.75
유도복,3350.0,21233.0,6.34
나이키복싱화,3290.0,2163.0,0.66
레슬링화,2170.0,22348.0,10.3
아식스복싱화,1930.0,4053.0,2.1
아식스역도화,1320.0,680.0,0.52
프로스펙스복싱화,1040.0,745.0,0.72
아디다스유도복,2180.0,396.0,0.18
에버라스트복싱화,1010.0,758.0,0.75
미즈노유도복,1000.0,991.0,0.99
나이키사발레오,1110.0,506.0,0.46
소요롤도복,2030.0,1136.0,0.56
줄넘기화,1030.0,10924.0,10.61
바이탈도복,4680.0,880.0,0.19
바라클라바,382000.0,516155.0,1.35
넥워머,136400.0,1916057.0,14.05
방한마스크,29730.0,375365.0,12.63
니트바라클라바,17010.0,139757.0,8.22
자외선차단마스크,8020.0,354616.0,44.22
팔토시,17630.0,682783.0,38.73
목토시,15900.0,367671.0,23.12
스포츠헤어밴드,6880.0,544908.0,79.2
골프마스크,9530.0,278963.0,29.27
자전거고글,8000.0,276458.0,34.56
겨울넥워머,14320.0,800415.0,55.89
골프넥워머,20440.0,176304.0,8.63
멀티스카프,4010.0,267952.0,66.82
나이키헤어밴드,8730.0,18882.0,2.16
워머,37840.0,4426161.0,116.97
자전거마스크,4270.0,306041.0,71.67
방한넥워머,9060.0,559888.0,61.8
후드넥워머,13570.0,282423.0,20.81
스포츠마스크,3730.0,1790020.0,479.9
스포츠고글,7440.0,1282339.0,172.36
아크릴,38100.0,9850128.0,258.53
아크릴판,22820.0,216722.0,9.5
마카펜,7640.0,144074.0,18.86
아크릴물감,15980.0,267734.0,16.75
이젤,24530.0,494687.0,20.17
오일파스텔,17910.0,71868.0,4.01
컬러링북,13590.0,169709.0,12.49
아크릴재단,17200.0,23762.0,1.38
문진,16440.0,78006.0,4.74
폼보드,24160.0,236382.0,9.78
스티로폼,21240.0,278383.0,13.11
파버카스텔색연필,4670.0,98489.0,21.09
포맥스,20610.0,229903.0,11.15
캔버스,33380.0,6873623.0,205.92
수채화물감,4450.0,307235.0,69.04
화구통,3600.0,75172.0,20.88
옷염색약,3710.0,8804.0,2.37
하드보드지,11690.0,19989.0,1.71
한지,16000.0,330041.0,20.63
맥세이프차량용거치대,23190.0,65673.0,2.83
차량용핸드폰거치대,49410.0,1816831.0,36.77
요소수,70300.0,17827.0,0.25
차량용방향제,131400.0,798248.0,6.07
코일매트,35160.0,1146362.0,32.6
차량용청소기,35710.0,734598.0,20.57
점프스타터,31010.0,781171.0,25.19
엔진오일,67800.0,1233278.0,18.19
와이퍼,36050.0,2124793.0,58.94
차키케이스,25830.0,494622.0,19.15
트렁크정리함,20300.0,1171952.0,57.73
주차번호판,30670.0,565673.0,18.44
차량용충전기,15060.0,1196671.0,79.46
차량용목쿠션,15830.0,916862.0,57.92
핸들커버,26030.0,2983103.0,114.6
차량핸드폰거치대,27850.0,1918307.0,68.88
차량용휴대폰거치대,12640.0,1816829.0,143.74
무시동히터,41470.0,238194.0,5.74
2355519,19640.0,3464.0,0.18
워셔액,32260.0,80637.0,2.5
할로윈코스튬,24760.0,1877104.0,75.81
할로윈의상,8580.0,1809698.0,210.92
모루인형,87400.0,17890.0,0.2
토이나이프,24450.0,21440.0,0.88
드론,56500.0,2792711.0,49.43
보드게임,77400.0,3415001.0,44.12
건담,42180.0,640314.0,15.18
당근칼장난감,36780.0,21011.0,0.57
