relative_keyword,avg_price
바이탈도복,155145.0
태권도띠,11320.0
미즈노유도복,136870.0
불테리어도복,261529.0
아식스레슬링화,164865.0
소요롤도복,184371.0
얼굴햇빛가리개,11437.0
스키바라클라바,21855.0
오일파스텔,20169.0
목각인형,10375.0
문진,13503.0
아크릴재단,423.0
화구통,13992.0
파버카스텔색연필,21040.0
프리즈마색연필,48818.0
프리즈마색연필72,111649.0
맥세이프차량용거치대,27164.0
테이프공,4008.0
티니핑피규어,10941.0
슬램덩크피규어,39551.0
새총,17487.0
탑로더,4845.0
슬램덩크만화책,59484.0
테이프볼,4004.0
젤다아미보,28013.0
생이새우,6128.0
체리새우,5613.0
외부여과기,64355.0
어항받침대,75643.0
브라인쉬림프,15954.0
유목,10956.0
구피사료,8005.0
걸이식여과기,12933.0
거북이사료,8136.0
물멍,59579.0
편백나무찜기,123123.0
엔드그레인도마,99038.0
라탄빨래바구니,18897.0
3단빨래바구니,26723.0
전동빨래건조대,186625.0
양모볼,9150.0
건조기양모볼,8900.0
혈압측정기,51317.0
가정용혈압계,63121.0
비접촉체온계,44694.0
휴비딕체온계,52818.0
오므론혈압계,70744.0
인바디체중계,115523.0
혈압기,48482.0
가정용혈압기,63509.0
만보기,8493.0
체지방체중계,25518.0
국산덴탈마스크,7634.0
입호흡액상,9733.0
차이코스,58100.0
액상전자담배,9858.0
자가진단키트,8307.0
일회용전자담배,17638.0
아에르마스크,15817.0
혈당체크기,36051.0
녹십자혈당측정기,31847.0
혈당시험지,19179.0
아큐첵퍼포마시험지,24689.0
연속혈당측정기,93859.0
아큐첵인스턴트,29801.0
당뇨측정기,41389.0
아큐첵인스턴트시험지,32390.0
무채혈혈당측정기,93922.0
혈당계,33030.0
프리스타일리브레,114057.0
케어센스N시험지,34530.0
아큐첵혈당측정기,39543.0
혈당측정기추천,40758.0
아큐첵퍼포마,23808.0
당뇨체크기,36646.0
아큐첵,23292.0
여드름패치,7173.0
흉터연고,26735.0
알콜스왑,4809.0
산소호흡기,112661.0
휴대용네블라이저,90788.0
메피폼,165468.0
센텔라스카연고,24856.0
휴대용약통,5366.0
듀오덤엑스트라씬,15478.0
더마틱스울트라,27741.0
흉터제거연고,23300.0
아기네블라이저,108161.0
노인지팡이,24336.0
보행보조기,105382.0
납골당액자,17408.0
돋보기안경,15354.0
노인보행기,117474.0
깁스방수커버,11805.0
납골당꾸미기,19738.0
어르신보행기,123157.0
노인보행보조기,108624.0
전동휠체어,1028258.0
이동식변기,42946.0
목발,21113.0
어르신지팡이,28282.0
목견인기,46436.0
굽은어깨교정기,24015.0
자세교정밴드,22614.0
의료용압박스타킹,30181.0
라운드숄더교정,24377.0
거북목교정기,32308.0
어깨교정밴드,18754.0
허리스트레칭기구,20303.0
굽은등교정기,26811.0
일자목교정기,36493.0
목견인치료기,63988.0
바른자세교정,18713.0
허리스트레칭,17603.0
저주파치료기,130822.0
부항기,25351.0
적외선조사기,61064.0
적외선치료기,76550.0
저주파마사지기,39385.0
초음파치료기,136103.0
클럭패드,17263.0
조사기,64948.0
EMS마사지기,45076.0
저주파자극기,42211.0
클럭마사지기,57794.0
원적외선온열치료기,114046.0
실리콘부항,17024.0
한솔부항기,23672.0
근적외선좌욕기,135549.0
가정용좌욕기,18987.0
치질좌욕기,71579.0
좌훈기,71493.0
원적외선좌욕기,151703.0
임산부좌욕기,13106.0
좌욕대야,9329.0
좌욕,62308.0
전기찜질팩,33567.0
무릎찜질기,38234.0
허리찜질기,38299.0
어깨찜질기,42366.0
온수찜질기,20812.0
온열돔,403291.0
어깨찜질팩,23769.0
눈찜질팩,11778.0
황토찜질팩,5988.0
황토찜질기,38569.0
배찜질기,42407.0
허리찜질팩,17345.0
무릎찜질팩,19423.0
미백치약,11999.0
혀클리너,7818.0
이갈이마우스피스,20338.0
잇몸치약,11925.0
틀니세정제,14539.0
테라브레스,26501.0
고체치약,12559.0
입냄새치약,19808.0
천연치약,16945.0
치과칫솔,12409.0
대나무칫솔,2790.0
켄트칫솔,24282.0
온열안대,15519.0
렌즈세척액,15324.0
온열수면안대,14598.0
생리식염수,13902.0
눈온열안대,16336.0
식염수,15578.0
안경세척기,43054.0
보스톤심플러스,31869.0
에이오셉,21040.0
리뉴,13859.0
무지외반증교정기,19061.0
전동발각질제거기,27596.0
발뒤꿈치각질제거,11025.0
공기압마사지기,146544.0
지압슬리퍼,14912.0
공기압다리마사지기,154233.0
건식족욕기,129432.0
손마사지기,68691.0
눈마사지기,48801.0
괄사마사지기,38573.0
안마매트,215122.0
소형안마의자,391854.0
승모근마사지기,48500.0
바디괄사,22590.0
슈케이스,9517.0
섬유탈취제,10119.0
곰팡이제거제,10898.0
바퀴벌레약,16079.0
옷장방향제,11195.0
피톤치드스프레이,17691.0
실내공기정화식물,20129.0
인형꽃다발,21575.0
졸업식꽃다발,18675.0
승진화분,63482.0
씨감자,28474.0
킨더조이꽃다발,14227.0
비누꽃다발,14860.0
올리브나무,49978.0
제초매트,29148.0
수경재배기,51090.0
모두싹,18867.0
닌텐도스위치라이트,257927.0
닌텐도스위치스포츠,54505.0
닌텐도스위치조이콘,39548.0
링피트,81980.0
올인원PC,893489.0
사무용데스크탑,609224.0
모니터보안필름,44172.0
키보드손목받침대,15167.0
마우스손목받침대,12816.0
15인치노트북파우치,21613.0
노트북쿨링패드,23478.0
아이패드종이필름,11968.0
갤럭시탭S8케이스,19092.0
짭플펜슬,23581.0
아이패드에어4케이스,19893.0
