relative_keyword,zzim_10,zzim_50,zzim_100,zzim_1000
슬링샷,36,0,4,0
아기침대계단,35,2,3,0
자동와인오프너,31,5,3,1
폼랜스,31,5,4,0
임산부호박즙,34,3,3,0
비상벨,38,0,2,0
알칸타라핸들커버,32,4,4,0
자수턱받이,12,8,18,2
극세사로브,33,1,6,0
강아지욕조,24,4,11,1
애견욕조,24,4,11,1
킥보드악세사리,33,3,4,0
아이언그립,30,5,5,0
반스체커보드슬립온,30,2,8,0
건초,35,2,3,0
토슈즈,32,4,4,0
달항아리그림,28,2,9,1
맷돌,38,0,2,0
깨절구,29,3,8,0
코베아토치,33,5,2,0
애견미용테이블,27,4,8,1
완력기,38,0,2,0
셀프성장동영상,33,1,5,1
가슴운동,39,0,1,0
마체테,27,5,8,0
적옥토,36,1,3,0
솔텍테크2,36,1,3,0
광선검,32,3,5,0
슬리브압착기,36,3,1,0
주방타일셀프,23,2,12,3
뻥뚜러,39,0,1,0
합격엿,36,1,3,0
수영킥판,35,2,3,0
메쉬수영가방,14,9,15,2
지브리LP,33,1,5,1
미담기프트,4,0,4,1
초등학생시계,19,6,13,2
창틀건조대,30,1,8,1
카람빗,29,3,8,0
문교오일파스텔,32,2,6,0
탯줄,20,6,12,2
하몽,32,4,4,0
들기름막국수,36,0,4,0
강아지일회용신발,18,5,13,4
유모차컵홀더,27,3,10,0
가정용실링기,37,1,2,0
어부바아기띠,37,2,1,0
미즈노배구화,37,2,1,0
튜브공기주입기,33,3,4,0
강아지미용거치대,33,2,4,1
노스페이스맨투맨,35,2,3,0
가죽염색약,27,3,9,1
면도경,34,2,4,0
운남성보이차,35,2,3,0
아라이바람막이,39,0,1,0
지라그라타,2,0,0,1
아그리폼지라그라타그라나파다노,1,0,0,1
모래멍,36,1,3,0
한우육포,37,2,1,0
오토바이우주복,39,1,0,0
뜰채프레임,38,0,2,0
룰렛판,38,1,1,0
스텐다라이,30,5,5,0
겉절이양념,35,1,4,0
걷기보조기구,37,2,1,0
축구헤어밴드,35,2,3,0
하코인두기,40,0,0,0
전자파측정기,39,0,1,0
사각법랑냄비,30,1,6,3
화장실변기막혔을때,33,4,3,0
피아노매트,32,4,4,0
무타공수건걸이,26,5,9,0
CEP카프슬리브,39,0,1,0
실론티,37,0,3,0
표일배,32,1,6,1
미니핫도그,34,2,4,0
프리다이빙체험,28,6,6,0
캐리어보호커버,28,3,8,1
감따는기구,39,0,1,0
차량용커피포트,39,0,1,0
부케캔들,23,5,11,1
야자수매트,36,2,2,0
유소년야구화,36,2,2,0
그로밋키링,8,2,26,4
산소포화도측정기,36,1,3,0
꼬꼬맘,34,2,4,0
테너지05,40,0,0,0
강아지짖음방지,32,4,4,0
메이호7000,39,0,1,0
발리송나이프,26,4,10,0
발목보조기,36,3,1,0
옛날밥상,35,2,2,1
자동확산소화기,33,3,4,0
식당벨,37,1,2,0
매운갈비찜,26,6,8,0
스부,32,3,5,0
클라리넷리드,39,1,0,0
애견미용복,32,4,4,0
초등킥보드,30,4,6,0
스파이더맨거미줄,38,0,2,0
마테차,40,0,0,0
타코야키팬,38,0,2,0
티모시,35,3,2,0
리마인드웨딩촬영,20,3,17,0
건망고,22,4,13,1
콩잎,25,7,7,1
다과상,24,6,10,0
면보루,39,1,0,0
6공펀치,31,2,6,1
루바,29,1,8,2
도징컵,33,3,4,0
플레이도우,34,3,3,0
소일,34,2,4,0
강아지올인원패딩,19,9,10,2
부케말리기,17,2,20,1
짐빔하이볼잔,27,5,8,0
골프힙색,19,10,11,0
스튜디오대여,7,3,29,1
발열팩,26,4,9,1
칵테일지거,23,5,12,0
